[BSB | EN | OT | Psalms | Chapter 92 | Verse 1] It is good to praise the LORD, and to sing praises to Your name, O Most High,
[BSB | EN | OT | Psalms | Chapter 92 | Verse 2] to proclaim Your loving devotion in the morning and Your faithfulness at night
[BSB | EN | OT | Psalms | Chapter 92 | Verse 3] with the ten-stringed harp and the melody of the lyre.
[BSB | EN | OT | Psalms | Chapter 92 | Verse 4] For You, O LORD, have made me glad by Your deeds; I sing for joy at the works of Your hands.
[BSB | EN | OT | Psalms | Chapter 92 | Verse 5] How great are Your works, O LORD, how deep are Your thoughts!
[BSB | EN | OT | Psalms | Chapter 92 | Verse 6] A senseless man does not know, and a fool does not understand,
[BSB | EN | OT | Psalms | Chapter 92 | Verse 7] that though the wicked sprout like grass, and all evildoers flourish, they will be forever destroyed.
[BSB | EN | OT | Psalms | Chapter 92 | Verse 8] But You, O LORD, are exalted forever!
[BSB | EN | OT | Psalms | Chapter 92 | Verse 9] For surely Your enemies, O LORD, surely Your enemies will perish; all evildoers will be scattered.
[BSB | EN | OT | Psalms | Chapter 92 | Verse 10] But You have exalted my horn like that of a wild ox; with fine oil I have been anointed.
[BSB | EN | OT | Psalms | Chapter 92 | Verse 11] My eyes see the downfall of my enemies; my ears hear the wailing of my wicked foes.
[BSB | EN | OT | Psalms | Chapter 92 | Verse 12] The righteous will flourish like a palm tree, and grow like a cedar in Lebanon.
[BSB | EN | OT | Psalms | Chapter 92 | Verse 13] Planted in the house of the LORD, they will flourish in the courts of our God.
[BSB | EN | OT | Psalms | Chapter 92 | Verse 14] In old age they will still bear fruit; healthy and green they will remain,
[BSB | EN | OT | Psalms | Chapter 92 | Verse 15] to proclaim, “The LORD is upright; He is my Rock, and in Him there is no unrighteousness.”
