[BSB | EN | OT | Psalms | Chapter 81 | Verse 1] Sing for joy to God our strength; make a joyful noise to the God of Jacob.
[BSB | EN | OT | Psalms | Chapter 81 | Verse 2] Lift up a song, strike the tambourine, play the sweet-sounding harp and lyre.
[BSB | EN | OT | Psalms | Chapter 81 | Verse 3] Sound the ram’s horn at the New Moon, and at the full moon on the day of our Feast.
[BSB | EN | OT | Psalms | Chapter 81 | Verse 4] For this is a statute for Israel, an ordinance of the God of Jacob.
[BSB | EN | OT | Psalms | Chapter 81 | Verse 5] He ordained it as a testimony for Joseph when he went out over the land of Egypt, where I heard an unfamiliar language:
[BSB | EN | OT | Psalms | Chapter 81 | Verse 6] “I relieved his shoulder of the burden; his hands were freed from the basket.
[BSB | EN | OT | Psalms | Chapter 81 | Verse 7] You called out in distress, and I rescued you; I answered you from the cloud of thunder; I tested you at the waters of Meribah. Selah
[BSB | EN | OT | Psalms | Chapter 81 | Verse 8] Hear, O My people, and I will warn you: O Israel, if only you would listen to Me!
[BSB | EN | OT | Psalms | Chapter 81 | Verse 9] There must be no strange god among you, nor shall you bow to a foreign god.
[BSB | EN | OT | Psalms | Chapter 81 | Verse 10] I am the LORD your God, who brought you up out of Egypt. Open wide your mouth, and I will fill it.
[BSB | EN | OT | Psalms | Chapter 81 | Verse 11] But My people would not listen to Me, and Israel would not obey Me.
[BSB | EN | OT | Psalms | Chapter 81 | Verse 12] So I gave them up to their stubborn hearts to follow their own devices.
[BSB | EN | OT | Psalms | Chapter 81 | Verse 13] If only My people would listen to Me, if Israel would follow My ways,
[BSB | EN | OT | Psalms | Chapter 81 | Verse 14] how soon I would subdue their enemies and turn My hand against their foes!
[BSB | EN | OT | Psalms | Chapter 81 | Verse 15] Those who hate the LORD would feign obedience, and their doom would last forever.
[BSB | EN | OT | Psalms | Chapter 81 | Verse 16] But I would feed you the finest wheat; with honey from the rock I would satisfy you.”
