[BSB | EN | OT | Psalms | Chapter 57 | Verse 1] Have mercy on me, O God, have mercy, for in You my soul takes refuge. In the shadow of Your wings I will take shelter until the danger has passed.
[BSB | EN | OT | Psalms | Chapter 57 | Verse 2] I cry out to God Most High, to God who fulfills His purpose for me.
[BSB | EN | OT | Psalms | Chapter 57 | Verse 3] He reaches down from heaven and saves me; He rebukes those who trample me. Selah God sends forth His loving devotion and His truth.
[BSB | EN | OT | Psalms | Chapter 57 | Verse 4] My soul is among the lions; I lie down with ravenous beasts— with men whose teeth are spears and arrows, whose tongues are sharp swords.
[BSB | EN | OT | Psalms | Chapter 57 | Verse 5] Be exalted, O God, above the heavens; may Your glory cover all the earth.
[BSB | EN | OT | Psalms | Chapter 57 | Verse 6] They spread a net for my feet; my soul was despondent. They dug a pit before me, but they themselves have fallen into it! Selah
[BSB | EN | OT | Psalms | Chapter 57 | Verse 7] My heart is steadfast, O God, my heart is steadfast. I will sing and make music.
[BSB | EN | OT | Psalms | Chapter 57 | Verse 8] Awake, my glory! Awake, O harp and lyre! I will awaken the dawn.
[BSB | EN | OT | Psalms | Chapter 57 | Verse 9] I will praise You, O Lord, among the nations; I will sing Your praises among the peoples.
[BSB | EN | OT | Psalms | Chapter 57 | Verse 10] For Your loving devotion reaches to the heavens, and Your faithfulness to the clouds.
[BSB | EN | OT | Psalms | Chapter 57 | Verse 11] Be exalted, O God, above the heavens; may Your glory cover all the earth.
