[BSB | EN | OT | Psalms | Chapter 96 | Verse 1] Sing to the LORD a new song; sing to the LORD, all the earth.
[BSB | EN | OT | Psalms | Chapter 96 | Verse 2] Sing to the LORD, bless His name; proclaim His salvation day after day.
[BSB | EN | OT | Psalms | Chapter 96 | Verse 3] Declare His glory among the nations, His wonderful deeds among all peoples.
[BSB | EN | OT | Psalms | Chapter 96 | Verse 4] For great is the LORD, and greatly to be praised; He is to be feared above all gods.
[BSB | EN | OT | Psalms | Chapter 96 | Verse 5] For all the gods of the nations are idols, but it is the LORD who made the heavens.
[BSB | EN | OT | Psalms | Chapter 96 | Verse 6] Splendor and majesty are before Him; strength and beauty fill His sanctuary.
[BSB | EN | OT | Psalms | Chapter 96 | Verse 7] Ascribe to the LORD, O families of the nations, ascribe to the LORD glory and strength.
[BSB | EN | OT | Psalms | Chapter 96 | Verse 8] Ascribe to the LORD the glory due His name; bring an offering and enter His courts.
[BSB | EN | OT | Psalms | Chapter 96 | Verse 9] Worship the LORD in the splendor of His holiness; tremble before Him, all the earth.
[BSB | EN | OT | Psalms | Chapter 96 | Verse 10] Declare among the nations: “The LORD reigns!” The world is firmly established; it cannot be moved; He will judge the peoples with equity.
[BSB | EN | OT | Psalms | Chapter 96 | Verse 11] Let the heavens be glad and the earth rejoice; let the sea resound, and all that fills it.
[BSB | EN | OT | Psalms | Chapter 96 | Verse 12] Let the fields exult, and all that is in them. Then all the trees of the forest will sing for joy
[BSB | EN | OT | Psalms | Chapter 96 | Verse 13] before the LORD, for He is coming— He is coming to judge the earth. He will judge the world in righteousness and the peoples in His faithfulness.
