[BSB | EN | OT | Psalms | Chapter 73 | Verse 1] Surely God is good to Israel, to those who are pure in heart.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 2] But as for me, my feet had almost stumbled; my steps had nearly slipped.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 3] For I envied the arrogant when I saw the prosperity of the wicked.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 4] They have no struggle in their death; their bodies are well-fed.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 5] They are free of the burdens others carry; they are not afflicted like other men.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 6] Therefore pride is their necklace; a garment of violence covers them.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 7] From their prosperity proceeds iniquity; the imaginations of their hearts run wild.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 8] They mock and speak with malice; with arrogance they threaten oppression.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 9] They set their mouths against the heavens, and their tongues strut across the earth.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 10] So their people return to this place and drink up waters in abundance.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 11] The wicked say, “How can God know? Does the Most High have knowledge?”
[BSB | EN | OT | Psalms | Chapter 73 | Verse 12] Behold, these are the wicked— always carefree as they increase their wealth.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 13] Surely in vain I have kept my heart pure; in innocence I have washed my hands.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 14] For I am afflicted all day long and punished every morning.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 15] If I had said, “I will speak this way,” then I would have betrayed Your children.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 16] When I tried to understand all this, it was troublesome in my sight
[BSB | EN | OT | Psalms | Chapter 73 | Verse 17] until I entered God’s sanctuary; then I discerned their end.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 18] Surely You set them on slick ground; You cast them down into ruin.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 19] How suddenly they are laid waste, completely swept away by terrors!
[BSB | EN | OT | Psalms | Chapter 73 | Verse 20] Like one waking from a dream, so You, O Lord, awaken and despise their form.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 21] When my heart was grieved and I was pierced within,
[BSB | EN | OT | Psalms | Chapter 73 | Verse 22] I was senseless and ignorant; I was a brute beast before You.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 23] Yet I am always with You; You hold my right hand.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 24] You guide me with Your counsel, and later receive me in glory.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 25] Whom have I in heaven but You? And on earth I desire no one besides You.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 26] My flesh and my heart may fail, but God is the strength of my heart and my portion forever.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 27] Those far from You will surely perish; You destroy all who are unfaithful to You.
[BSB | EN | OT | Psalms | Chapter 73 | Verse 28] But as for me, it is good to draw near to God. I have made the Lord GOD my refuge, that I may proclaim all Your works.
