[BSB | EN | OT | Psalms | Chapter 89 | Verse 1] I will sing of the loving devotion of the LORD forever; with my mouth I will proclaim Your faithfulness to all generations.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 2] For I have said, “Loving devotion is built up forever; in the heavens You establish Your faithfulness.”
[BSB | EN | OT | Psalms | Chapter 89 | Verse 3] You said, “I have made a covenant with My chosen one, I have sworn to David My servant:
[BSB | EN | OT | Psalms | Chapter 89 | Verse 4] ‘I will establish your offspring forever and build up your throne for all generations.’” Selah
[BSB | EN | OT | Psalms | Chapter 89 | Verse 5] The heavens praise Your wonders, O LORD— Your faithfulness as well— in the assembly of the holy ones.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 6] For who in the skies can compare with the LORD? Who among the heavenly beings is like the LORD?
[BSB | EN | OT | Psalms | Chapter 89 | Verse 7] In the council of the holy ones, God is greatly feared, and awesome above all who surround Him.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 8] O LORD God of Hosts, who is like You? O mighty LORD, Your faithfulness surrounds You.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 9] You rule the raging sea; when its waves mount up, You still them.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 10] You crushed Rahab like a carcass; You scattered Your enemies with Your mighty arm.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 11] The heavens are Yours, and also the earth. The earth and its fullness You founded.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 12] North and south You created; Tabor and Hermon shout for joy at Your name.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 13] Mighty is Your arm; strong is Your hand. Your right hand is exalted.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 14] Righteousness and justice are the foundation of Your throne; loving devotion and faithfulness go before You.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 15] Blessed are those who know the joyful sound, who walk, O LORD, in the light of Your presence.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 16] They rejoice in Your name all day long, and in Your righteousness they exult.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 17] For You are the glory of their strength, and by Your favor our horn is exalted.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 18] Surely our shield belongs to the LORD, and our king to the Holy One of Israel.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 19] You once spoke in a vision; to Your godly ones You said, “I have bestowed help on a warrior; I have exalted one chosen from the people.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 20] I have found My servant David; with My sacred oil I have anointed him.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 21] My hand will sustain him; surely My arm will strengthen him.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 22] No enemy will exact tribute; no wicked man will oppress him.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 23] I will crush his foes before him and strike down those who hate him.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 24] My faithfulness and loving devotion will be with him, and through My name his horn will be exalted.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 25] I will set his hand over the sea, and his right hand upon the rivers.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 26] He will call to Me, ‘You are my Father, my God, the Rock of my salvation.’
[BSB | EN | OT | Psalms | Chapter 89 | Verse 27] I will indeed appoint him as My firstborn, the highest of the kings of the earth.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 28] I will forever preserve My loving devotion for him, and My covenant with him will stand fast.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 29] I will establish his line forever, his throne as long as the heavens endure.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 30] If his sons forsake My law and do not walk in My judgments,
[BSB | EN | OT | Psalms | Chapter 89 | Verse 31] if they violate My statutes and fail to keep My commandments,
[BSB | EN | OT | Psalms | Chapter 89 | Verse 32] I will attend to their transgression with the rod, and to their iniquity with stripes.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 33] But I will not withdraw My loving devotion from him, nor ever betray My faithfulness.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 34] I will not violate My covenant or alter the utterance of My lips.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 35] Once and for all I have sworn by My holiness— I will not lie to David—
[BSB | EN | OT | Psalms | Chapter 89 | Verse 36] his offspring shall endure forever, and his throne before Me like the sun,
[BSB | EN | OT | Psalms | Chapter 89 | Verse 37] like the moon, established forever, a faithful witness in the sky.” Selah
[BSB | EN | OT | Psalms | Chapter 89 | Verse 38] Now, however, You have spurned and rejected him; You are enraged by Your anointed one.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 39] You have renounced the covenant with Your servant and sullied his crown in the dust.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 40] You have broken down all his walls; You have reduced his strongholds to rubble.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 41] All who pass by plunder him; he has become a reproach to his neighbors.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 42] You have exalted the right hand of his foes; You have made all his enemies rejoice.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 43] You have bent the edge of his sword and have not sustained him in battle.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 44] You have ended his splendor and cast his throne to the ground.
[BSB | EN | OT | Psalms | Chapter 89 | Verse 45] You have cut short the days of his youth; You have covered him with shame. Selah
[BSB | EN | OT | Psalms | Chapter 89 | Verse 46] How long, O LORD? Will You hide Yourself forever? Will Your wrath keep burning like fire?
[BSB | EN | OT | Psalms | Chapter 89 | Verse 47] Remember the briefness of my lifespan! For what futility You have created all men!
[BSB | EN | OT | Psalms | Chapter 89 | Verse 48] What man can live and never see death? Can he deliver his soul from the power of Sheol? Selah
[BSB | EN | OT | Psalms | Chapter 89 | Verse 49] Where, O Lord, is Your loving devotion of old, which You faithfully swore to David?
[BSB | EN | OT | Psalms | Chapter 89 | Verse 50] Remember, O Lord, the reproach of Your servants, which I bear in my heart from so many people—
[BSB | EN | OT | Psalms | Chapter 89 | Verse 51] how Your enemies have taunted, O LORD, and have mocked every step of Your anointed one!
[BSB | EN | OT | Psalms | Chapter 89 | Verse 52] Blessed be the LORD forever! Amen and amen.
