[BSB | EN | OT | Psalms | Chapter 59 | Verse 1] Deliver me from my enemies, O my God; protect me from those who rise against me.
[BSB | EN | OT | Psalms | Chapter 59 | Verse 2] Deliver me from workers of iniquity, and save me from men of bloodshed.
[BSB | EN | OT | Psalms | Chapter 59 | Verse 3] See how they lie in wait for me. Fierce men conspire against me for no transgression or sin of my own, O LORD.
[BSB | EN | OT | Psalms | Chapter 59 | Verse 4] For no fault of my own, they move swiftly to attack me. Arise to help me, and take notice.
[BSB | EN | OT | Psalms | Chapter 59 | Verse 5] O LORD God of Hosts, the God of Israel, rouse Yourself to punish all the nations; show no mercy to the wicked traitors. Selah
[BSB | EN | OT | Psalms | Chapter 59 | Verse 6] They return in the evening, snarling like dogs and prowling around the city.
[BSB | EN | OT | Psalms | Chapter 59 | Verse 7] See what they spew from their mouths— sharp words from their lips: “For who can hear us?”
[BSB | EN | OT | Psalms | Chapter 59 | Verse 8] But You, O LORD, laugh at them; You scoff at all the nations.
[BSB | EN | OT | Psalms | Chapter 59 | Verse 9] I will keep watch for You, O my strength, because You, O God, are my fortress.
[BSB | EN | OT | Psalms | Chapter 59 | Verse 10] My God of loving devotion will come to meet me; God will let me stare down my foes.
[BSB | EN | OT | Psalms | Chapter 59 | Verse 11] Do not kill them, or my people will forget. Scatter them by Your power, and bring them down, O Lord, our shield.
[BSB | EN | OT | Psalms | Chapter 59 | Verse 12] By the sins of their mouths and the words of their lips, let them be trapped in their pride, in the curses and lies they utter.
[BSB | EN | OT | Psalms | Chapter 59 | Verse 13] Consume them in wrath; consume them till they are no more, so it may be known to the ends of the earth that God rules over Jacob. Selah
[BSB | EN | OT | Psalms | Chapter 59 | Verse 14] They return in the evening, snarling like dogs and prowling around the city.
[BSB | EN | OT | Psalms | Chapter 59 | Verse 15] They scavenge for food, and growl if they are not satisfied.
[BSB | EN | OT | Psalms | Chapter 59 | Verse 16] But I will sing of Your strength and proclaim Your loving devotion in the morning. For You are my fortress, my refuge in times of trouble.
[BSB | EN | OT | Psalms | Chapter 59 | Verse 17] To You, O my strength, I sing praises, for You, O God, are my fortress, my God of loving devotion.
