[BSB | EN | OT | Psalms | Chapter 56 | Verse 1] Be merciful to me, O God, for men are hounding me; all day they press their attack.
[BSB | EN | OT | Psalms | Chapter 56 | Verse 2] My enemies pursue me all day long, for many proudly assail me.
[BSB | EN | OT | Psalms | Chapter 56 | Verse 3] When I am afraid, I put my trust in You.
[BSB | EN | OT | Psalms | Chapter 56 | Verse 4] In God, whose word I praise— in God I trust. I will not be afraid. What can man do to me?
[BSB | EN | OT | Psalms | Chapter 56 | Verse 5] All day long they twist my words; all their thoughts are on my demise.
[BSB | EN | OT | Psalms | Chapter 56 | Verse 6] They conspire, they lurk, they watch my steps while they wait to take my life.
[BSB | EN | OT | Psalms | Chapter 56 | Verse 7] In spite of such sin, will they escape? In Your anger, O God, cast down the nations.
[BSB | EN | OT | Psalms | Chapter 56 | Verse 8] You have taken account of my wanderings. Put my tears in Your bottle— are they not in Your book?
[BSB | EN | OT | Psalms | Chapter 56 | Verse 9] Then my enemies will retreat on the day I cry for help. By this I will know that God is on my side.
[BSB | EN | OT | Psalms | Chapter 56 | Verse 10] In God, whose word I praise, in the LORD, whose word I praise,
[BSB | EN | OT | Psalms | Chapter 56 | Verse 11] in God I trust; I will not be afraid. What can man do to me?
[BSB | EN | OT | Psalms | Chapter 56 | Verse 12] Your vows are upon me, O God; I will render thank offerings to You.
[BSB | EN | OT | Psalms | Chapter 56 | Verse 13] For You have delivered my soul from death, and my feet from stumbling, that I may walk before God in the light of life.
