[BSB | EN | OT | Psalms | Chapter 29 | Verse 1] Ascribe to the LORD, O heavenly beings, ascribe to the LORD glory and strength.
[BSB | EN | OT | Psalms | Chapter 29 | Verse 2] Ascribe to the LORD the glory due His name; worship the LORD in the splendor of His holiness.
[BSB | EN | OT | Psalms | Chapter 29 | Verse 3] The voice of the LORD is over the waters; the God of glory thunders; the LORD is heard over many waters.
[BSB | EN | OT | Psalms | Chapter 29 | Verse 4] The voice of the LORD is powerful; the voice of the LORD is majestic.
[BSB | EN | OT | Psalms | Chapter 29 | Verse 5] The voice of the LORD breaks the cedars; the LORD shatters the cedars of Lebanon.
[BSB | EN | OT | Psalms | Chapter 29 | Verse 6] He makes Lebanon skip like a calf, and Sirion like a young wild ox.
[BSB | EN | OT | Psalms | Chapter 29 | Verse 7] The voice of the LORD strikes with flames of fire.
[BSB | EN | OT | Psalms | Chapter 29 | Verse 8] The voice of the LORD shakes the wilderness; the LORD shakes the Wilderness of Kadesh.
[BSB | EN | OT | Psalms | Chapter 29 | Verse 9] The voice of the LORD twists the oaks and strips the forests bare. And in His temple all cry, “Glory!”
[BSB | EN | OT | Psalms | Chapter 29 | Verse 10] The LORD sits enthroned over the flood; the LORD is enthroned as King forever.
[BSB | EN | OT | Psalms | Chapter 29 | Verse 11] The LORD gives His people strength; the LORD blesses His people with peace.
