[BSB | EN | OT | Psalms | Chapter 26 | Verse 1] Vindicate me, O LORD! For I have walked with integrity; I have trusted in the LORD without wavering.
[BSB | EN | OT | Psalms | Chapter 26 | Verse 2] Test me, O LORD, and try me; examine my heart and mind.
[BSB | EN | OT | Psalms | Chapter 26 | Verse 3] For Your loving devotion is before my eyes, and I have walked in Your truth.
[BSB | EN | OT | Psalms | Chapter 26 | Verse 4] I do not sit with deceitful men, nor keep company with hypocrites.
[BSB | EN | OT | Psalms | Chapter 26 | Verse 5] I hate the mob of evildoers, and refuse to sit with the wicked.
[BSB | EN | OT | Psalms | Chapter 26 | Verse 6] I wash my hands in innocence that I may go about Your altar, O LORD,
[BSB | EN | OT | Psalms | Chapter 26 | Verse 7] to raise my voice in thanksgiving and declare all Your wonderful works.
[BSB | EN | OT | Psalms | Chapter 26 | Verse 8] O LORD, I love the house where You dwell, the place where Your glory resides.
[BSB | EN | OT | Psalms | Chapter 26 | Verse 9] Do not take my soul away with sinners, or my life with men of bloodshed,
[BSB | EN | OT | Psalms | Chapter 26 | Verse 10] in whose hands are wicked schemes, whose right hands are full of bribes.
[BSB | EN | OT | Psalms | Chapter 26 | Verse 11] But I will walk with integrity; redeem me and be merciful to me.
[BSB | EN | OT | Psalms | Chapter 26 | Verse 12] My feet stand on level ground; in the congregations I will bless the LORD.
