[BSB | EN | OT | Psalms | Chapter 19 | Verse 1] The heavens declare the glory of God; the skies proclaim the work of His hands.
[BSB | EN | OT | Psalms | Chapter 19 | Verse 2] Day after day they pour forth speech; night after night they reveal knowledge.
[BSB | EN | OT | Psalms | Chapter 19 | Verse 3] Without speech or language, without a sound to be heard,
[BSB | EN | OT | Psalms | Chapter 19 | Verse 4] their voice has gone out into all the earth, their words to the ends of the world. In the heavens He has pitched a tent for the sun.
[BSB | EN | OT | Psalms | Chapter 19 | Verse 5] Like a bridegroom emerging from his chamber, like a champion rejoicing to run his course,
[BSB | EN | OT | Psalms | Chapter 19 | Verse 6] it rises at one end of the heavens and runs its circuit to the other; nothing is deprived of its warmth.
[BSB | EN | OT | Psalms | Chapter 19 | Verse 7] The Law of the LORD is perfect, reviving the soul; the testimony of the LORD is trustworthy, making wise the simple.
[BSB | EN | OT | Psalms | Chapter 19 | Verse 8] The precepts of the LORD are right, bringing joy to the heart; the commandments of the LORD are radiant, giving light to the eyes.
[BSB | EN | OT | Psalms | Chapter 19 | Verse 9] The fear of the LORD is pure, enduring forever; the judgments of the LORD are true, being altogether righteous.
[BSB | EN | OT | Psalms | Chapter 19 | Verse 10] They are more precious than gold, than much pure gold; they are sweeter than honey, than honey from the comb.
[BSB | EN | OT | Psalms | Chapter 19 | Verse 11] By them indeed Your servant is warned; in keeping them is great reward.
[BSB | EN | OT | Psalms | Chapter 19 | Verse 12] Who can discern his own errors? Cleanse me from my hidden faults.
[BSB | EN | OT | Psalms | Chapter 19 | Verse 13] Keep Your servant also from willful sins; may they not rule over me. Then I will be blameless and cleansed of great transgression.
[BSB | EN | OT | Psalms | Chapter 19 | Verse 14] May the words of my mouth and the meditation of my heart be pleasing in Your sight, O LORD, my Rock and my Redeemer.
