[BSB | EN | OT | Psalms | Chapter 88 | Verse 1] O LORD, the God of my salvation, day and night I cry out before You.
[BSB | EN | OT | Psalms | Chapter 88 | Verse 2] May my prayer come before You; incline Your ear to my cry.
[BSB | EN | OT | Psalms | Chapter 88 | Verse 3] For my soul is full of troubles, and my life draws near to Sheol.
[BSB | EN | OT | Psalms | Chapter 88 | Verse 4] I am counted among those descending to the Pit. I am like a man without strength.
[BSB | EN | OT | Psalms | Chapter 88 | Verse 5] I am forsaken among the dead, like the slain who lie in the grave, whom You remember no more, who are cut off from Your care.
[BSB | EN | OT | Psalms | Chapter 88 | Verse 6] You have laid me in the lowest Pit, in the darkest of the depths.
[BSB | EN | OT | Psalms | Chapter 88 | Verse 7] Your wrath weighs heavily upon me; all Your waves have submerged me. Selah
[BSB | EN | OT | Psalms | Chapter 88 | Verse 8] You have removed my friends from me; You have made me repulsive to them; I am confined and cannot escape.
[BSB | EN | OT | Psalms | Chapter 88 | Verse 9] My eyes grow dim with grief. I call to You daily, O LORD; I spread out my hands to You.
[BSB | EN | OT | Psalms | Chapter 88 | Verse 10] Do You work wonders for the dead? Do departed spirits rise up to praise You? Selah
[BSB | EN | OT | Psalms | Chapter 88 | Verse 11] Can Your loving devotion be proclaimed in the grave, Your faithfulness in Abaddon ?
[BSB | EN | OT | Psalms | Chapter 88 | Verse 12] Will Your wonders be known in the darkness, or Your righteousness in the land of oblivion?
[BSB | EN | OT | Psalms | Chapter 88 | Verse 13] But to You, O LORD, I cry for help; in the morning my prayer comes before You.
[BSB | EN | OT | Psalms | Chapter 88 | Verse 14] Why, O LORD, do You reject me? Why do You hide Your face from me?
[BSB | EN | OT | Psalms | Chapter 88 | Verse 15] From my youth I was afflicted and near death. I have borne Your terrors; I am in despair.
[BSB | EN | OT | Psalms | Chapter 88 | Verse 16] Your wrath has swept over me; Your terrors have destroyed me.
[BSB | EN | OT | Psalms | Chapter 88 | Verse 17] All day long they engulf me like water; they enclose me on every side.
[BSB | EN | OT | Psalms | Chapter 88 | Verse 18] You have removed my beloved and my friend; darkness is my closest companion.
