[BSB | EN | OT | Psalms | Chapter 80 | Verse 1] Hear us, O Shepherd of Israel, who leads Joseph like a flock; You who sit enthroned between the cherubim, shine forth
[BSB | EN | OT | Psalms | Chapter 80 | Verse 2] before Ephraim, Benjamin, and Manasseh. Rally Your mighty power and come to save us.
[BSB | EN | OT | Psalms | Chapter 80 | Verse 3] Restore us, O God, and cause Your face to shine upon us, that we may be saved.
[BSB | EN | OT | Psalms | Chapter 80 | Verse 4] O LORD God of Hosts, how long will Your anger smolder against the prayers of Your people?
[BSB | EN | OT | Psalms | Chapter 80 | Verse 5] You fed them with the bread of tears and made them drink the full measure of their tears.
[BSB | EN | OT | Psalms | Chapter 80 | Verse 6] You make us contend with our neighbors; our enemies mock us.
[BSB | EN | OT | Psalms | Chapter 80 | Verse 7] Restore us, O God of Hosts, and cause Your face to shine upon us, that we may be saved.
[BSB | EN | OT | Psalms | Chapter 80 | Verse 8] You uprooted a vine from Egypt; You drove out the nations and transplanted it.
[BSB | EN | OT | Psalms | Chapter 80 | Verse 9] You cleared the ground for it, and it took root and filled the land.
[BSB | EN | OT | Psalms | Chapter 80 | Verse 10] The mountains were covered by its shade, and the mighty cedars with its branches.
[BSB | EN | OT | Psalms | Chapter 80 | Verse 11] It sent out its branches to the Sea, and its shoots toward the River.
[BSB | EN | OT | Psalms | Chapter 80 | Verse 12] Why have You broken down its walls, so that all who pass by pick its fruit?
[BSB | EN | OT | Psalms | Chapter 80 | Verse 13] The boar from the forest ravages it, and the creatures of the field feed upon it.
[BSB | EN | OT | Psalms | Chapter 80 | Verse 14] Return, O God of Hosts, we pray! Look down from heaven and see! Attend to this vine—
[BSB | EN | OT | Psalms | Chapter 80 | Verse 15] the root Your right hand has planted, the son You have raised up for Yourself.
[BSB | EN | OT | Psalms | Chapter 80 | Verse 16] Your vine has been cut down and burned; they perish at the rebuke of Your countenance.
[BSB | EN | OT | Psalms | Chapter 80 | Verse 17] Let Your hand be upon the man at Your right hand, on the son of man You have raised up for Yourself.
[BSB | EN | OT | Psalms | Chapter 80 | Verse 18] Then we will not turn away from You; revive us, and we will call on Your name.
[BSB | EN | OT | Psalms | Chapter 80 | Verse 19] Restore us, O LORD God of Hosts; cause Your face to shine upon us, that we may be saved.
