[BSB | EN | OT | Psalms | Chapter 60 | Verse 1] You have rejected us, O God; You have broken us; You have been angry; restore us!
[BSB | EN | OT | Psalms | Chapter 60 | Verse 2] You have shaken the land and torn it open. Heal its fractures, for it is quaking.
[BSB | EN | OT | Psalms | Chapter 60 | Verse 3] You have shown Your people hardship; we are staggered from the wine You made us drink.
[BSB | EN | OT | Psalms | Chapter 60 | Verse 4] You have raised a banner for those who fear You, that they may flee the bow. Selah
[BSB | EN | OT | Psalms | Chapter 60 | Verse 5] Respond and save us with Your right hand, that Your beloved may be delivered.
[BSB | EN | OT | Psalms | Chapter 60 | Verse 6] God has spoken from His sanctuary: “I will triumph! I will parcel out Shechem and apportion the Valley of Succoth.
[BSB | EN | OT | Psalms | Chapter 60 | Verse 7] Gilead is Mine, and Manasseh is Mine; Ephraim is My helmet, Judah is My scepter.
[BSB | EN | OT | Psalms | Chapter 60 | Verse 8] Moab is My washbasin; upon Edom I toss My sandal; over Philistia I shout in triumph.”
[BSB | EN | OT | Psalms | Chapter 60 | Verse 9] Who will bring me to the fortified city? Who will lead me to Edom?
[BSB | EN | OT | Psalms | Chapter 60 | Verse 10] Have You not rejected us, O God? Will You no longer march out, O God, with our armies?
[BSB | EN | OT | Psalms | Chapter 60 | Verse 11] Give us aid against the enemy, for the help of man is worthless.
[BSB | EN | OT | Psalms | Chapter 60 | Verse 12] With God we will perform with valor, and He will trample our enemies.
