[BSB | EN | OT | Psalms | Chapter 145 | Verse 1] I will exalt You, my God and King; I will bless Your name forever and ever.
[BSB | EN | OT | Psalms | Chapter 145 | Verse 2] Every day I will bless You, and I will praise Your name forever and ever.
[BSB | EN | OT | Psalms | Chapter 145 | Verse 3] Great is the LORD and greatly to be praised; His greatness is unsearchable.
[BSB | EN | OT | Psalms | Chapter 145 | Verse 4] One generation will commend Your works to the next, and will proclaim Your mighty acts—
[BSB | EN | OT | Psalms | Chapter 145 | Verse 5] the glorious splendor of Your majesty. And I will meditate on Your wondrous works.
[BSB | EN | OT | Psalms | Chapter 145 | Verse 6] They will proclaim the power of Your awesome deeds, and I will declare Your greatness.
[BSB | EN | OT | Psalms | Chapter 145 | Verse 7] They will extol the fame of Your abundant goodness and sing joyfully of Your righteousness.
[BSB | EN | OT | Psalms | Chapter 145 | Verse 8] The LORD is gracious and compassionate, slow to anger and abounding in loving devotion.
[BSB | EN | OT | Psalms | Chapter 145 | Verse 9] The LORD is good to all; His compassion rests on all He has made.
[BSB | EN | OT | Psalms | Chapter 145 | Verse 10] All You have made will give You thanks, O LORD, and Your saints will bless You.
[BSB | EN | OT | Psalms | Chapter 145 | Verse 11] They will tell of the glory of Your kingdom and speak of Your might,
[BSB | EN | OT | Psalms | Chapter 145 | Verse 12] to make known to men Your mighty acts and the glorious splendor of Your kingdom.
[BSB | EN | OT | Psalms | Chapter 145 | Verse 13] Your kingdom is an everlasting kingdom, and Your dominion endures through all generations. The LORD is faithful in all His words and kind in all His actions.
[BSB | EN | OT | Psalms | Chapter 145 | Verse 14] The LORD upholds all who fall and lifts up all who are bowed down.
[BSB | EN | OT | Psalms | Chapter 145 | Verse 15] The eyes of all look to You, and You give them their food in season.
[BSB | EN | OT | Psalms | Chapter 145 | Verse 16] You open Your hand and satisfy the desire of every living thing.
[BSB | EN | OT | Psalms | Chapter 145 | Verse 17] The LORD is righteous in all His ways and kind in all His deeds.
[BSB | EN | OT | Psalms | Chapter 145 | Verse 18] The LORD is near to all who call on Him, to all who call out to Him in truth.
[BSB | EN | OT | Psalms | Chapter 145 | Verse 19] He fulfills the desires of those who fear Him; He hears their cry and saves them.
[BSB | EN | OT | Psalms | Chapter 145 | Verse 20] The LORD preserves all who love Him, but all the wicked He will destroy.
[BSB | EN | OT | Psalms | Chapter 145 | Verse 21] My mouth will declare the praise of the LORD; let every creature bless His holy name forever and ever.
