[BSB | EN | OT | Psalms | Chapter 16 | Verse 1] Preserve me, O God, for in You I take refuge.
[BSB | EN | OT | Psalms | Chapter 16 | Verse 2] I said to the LORD, “You are my Lord; apart from You I have no good thing.”
[BSB | EN | OT | Psalms | Chapter 16 | Verse 3] As for the saints in the land, they are the excellence in whom all my delight resides.
[BSB | EN | OT | Psalms | Chapter 16 | Verse 4] Sorrows will multiply to those who chase other gods. I will not pour out their libations of blood, or speak their names with my lips.
[BSB | EN | OT | Psalms | Chapter 16 | Verse 5] The LORD is my chosen portion and my cup; You have made my lot secure.
[BSB | EN | OT | Psalms | Chapter 16 | Verse 6] The lines of my boundary have fallen in pleasant places; surely my inheritance is delightful.
[BSB | EN | OT | Psalms | Chapter 16 | Verse 7] I will bless the LORD who counsels me; even at night my conscience instructs me.
[BSB | EN | OT | Psalms | Chapter 16 | Verse 8] I have set the LORD always before me. Because He is at my right hand, I will not be shaken.
[BSB | EN | OT | Psalms | Chapter 16 | Verse 9] Therefore my heart is glad and my tongue rejoices; my body also will dwell securely.
[BSB | EN | OT | Psalms | Chapter 16 | Verse 10] For You will not abandon my soul to Sheol, nor will You let Your Holy One see decay.
[BSB | EN | OT | Psalms | Chapter 16 | Verse 11] You have made known to me the path of life; You will fill me with joy in Your presence, with eternal pleasures at Your right hand.
