[BSB | EN | OT | Psalms | Chapter 63 | Verse 1] O God, You are my God. Earnestly I seek You; my soul thirsts for You. My body yearns for You in a dry and weary land without water.
[BSB | EN | OT | Psalms | Chapter 63 | Verse 2] So I have seen You in the sanctuary and beheld Your power and glory.
[BSB | EN | OT | Psalms | Chapter 63 | Verse 3] Because Your loving devotion is better than life, my lips will glorify You.
[BSB | EN | OT | Psalms | Chapter 63 | Verse 4] So I will bless You as long as I live; in Your name I will lift my hands.
[BSB | EN | OT | Psalms | Chapter 63 | Verse 5] My soul is satisfied as with the richest of foods; with joyful lips my mouth will praise You.
[BSB | EN | OT | Psalms | Chapter 63 | Verse 6] When I remember You on my bed, I think of You through the watches of the night.
[BSB | EN | OT | Psalms | Chapter 63 | Verse 7] For You are my help; I will sing for joy in the shadow of Your wings.
[BSB | EN | OT | Psalms | Chapter 63 | Verse 8] My soul clings to You; Your right hand upholds me.
[BSB | EN | OT | Psalms | Chapter 63 | Verse 9] But those who seek my life to destroy it will go into the depths of the earth.
[BSB | EN | OT | Psalms | Chapter 63 | Verse 10] They will fall to the power of the sword; they will become a portion for foxes.
[BSB | EN | OT | Psalms | Chapter 63 | Verse 11] But the king will rejoice in God; all who swear by Him will exult, for the mouths of liars will be shut.
