[BSB | EN | OT | Psalms | Chapter 139 | Verse 1] O LORD, You have searched me and known me.
[BSB | EN | OT | Psalms | Chapter 139 | Verse 2] You know when I sit and when I rise; You understand my thoughts from afar.
[BSB | EN | OT | Psalms | Chapter 139 | Verse 3] You search out my path and my lying down; You are aware of all my ways.
[BSB | EN | OT | Psalms | Chapter 139 | Verse 4] Even before a word is on my tongue, You know all about it, O LORD.
[BSB | EN | OT | Psalms | Chapter 139 | Verse 5] You hem me in behind and before; You have laid Your hand upon me.
[BSB | EN | OT | Psalms | Chapter 139 | Verse 6] Such knowledge is too wonderful for me, too lofty for me to attain.
[BSB | EN | OT | Psalms | Chapter 139 | Verse 7] Where can I go to escape Your Spirit? Where can I flee from Your presence?
[BSB | EN | OT | Psalms | Chapter 139 | Verse 8] If I ascend to the heavens, You are there; if I make my bed in Sheol, You are there.
[BSB | EN | OT | Psalms | Chapter 139 | Verse 9] If I rise on the wings of the dawn, if I settle by the farthest sea,
[BSB | EN | OT | Psalms | Chapter 139 | Verse 10] even there Your hand will guide me; Your right hand will hold me fast.
[BSB | EN | OT | Psalms | Chapter 139 | Verse 11] If I say, “Surely the darkness will hide me, and the light become night around me”—
[BSB | EN | OT | Psalms | Chapter 139 | Verse 12] even the darkness is not dark to You, but the night shines like the day, for darkness is as light to You.
[BSB | EN | OT | Psalms | Chapter 139 | Verse 13] For You formed my inmost being; You knit me together in my mother’s womb.
[BSB | EN | OT | Psalms | Chapter 139 | Verse 14] I praise You, for I am fearfully and wonderfully made. Marvelous are Your works, and I know this very well.
[BSB | EN | OT | Psalms | Chapter 139 | Verse 15] My frame was not hidden from You when I was made in secret, when I was woven together in the depths of the earth.
[BSB | EN | OT | Psalms | Chapter 139 | Verse 16] Your eyes saw my unformed body; all my days were written in Your book and ordained for me before one of them came to be.
[BSB | EN | OT | Psalms | Chapter 139 | Verse 17] How precious to me are Your thoughts, O God, how vast is their sum!
[BSB | EN | OT | Psalms | Chapter 139 | Verse 18] If I were to count them, they would outnumber the grains of sand; and when I awake, I am still with You.
[BSB | EN | OT | Psalms | Chapter 139 | Verse 19] O God, that You would slay the wicked— away from me, you bloodthirsty men—
[BSB | EN | OT | Psalms | Chapter 139 | Verse 20] who speak of You deceitfully; Your enemies take Your name in vain.
[BSB | EN | OT | Psalms | Chapter 139 | Verse 21] Do I not hate those who hate You, O LORD, and detest those who rise against You?
[BSB | EN | OT | Psalms | Chapter 139 | Verse 22] I hate them with perfect hatred; I count them as my enemies.
[BSB | EN | OT | Psalms | Chapter 139 | Verse 23] Search me, O God, and know my heart; test me and know my concerns.
[BSB | EN | OT | Psalms | Chapter 139 | Verse 24] See if there is any offensive way in me; lead me in the way everlasting.
