[BSB | EN | OT | Psalms | Chapter 9 | Verse 1] I will give thanks to the LORD with all my heart; I will recount all Your wonders.
[BSB | EN | OT | Psalms | Chapter 9 | Verse 2] I will be glad and rejoice in You; I will sing praise to Your name, O Most High.
[BSB | EN | OT | Psalms | Chapter 9 | Verse 3] When my enemies retreat, they stumble and perish before You.
[BSB | EN | OT | Psalms | Chapter 9 | Verse 4] For You have upheld my just cause; You sit on Your throne judging righteously.
[BSB | EN | OT | Psalms | Chapter 9 | Verse 5] You have rebuked the nations; You have destroyed the wicked; You have erased their name forever and ever.
[BSB | EN | OT | Psalms | Chapter 9 | Verse 6] The enemy has come to eternal ruin, and You have uprooted their cities; the very memory of them has vanished.
[BSB | EN | OT | Psalms | Chapter 9 | Verse 7] But the LORD abides forever; He has established His throne for judgment.
[BSB | EN | OT | Psalms | Chapter 9 | Verse 8] He judges the world with justice; He governs the people with equity.
[BSB | EN | OT | Psalms | Chapter 9 | Verse 9] The LORD is a refuge for the oppressed, a stronghold in times of trouble.
[BSB | EN | OT | Psalms | Chapter 9 | Verse 10] Those who know Your name trust in You, for You, O LORD, have not forsaken those who seek You.
[BSB | EN | OT | Psalms | Chapter 9 | Verse 11] Sing praises to the LORD, who dwells in Zion; proclaim His deeds among the nations.
[BSB | EN | OT | Psalms | Chapter 9 | Verse 12] For the Avenger of bloodshed remembers; He does not ignore the cry of the afflicted.
[BSB | EN | OT | Psalms | Chapter 9 | Verse 13] Be merciful to me, O LORD; see how my enemies afflict me! Lift me up from the gates of death,
[BSB | EN | OT | Psalms | Chapter 9 | Verse 14] that I may declare all Your praises— that within the gates of Daughter Zion I may rejoice in Your salvation.
[BSB | EN | OT | Psalms | Chapter 9 | Verse 15] The nations have fallen into a pit of their making; their feet are caught in the net they have hidden.
[BSB | EN | OT | Psalms | Chapter 9 | Verse 16] The LORD is known by the justice He brings; the wicked are ensnared by the work of their hands. Higgaion Selah
[BSB | EN | OT | Psalms | Chapter 9 | Verse 17] The wicked will return to Sheol— all the nations who forget God.
[BSB | EN | OT | Psalms | Chapter 9 | Verse 18] For the needy will not always be forgotten; nor the hope of the oppressed forever dashed.
[BSB | EN | OT | Psalms | Chapter 9 | Verse 19] Rise up, O LORD, do not let man prevail; let the nations be judged in Your presence.
[BSB | EN | OT | Psalms | Chapter 9 | Verse 20] Lay terror upon them, O LORD; let the nations know they are but men. Selah
