[BSB | EN | OT | Psalms | Chapter 55 | Verse 1] Listen to my prayer, O God, and do not ignore my plea.
[BSB | EN | OT | Psalms | Chapter 55 | Verse 2] Attend to me and answer me. I am restless in my complaint, and distraught
[BSB | EN | OT | Psalms | Chapter 55 | Verse 3] at the voice of the enemy, at the pressure of the wicked. For they release disaster upon me and revile me in their anger.
[BSB | EN | OT | Psalms | Chapter 55 | Verse 4] My heart murmurs within me, and the terrors of death assail me.
[BSB | EN | OT | Psalms | Chapter 55 | Verse 5] Fear and trembling grip me, and horror has overwhelmed me.
[BSB | EN | OT | Psalms | Chapter 55 | Verse 6] I said, “Oh, that I had wings like a dove! I would fly away and find rest.
[BSB | EN | OT | Psalms | Chapter 55 | Verse 7] How far away I would flee! In the wilderness I would remain. Selah
[BSB | EN | OT | Psalms | Chapter 55 | Verse 8] I would hurry to my shelter, far from this raging tempest.”
[BSB | EN | OT | Psalms | Chapter 55 | Verse 9] O Lord, confuse and confound their speech, for I see violence and strife in the city.
[BSB | EN | OT | Psalms | Chapter 55 | Verse 10] Day and night they encircle the walls, while malice and trouble lie within.
[BSB | EN | OT | Psalms | Chapter 55 | Verse 11] Destruction is within; oppression and deceit never leave the streets.
[BSB | EN | OT | Psalms | Chapter 55 | Verse 12] For it is not an enemy who insults me; that I could endure. It is not a foe who rises against me; from him I could hide.
[BSB | EN | OT | Psalms | Chapter 55 | Verse 13] But it is you, a man like myself, my companion and close friend.
[BSB | EN | OT | Psalms | Chapter 55 | Verse 14] We shared sweet fellowship together; we walked with the crowd into the house of God.
[BSB | EN | OT | Psalms | Chapter 55 | Verse 15] Let death seize them by surprise; let them go down to Sheol alive, for evil is with them in their homes.
[BSB | EN | OT | Psalms | Chapter 55 | Verse 16] But I call to God, and the LORD saves me.
[BSB | EN | OT | Psalms | Chapter 55 | Verse 17] Morning, noon, and night, I cry out in distress, and He hears my voice.
[BSB | EN | OT | Psalms | Chapter 55 | Verse 18] He redeems my soul in peace from the battle waged against me, even though many oppose me.
[BSB | EN | OT | Psalms | Chapter 55 | Verse 19] God will hear and humiliate them— the One enthroned for the ages— Selah because they do not change and they have no fear of God.
[BSB | EN | OT | Psalms | Chapter 55 | Verse 20] My companion attacks his friends; he violates his covenant.
[BSB | EN | OT | Psalms | Chapter 55 | Verse 21] His speech is smooth as butter, but war is in his heart. His words are softer than oil, yet they are swords unsheathed.
[BSB | EN | OT | Psalms | Chapter 55 | Verse 22] Cast your burden upon the LORD and He will sustain you; He will never let the righteous be shaken.
[BSB | EN | OT | Psalms | Chapter 55 | Verse 23] But You, O God, will bring them down to the Pit of destruction; men of bloodshed and deceit will not live out half their days. But I will trust in You.
