[BSB | EN | OT | Psalms | Chapter 95 | Verse 1] Come, let us sing for joy to the LORD; let us shout to the Rock of our salvation!
[BSB | EN | OT | Psalms | Chapter 95 | Verse 2] Let us enter His presence with thanksgiving; let us make a joyful noise to Him in song.
[BSB | EN | OT | Psalms | Chapter 95 | Verse 3] For the LORD is a great God, a great King above all gods.
[BSB | EN | OT | Psalms | Chapter 95 | Verse 4] In His hand are the depths of the earth, and the mountain peaks belong to Him.
[BSB | EN | OT | Psalms | Chapter 95 | Verse 5] The sea is His, for He made it, and His hands formed the dry land.
[BSB | EN | OT | Psalms | Chapter 95 | Verse 6] O come, let us worship and bow down; let us kneel before the LORD our Maker.
[BSB | EN | OT | Psalms | Chapter 95 | Verse 7] For He is our God, and we are the people of His pasture, the sheep under His care. Today, if you hear His voice,
[BSB | EN | OT | Psalms | Chapter 95 | Verse 8] do not harden your hearts as you did at Meribah, in the day at Massah in the wilderness,
[BSB | EN | OT | Psalms | Chapter 95 | Verse 9] where your fathers tested and tried Me, though they had seen My work.
[BSB | EN | OT | Psalms | Chapter 95 | Verse 10] For forty years I was angry with that generation, and I said, “They are a people whose hearts go astray, and they have not known My ways.”
[BSB | EN | OT | Psalms | Chapter 95 | Verse 11] So I swore on oath in My anger, “They shall never enter My rest.”
