[BSB | EN | OT | Psalms | Chapter 103 | Verse 1] Bless the LORD, O my soul; all that is within me, bless His holy name.
[BSB | EN | OT | Psalms | Chapter 103 | Verse 2] Bless the LORD, O my soul, and do not forget all His kind deeds—
[BSB | EN | OT | Psalms | Chapter 103 | Verse 3] He who forgives all your iniquities and heals all your diseases,
[BSB | EN | OT | Psalms | Chapter 103 | Verse 4] who redeems your life from the Pit and crowns you with loving devotion and compassion,
[BSB | EN | OT | Psalms | Chapter 103 | Verse 5] who satisfies you with good things, so that your youth is renewed like the eagle’s.
[BSB | EN | OT | Psalms | Chapter 103 | Verse 6] The LORD executes righteousness and justice for all the oppressed.
[BSB | EN | OT | Psalms | Chapter 103 | Verse 7] He made known His ways to Moses, His deeds to the people of Israel.
[BSB | EN | OT | Psalms | Chapter 103 | Verse 8] The LORD is compassionate and gracious, slow to anger, abounding in loving devotion.
[BSB | EN | OT | Psalms | Chapter 103 | Verse 9] He will not always accuse us, nor harbor His anger forever.
[BSB | EN | OT | Psalms | Chapter 103 | Verse 10] He has not dealt with us according to our sins or repaid us according to our iniquities.
[BSB | EN | OT | Psalms | Chapter 103 | Verse 11] For as high as the heavens are above the earth, so great is His loving devotion for those who fear Him.
[BSB | EN | OT | Psalms | Chapter 103 | Verse 12] As far as the east is from the west, so far has He removed our transgressions from us.
[BSB | EN | OT | Psalms | Chapter 103 | Verse 13] As a father has compassion on his children, so the LORD has compassion on those who fear Him.
[BSB | EN | OT | Psalms | Chapter 103 | Verse 14] For He knows our frame; He is mindful that we are dust.
[BSB | EN | OT | Psalms | Chapter 103 | Verse 15] As for man, his days are like grass— he blooms like a flower of the field;
[BSB | EN | OT | Psalms | Chapter 103 | Verse 16] when the wind passes over, it vanishes, and its place remembers it no more.
[BSB | EN | OT | Psalms | Chapter 103 | Verse 17] But from everlasting to everlasting the loving devotion of the LORD extends to those who fear Him, and His righteousness to their children’s children—
[BSB | EN | OT | Psalms | Chapter 103 | Verse 18] to those who keep His covenant and remember to obey His precepts.
[BSB | EN | OT | Psalms | Chapter 103 | Verse 19] The LORD has established His throne in heaven, and His kingdom rules over all.
[BSB | EN | OT | Psalms | Chapter 103 | Verse 20] Bless the LORD, all His angels mighty in strength who carry out His word, who hearken to the voice of His command.
[BSB | EN | OT | Psalms | Chapter 103 | Verse 21] Bless the LORD, all His hosts, you servants who do His will.
[BSB | EN | OT | Psalms | Chapter 103 | Verse 22] Bless the LORD, all His works in all places of His dominion. Bless the LORD, O my soul!
