[BSB | EN | OT | Psalms | Chapter 37 | Verse 1] Do not fret over those who do evil; do not envy those who do wrong.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 2] For they wither quickly like grass and wilt like tender plants.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 3] Trust in the LORD and do good; dwell in the land and cultivate faithfulness.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 4] Delight yourself in the LORD, and He will give you the desires of your heart.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 5] Commit your way to the LORD; trust in Him, and He will do it.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 6] He will bring forth your righteousness like the dawn, your justice like the noonday sun.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 7] Be still before the LORD and wait patiently for Him; do not fret when men prosper in their ways, when they carry out wicked schemes.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 8] Refrain from anger and abandon wrath; do not fret—it can only bring harm.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 9] For the evildoers will be cut off, but those who hope in the LORD will inherit the land.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 10] Yet a little while, and the wicked will be no more; though you look for them, they will not be found.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 11] But the meek will inherit the land and delight in abundant prosperity.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 12] The wicked scheme against the righteous and gnash their teeth at them,
[BSB | EN | OT | Psalms | Chapter 37 | Verse 13] but the Lord laughs, seeing that their day is coming.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 14] The wicked have drawn the sword and bent the bow to bring down the poor and needy, to slay those whose ways are upright.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 15] But their swords will pierce their own hearts, and their bows will be broken.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 16] Better is the little of the righteous than the abundance of many who are wicked.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 17] For the arms of the wicked will be broken, but the LORD upholds the righteous.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 18] The LORD knows the days of the blameless, and their inheritance will last forever.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 19] In the time of evil they will not be ashamed, and in the days of famine they will be satisfied.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 20] But the wicked and enemies of the LORD will perish like the glory of the fields. They will vanish; like smoke they will fade away.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 21] The wicked borrow and do not repay, but the righteous are gracious and giving.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 22] Surely those He blesses will inherit the land, but the cursed will be destroyed.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 23] The steps of a man are ordered by the LORD who takes delight in his journey.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 24] Though he falls, he will not be overwhelmed, for the LORD is holding his hand.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 25] I once was young and now am old, yet never have I seen the righteous abandoned or their children begging for bread.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 26] They are ever generous and quick to lend, and their children are a blessing.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 27] Turn away from evil and do good, so that you will abide forever.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 28] For the LORD loves justice and will not forsake His saints. They are preserved forever, but the offspring of the wicked will be cut off.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 29] The righteous will inherit the land and dwell in it forever.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 30] The mouth of the righteous man utters wisdom, and his tongue speaks justice.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 31] The law of his God is in his heart; his steps do not falter.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 32] Though the wicked lie in wait for the righteous, and seek to slay them,
[BSB | EN | OT | Psalms | Chapter 37 | Verse 33] the LORD will not leave them in their power or let them be condemned under judgment.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 34] Wait for the LORD and keep His way, and He will raise you up to inherit the land. When the wicked are cut off, you will see it.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 35] I have seen a wicked, ruthless man flourishing like a well-rooted native tree,
[BSB | EN | OT | Psalms | Chapter 37 | Verse 36] yet he passed away and was no more; though I searched, he could not be found.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 37] Consider the blameless and observe the upright, for posterity awaits the man of peace.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 38] But the transgressors will all be destroyed; the future of the wicked will be cut off.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 39] The salvation of the righteous is from the LORD; He is their stronghold in time of trouble.
[BSB | EN | OT | Psalms | Chapter 37 | Verse 40] The LORD helps and delivers them; He rescues and saves them from the wicked, because they take refuge in Him.
