[BSB | EN | OT | Daniel | Chapter 1 | Verse 1] In the third year of the reign of Jehoiakim king of Judah, Nebuchadnezzar king of Babylon came to Jerusalem and besieged it.
[BSB | EN | OT | Daniel | Chapter 1 | Verse 2] And the Lord delivered into his hand Jehoiakim king of Judah, along with some of the articles from the house of God. He carried these off to the land of Shinar, to the house of his god, where he put them in the treasury of his god.
[BSB | EN | OT | Daniel | Chapter 1 | Verse 3] Then the king ordered Ashpenaz, the chief of his court officials, to bring in some Israelites from the royal family and the nobility—
[BSB | EN | OT | Daniel | Chapter 1 | Verse 4] young men without blemish, handsome, gifted in all wisdom, knowledgeable, quick to understand, and qualified to serve in the king’s palace—and to teach them the language and literature of the Chaldeans.
[BSB | EN | OT | Daniel | Chapter 1 | Verse 5] The king assigned them daily provisions of the royal food and wine. They were to be trained for three years, after which they were to enter the king’s service.
[BSB | EN | OT | Daniel | Chapter 1 | Verse 6] Among these young men were some from Judah: Daniel, Hananiah, Mishael, and Azariah.
[BSB | EN | OT | Daniel | Chapter 1 | Verse 7] The chief official gave them new names: To Daniel he gave the name Belteshazzar; to Hananiah, Shadrach; to Mishael, Meshach; and to Azariah, Abednego.
[BSB | EN | OT | Daniel | Chapter 1 | Verse 8] But Daniel made up his mind that he would not defile himself with the king’s food or wine. So he asked the chief official for permission not to defile himself.
[BSB | EN | OT | Daniel | Chapter 1 | Verse 9] Now God had granted Daniel favor and compassion from the chief official,
[BSB | EN | OT | Daniel | Chapter 1 | Verse 10] but he said to Daniel, “I fear my lord the king, who has assigned your food and drink. For why should he see your faces looking thinner than those of the other young men your age? You would endanger my head before the king!”
[BSB | EN | OT | Daniel | Chapter 1 | Verse 11] Then Daniel said to the steward whom the chief official had appointed over Daniel, Hananiah, Mishael, and Azariah,
[BSB | EN | OT | Daniel | Chapter 1 | Verse 12] “Please test your servants for ten days. Let us be given only vegetables to eat and water to drink.
[BSB | EN | OT | Daniel | Chapter 1 | Verse 13] Then compare our appearances with those of the young men who are eating the royal food, and deal with your servants according to what you see.”
[BSB | EN | OT | Daniel | Chapter 1 | Verse 14] So he consented to this and tested them for ten days.
[BSB | EN | OT | Daniel | Chapter 1 | Verse 15] And at the end of ten days, they looked healthier and better nourished than all the young men who were eating the king’s food.
[BSB | EN | OT | Daniel | Chapter 1 | Verse 16] So the steward continued to withhold their choice food and the wine they were to drink, and he gave them vegetables instead.
[BSB | EN | OT | Daniel | Chapter 1 | Verse 17] To these four young men God gave knowledge and understanding in every kind of literature and wisdom. And Daniel had insight into all kinds of visions and dreams.
[BSB | EN | OT | Daniel | Chapter 1 | Verse 18] Now at the end of the time specified by the king, the chief official presented them to Nebuchadnezzar.
[BSB | EN | OT | Daniel | Chapter 1 | Verse 19] And the king spoke with them, and among all the young men he found no one equal to Daniel, Hananiah, Mishael, and Azariah. So they entered the king’s service.
[BSB | EN | OT | Daniel | Chapter 1 | Verse 20] In every matter of wisdom and understanding about which the king consulted them, he found them ten times better than all the magicians and enchanters in his entire kingdom.
[BSB | EN | OT | Daniel | Chapter 1 | Verse 21] And Daniel remained there until the first year of King Cyrus.
