[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 1] Πέτρος ἀπόστολος Ἰησοῦ Χριστοῦ ἐκλεκτοῖς παρεπιδήμοις διασπορᾶς Πόντου, Γαλατίας, Καππαδοκίας, Ἀσίας, καὶ Βιθυνίας,
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 2] κατὰ πρόγνωσιν θεοῦ πατρός, ἐν ἁγιασμῷ πνεύματος, εἰς ὑπακοὴν καὶ ῥαντισμὸν αἵματος Ἰησοῦ Χριστοῦ· χάρις ὑμῖν καὶ εἰρήνη πληθυνθείη.
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 3] Εὐλογητὸς ὁ θεὸς καὶ πατὴρ τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ, ὁ κατὰ τὸ πολὺ αὐτοῦ ἔλεος ἀναγεννήσας ἡμᾶς εἰς ἐλπίδα ζῶσαν διʼ ἀναστάσεως Ἰησοῦ Χριστοῦ ἐκ νεκρῶν,
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 4] εἰς κληρονομίαν ἄφθαρτον καὶ ἀμίαντον καὶ ἀμάραντον, τετηρημένην ἐν οὐρανοῖς εἰς ὑμᾶς
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 5] τοὺς ἐν δυνάμει θεοῦ φρουρουμένους διὰ πίστεως εἰς σωτηρίαν ἑτοίμην ἀποκαλυφθῆναι ἐν καιρῷ ἐσχάτῳ.
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 6] ἐν ᾧ ἀγαλλιᾶσθε, ὀλίγον ἄρτι εἰ ⸀δέον ⸀λυπηθέντες ἐν ποικίλοις πειρασμοῖς,
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 7] ἵνα τὸ δοκίμιον ὑμῶν τῆς πίστεως ⸀πολυτιμότερον χρυσίου τοῦ ἀπολλυμένου διὰ πυρὸς δὲ δοκιμαζομένου εὑρεθῇ εἰς ἔπαινον καὶ ⸂δόξαν καὶ τιμὴν⸃ ἐν ἀποκαλύψει Ἰησοῦ Χριστοῦ.
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 8] ὃν οὐκ ⸀ἰδόντες ἀγαπᾶτε, εἰς ὃν ἄρτι μὴ ὁρῶντες πιστεύοντες δὲ ⸀ἀγαλλιᾶσθε χαρᾷ ἀνεκλαλήτῳ καὶ δεδοξασμένῃ,
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 9] κομιζόμενοι τὸ τέλος τῆς πίστεως ⸀ὑμῶν σωτηρίαν ψυχῶν.
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 10] Περὶ ἧς σωτηρίας ἐξεζήτησαν καὶ ἐξηραύνησαν προφῆται οἱ περὶ τῆς εἰς ὑμᾶς χάριτος προφητεύσαντες,
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 11] ἐραυνῶντες εἰς τίνα ἢ ποῖον καιρὸν ἐδήλου τὸ ἐν αὐτοῖς πνεῦμα Χριστοῦ προμαρτυρόμενον τὰ εἰς Χριστὸν παθήματα καὶ τὰς μετὰ ταῦτα δόξας·
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 12] οἷς ἀπεκαλύφθη ὅτι οὐχ ἑαυτοῖς ὑμῖν δὲ διηκόνουν αὐτά, ἃ νῦν ἀνηγγέλη ὑμῖν διὰ τῶν εὐαγγελισαμένων ⸀ὑμᾶς πνεύματι ἁγίῳ ἀποσταλέντι ἀπʼ οὐρανοῦ, εἰς ἃ ἐπιθυμοῦσιν ἄγγελοι παρακύψαι.
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 13] Διὸ ἀναζωσάμενοι τὰς ὀσφύας τῆς διανοίας ὑμῶν, νήφοντες τελείως, ἐλπίσατε ἐπὶ τὴν φερομένην ὑμῖν χάριν ἐν ἀποκαλύψει Ἰησοῦ Χριστοῦ.
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 14] ὡς τέκνα ὑπακοῆς, μὴ συσχηματιζόμενοι ταῖς πρότερον ἐν τῇ ἀγνοίᾳ ὑμῶν ἐπιθυμίαις,
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 15] ἀλλὰ κατὰ τὸν καλέσαντα ὑμᾶς ἅγιον καὶ αὐτοὶ ἅγιοι ἐν πάσῃ ἀναστροφῇ γενήθητε,
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 16] διότι γέγραπται ⸀ὅτι Ἅγιοι ⸀ἔσεσθε, ὅτι ἐγὼ ⸀ἅγιος.
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 17] Καὶ εἰ πατέρα ἐπικαλεῖσθε τὸν ἀπροσωπολήμπτως κρίνοντα κατὰ τὸ ἑκάστου ἔργον, ἐν φόβῳ τὸν τῆς παροικίας ὑμῶν χρόνον ἀναστράφητε·
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 18] εἰδότες ὅτι οὐ φθαρτοῖς, ἀργυρίῳ ἢ χρυσίῳ, ἐλυτρώθητε ἐκ τῆς ματαίας ὑμῶν ἀναστροφῆς πατροπαραδότου,
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 19] ἀλλὰ τιμίῳ αἵματι ὡς ἀμνοῦ ἀμώμου καὶ ἀσπίλου Χριστοῦ,
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 20] προεγνωσμένου μὲν πρὸ καταβολῆς κόσμου, φανερωθέντος δὲ ἐπʼ ⸀ἐσχάτου τῶν χρόνων διʼ ὑμᾶς
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 21] τοὺς διʼ αὐτοῦ ⸀πιστοὺς εἰς θεὸν τὸν ἐγείραντα αὐτὸν ἐκ νεκρῶν καὶ δόξαν αὐτῷ δόντα, ὥστε τὴν πίστιν ὑμῶν καὶ ἐλπίδα εἶναι εἰς θεόν.
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 22] Τὰς ψυχὰς ὑμῶν ἡγνικότες ἐν τῇ ὑπακοῇ τῆς ⸀ἀληθείας εἰς φιλαδελφίαν ἀνυπόκριτον ⸀ἐκ καρδίας ἀλλήλους ἀγαπήσατε ἐκτενῶς,
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 23] ἀναγεγεννημένοι οὐκ ἐκ σπορᾶς φθαρτῆς ἀλλὰ ἀφθάρτου, διὰ λόγου ζῶντος θεοῦ καὶ ⸀μένοντος·
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 24] διότι πᾶσα σὰρξ ὡς χόρτος, καὶ πᾶσα δόξα ⸀αὐτῆς ὡς ἄνθος χόρτου· ἐξηράνθη ὁ χόρτος, καὶ τὸ ⸀ἄνθος ἐξέπεσεν·
[SBLGNT | EL | NT | 1 Peter | Chapter 1 | Verse 25] τὸ δὲ ῥῆμα κυρίου μένει εἰς τὸν αἰῶνα. τοῦτο δέ ἐστιν τὸ ῥῆμα τὸ εὐαγγελισθὲν εἰς ὑμᾶς.
