[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 1] ⸀Ὁμοίως γυναῖκες ὑποτασσόμεναι τοῖς ἰδίοις ἀνδράσιν, ἵνα ⸀καὶ εἴ τινες ἀπειθοῦσιν τῷ λόγῳ διὰ τῆς τῶν γυναικῶν ἀναστροφῆς ἄνευ λόγου κερδηθήσονται
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 2] ἐποπτεύσαντες τὴν ἐν φόβῳ ἁγνὴν ἀναστροφὴν ὑμῶν.
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 3] ὧν ἔστω οὐχ ὁ ἔξωθεν ἐμπλοκῆς τριχῶν καὶ περιθέσεως χρυσίων ἢ ἐνδύσεως ἱματίων κόσμος,
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 4] ἀλλʼ ὁ κρυπτὸς τῆς καρδίας ἄνθρωπος ἐν τῷ ἀφθάρτῳ τοῦ ⸂πραέως καὶ ἡσυχίου⸃ πνεύματος, ὅ ἐστιν ἐνώπιον τοῦ θεοῦ πολυτελές.
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 5] οὕτως γάρ ποτε καὶ αἱ ἅγιαι γυναῖκες αἱ ἐλπίζουσαι ⸀εἰς θεὸν ἐκόσμουν ἑαυτάς, ὑποτασσόμεναι τοῖς ἰδίοις ἀνδράσιν,
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 6] ὡς Σάρρα ⸀ὑπήκουσεν τῷ Ἀβραάμ, κύριον αὐτὸν καλοῦσα· ἧς ἐγενήθητε τέκνα ἀγαθοποιοῦσαι καὶ μὴ φοβούμεναι μηδεμίαν πτόησιν.
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 7] Οἱ ἄνδρες ὁμοίως συνοικοῦντες κατὰ γνῶσιν, ὡς ἀσθενεστέρῳ σκεύει τῷ γυναικείῳ ἀπονέμοντες τιμήν, ὡς καὶ ⸀συγκληρονόμοις χάριτος ζωῆς, εἰς τὸ μὴ ἐγκόπτεσθαι τὰς προσευχὰς ὑμῶν.
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 8] Τὸ δὲ τέλος πάντες ὁμόφρονες, συμπαθεῖς, φιλάδελφοι, εὔσπλαγχνοι, ⸀ταπεινόφρονες,
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 9] μὴ ἀποδιδόντες κακὸν ἀντὶ κακοῦ ἢ λοιδορίαν ἀντὶ λοιδορίας τοὐναντίον δὲ ⸀εὐλογοῦντες, ὅτι εἰς τοῦτο ἐκλήθητε ἵνα εὐλογίαν κληρονομήσητε.
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 10] ὁ γὰρ θέλων ζωὴν ἀγαπᾶν καὶ ἰδεῖν ἡμέρας ἀγαθὰς παυσάτω τὴν ⸀γλῶσσαν ἀπὸ κακοῦ καὶ ⸀χείλη τοῦ μὴ λαλῆσαι δόλον,
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 11] ἐκκλινάτω ⸀δὲ ἀπὸ κακοῦ καὶ ποιησάτω ἀγαθόν, ζητησάτω εἰρήνην καὶ διωξάτω αὐτήν·
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 12] ὅτι ὀφθαλμοὶ κυρίου ἐπὶ δικαίους καὶ ὦτα αὐτοῦ εἰς δέησιν αὐτῶν, πρόσωπον δὲ κυρίου ἐπὶ ποιοῦντας κακά.
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 13] Καὶ τίς ὁ κακώσων ὑμᾶς ἐὰν τοῦ ἀγαθοῦ ⸀ζηλωταὶ γένησθε;
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 14] ἀλλʼ εἰ καὶ πάσχοιτε διὰ δικαιοσύνην, μακάριοι. τὸν δὲ φόβον αὐτῶν μὴ φοβηθῆτε μηδὲ ταραχθῆτε,
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 15] κύριον δὲ τὸν ⸀Χριστὸν ἁγιάσατε ἐν ταῖς καρδίαις ὑμῶν, ⸀ἕτοιμοι ἀεὶ πρὸς ἀπολογίαν παντὶ τῷ αἰτοῦντι ὑμᾶς λόγον περὶ τῆς ἐν ὑμῖν ἐλπίδος,
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 16] ⸀ἀλλὰ μετὰ πραΰτητος καὶ φόβου, συνείδησιν ἔχοντες ἀγαθήν, ἵνα ἐν ᾧ ⸀καταλαλεῖσθε καταισχυνθῶσιν οἱ ἐπηρεάζοντες ὑμῶν τὴν ἀγαθὴν ἐν Χριστῷ ἀναστροφήν.
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 17] κρεῖττον γὰρ ἀγαθοποιοῦντας, εἰ θέλοι τὸ θέλημα τοῦ θεοῦ, πάσχειν ἢ κακοποιοῦντας.
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 18] ὅτι καὶ Χριστὸς ἅπαξ περὶ ἁμαρτιῶν ⸀ἔπαθεν, δίκαιος ὑπὲρ ἀδίκων, ἵνα ⸀ὑμᾶς προσαγάγῃ τῷ θεῷ, θανατωθεὶς μὲν σαρκὶ ζῳοποιηθεὶς δὲ πνεύματι·
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 19] ἐν ᾧ καὶ τοῖς ἐν φυλακῇ πνεύμασιν πορευθεὶς ἐκήρυξεν,
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 20] ἀπειθήσασίν ποτε ὅτε ἀπεξεδέχετο ἡ τοῦ θεοῦ μακροθυμία ἐν ἡμέραις Νῶε κατασκευαζομένης κιβωτοῦ εἰς ἣν ⸀ὀλίγοι, τοῦτʼ ἔστιν ὀκτὼ ψυχαί, διεσώθησαν διʼ ὕδατος.
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 21] ὃ ⸂καὶ ὑμᾶς ἀντίτυπον νῦν⸃ σῴζει βάπτισμα, οὐ σαρκὸς ἀπόθεσις ῥύπου ἀλλὰ συνειδήσεως ἀγαθῆς ἐπερώτημα εἰς θεόν, διʼ ἀναστάσεως Ἰησοῦ Χριστοῦ,
[SBLGNT | EL | NT | 1 Peter | Chapter 3 | Verse 22] ὅς ἐστιν ἐν ⸀δεξιᾷ θεοῦ πορευθεὶς εἰς οὐρανὸν ὑποταγέντων αὐτῷ ἀγγέλων καὶ ἐξουσιῶν καὶ δυνάμεων.
