[SBLGNT | EL | NT | 1 Peter | Chapter 4 | Verse 1] Χριστοῦ οὖν ⸀παθόντος σαρκὶ καὶ ὑμεῖς τὴν αὐτὴν ἔννοιαν ὁπλίσασθε, ὅτι ὁ ⸀παθὼν σαρκὶ πέπαυται ⸀ἁμαρτίας,
[SBLGNT | EL | NT | 1 Peter | Chapter 4 | Verse 2] εἰς τὸ μηκέτι ἀνθρώπων ἐπιθυμίαις ἀλλὰ θελήματι θεοῦ τὸν ἐπίλοιπον ἐν σαρκὶ βιῶσαι χρόνον.
[SBLGNT | EL | NT | 1 Peter | Chapter 4 | Verse 3] ἀρκετὸς ⸀γὰρ ὁ παρεληλυθὼς ⸀χρόνος τὸ ⸀βούλημα τῶν ἐθνῶν ⸀κατειργάσθαι, πεπορευμένους ἐν ἀσελγείαις, ἐπιθυμίαις, οἰνοφλυγίαις, κώμοις, πότοις, καὶ ἀθεμίτοις εἰδωλολατρίαις.
[SBLGNT | EL | NT | 1 Peter | Chapter 4 | Verse 4] ἐν ᾧ ξενίζονται μὴ συντρεχόντων ὑμῶν εἰς τὴν αὐτὴν τῆς ἀσωτίας ἀνάχυσιν, βλασφημοῦντες·
[SBLGNT | EL | NT | 1 Peter | Chapter 4 | Verse 5] οἳ ἀποδώσουσιν λόγον τῷ ἑτοίμως ⸂ἔχοντι κρῖναι⸃ ζῶντας καὶ νεκρούς·
[SBLGNT | EL | NT | 1 Peter | Chapter 4 | Verse 6] εἰς τοῦτο γὰρ καὶ νεκροῖς εὐηγγελίσθη ἵνα κριθῶσι μὲν κατὰ ἀνθρώπους σαρκὶ ζῶσι δὲ κατὰ θεὸν πνεύματι.
[SBLGNT | EL | NT | 1 Peter | Chapter 4 | Verse 7] Πάντων δὲ τὸ τέλος ἤγγικεν. σωφρονήσατε οὖν καὶ νήψατε ⸀εἰς προσευχάς·
[SBLGNT | EL | NT | 1 Peter | Chapter 4 | Verse 8] πρὸ ⸀πάντων τὴν εἰς ἑαυτοὺς ἀγάπην ἐκτενῆ ἔχοντες, ὅτι ἀγάπη ⸀καλύπτει πλῆθος ἁμαρτιῶν·
[SBLGNT | EL | NT | 1 Peter | Chapter 4 | Verse 9] φιλόξενοι εἰς ἀλλήλους ἄνευ ⸀γογγυσμοῦ·
[SBLGNT | EL | NT | 1 Peter | Chapter 4 | Verse 10] ἕκαστος καθὼς ἔλαβεν χάρισμα, εἰς ἑαυτοὺς αὐτὸ διακονοῦντες ὡς καλοὶ οἰκονόμοι ποικίλης χάριτος θεοῦ·
[SBLGNT | EL | NT | 1 Peter | Chapter 4 | Verse 11] εἴ τις λαλεῖ, ὡς λόγια θεοῦ· εἴ τις διακονεῖ, ὡς ἐξ ἰσχύος ⸀ἧς χορηγεῖ ὁ θεός· ἵνα ἐν πᾶσιν δοξάζηται ὁ θεὸς διὰ Ἰησοῦ Χριστοῦ, ᾧ ἐστιν ἡ δόξα καὶ τὸ κράτος εἰς τοὺς αἰῶνας τῶν αἰώνων· ἀμήν.
[SBLGNT | EL | NT | 1 Peter | Chapter 4 | Verse 12] Ἀγαπητοί, μὴ ξενίζεσθε τῇ ἐν ὑμῖν πυρώσει πρὸς πειρασμὸν ὑμῖν γινομένῃ ὡς ξένου ὑμῖν συμβαίνοντος,
[SBLGNT | EL | NT | 1 Peter | Chapter 4 | Verse 13] ἀλλὰ καθὸ κοινωνεῖτε τοῖς τοῦ Χριστοῦ παθήμασιν χαίρετε, ἵνα καὶ ἐν τῇ ἀποκαλύψει τῆς δόξης αὐτοῦ χαρῆτε ἀγαλλιώμενοι.
[SBLGNT | EL | NT | 1 Peter | Chapter 4 | Verse 14] εἰ ὀνειδίζεσθε ἐν ὀνόματι Χριστοῦ, μακάριοι, ὅτι τὸ τῆς δόξης καὶ τὸ τοῦ θεοῦ πνεῦμα ἐφʼ ὑμᾶς ⸀ἀναπαύεται.
[SBLGNT | EL | NT | 1 Peter | Chapter 4 | Verse 15] μὴ γάρ τις ὑμῶν πασχέτω ὡς φονεὺς ἢ κλέπτης ἢ κακοποιὸς ἢ ὡς ἀλλοτριεπίσκοπος·
[SBLGNT | EL | NT | 1 Peter | Chapter 4 | Verse 16] εἰ δὲ ὡς Χριστιανός, μὴ αἰσχυνέσθω, δοξαζέτω δὲ τὸν θεὸν ἐν τῷ ⸀ὀνόματι τούτῳ.
[SBLGNT | EL | NT | 1 Peter | Chapter 4 | Verse 17] ὅτι ὁ καιρὸς τοῦ ἄρξασθαι τὸ κρίμα ἀπὸ τοῦ οἴκου τοῦ θεοῦ· εἰ δὲ πρῶτον ἀφʼ ἡμῶν, τί τὸ τέλος τῶν ἀπειθούντων τῷ τοῦ θεοῦ εὐαγγελίῳ;
[SBLGNT | EL | NT | 1 Peter | Chapter 4 | Verse 18] καὶ εἰ ὁ δίκαιος μόλις σῴζεται, ⸀ὁ ἀσεβὴς καὶ ἁμαρτωλὸς ποῦ φανεῖται;
[SBLGNT | EL | NT | 1 Peter | Chapter 4 | Verse 19] ὥστε καὶ οἱ πάσχοντες κατὰ τὸ θέλημα τοῦ ⸀θεοῦ πιστῷ κτίστῃ παρατιθέσθωσαν τὰς ψυχὰς ⸀αὐτῶν ἐν ἀγαθοποιΐᾳ.
