[SBLGNT | EL | NT | 1 Peter | Chapter 2 | Verse 1] Ἀποθέμενοι οὖν πᾶσαν κακίαν καὶ πάντα δόλον καὶ ⸀ὑποκρίσεις καὶ φθόνους καὶ πάσας καταλαλιάς,
[SBLGNT | EL | NT | 1 Peter | Chapter 2 | Verse 2] ὡς ἀρτιγέννητα βρέφη τὸ λογικὸν ἄδολον γάλα ἐπιποθήσατε, ἵνα ἐν αὐτῷ αὐξηθῆτε ⸂εἰς σωτηρίαν⸃,
[SBLGNT | EL | NT | 1 Peter | Chapter 2 | Verse 3] ⸀εἰ ἐγεύσασθε ὅτι χρηστὸς ὁ κύριος.
[SBLGNT | EL | NT | 1 Peter | Chapter 2 | Verse 4] Πρὸς ὃν προσερχόμενοι, λίθον ζῶντα, ὑπὸ ἀνθρώπων μὲν ἀποδεδοκιμασμένον παρὰ δὲ θεῷ ἐκλεκτὸν ἔντιμον
[SBLGNT | EL | NT | 1 Peter | Chapter 2 | Verse 5] καὶ αὐτοὶ ὡς λίθοι ζῶντες οἰκοδομεῖσθε οἶκος πνευματικὸς ⸀εἰς ἱεράτευμα ἅγιον, ἀνενέγκαι πνευματικὰς θυσίας ⸀εὐπροσδέκτους θεῷ διὰ Ἰησοῦ Χριστοῦ·
[SBLGNT | EL | NT | 1 Peter | Chapter 2 | Verse 6] διότι περιέχει ⸀ἐν γραφῇ· Ἰδοὺ τίθημι ἐν Σιὼν λίθον ⸂ἀκρογωνιαῖον ἐκλεκτὸν⸃ ἔντιμον, καὶ ὁ πιστεύων ἐπʼ αὐτῷ οὐ μὴ καταισχυνθῇ.
[SBLGNT | EL | NT | 1 Peter | Chapter 2 | Verse 7] ὑμῖν οὖν ἡ τιμὴ τοῖς πιστεύουσιν· ⸀ἀπιστοῦσιν δὲ ⸀λίθος ὃν ἀπεδοκίμασαν οἱ οἰκοδομοῦντες οὗτος ἐγενήθη εἰς κεφαλὴν γωνίας
[SBLGNT | EL | NT | 1 Peter | Chapter 2 | Verse 8] καὶ λίθος προσκόμματος καὶ πέτρα σκανδάλου· οἳ προσκόπτουσιν τῷ λόγῳ ἀπειθοῦντες· εἰς ὃ καὶ ἐτέθησαν.
[SBLGNT | EL | NT | 1 Peter | Chapter 2 | Verse 9] Ὑμεῖς δὲ γένος ἐκλεκτόν, βασίλειον ἱεράτευμα, ἔθνος ἅγιον, λαὸς εἰς περιποίησιν, ὅπως τὰς ἀρετὰς ἐξαγγείλητε τοῦ ἐκ σκότους ὑμᾶς καλέσαντος εἰς τὸ θαυμαστὸν αὐτοῦ φῶς·
[SBLGNT | EL | NT | 1 Peter | Chapter 2 | Verse 10] οἵ ποτε οὐ λαὸς νῦν δὲ λαὸς θεοῦ, οἱ οὐκ ἠλεημένοι νῦν δὲ ἐλεηθέντες.
[SBLGNT | EL | NT | 1 Peter | Chapter 2 | Verse 11] Ἀγαπητοί, παρακαλῶ ὡς παροίκους καὶ παρεπιδήμους ἀπέχεσθαι τῶν σαρκικῶν ἐπιθυμιῶν, αἵτινες στρατεύονται κατὰ τῆς ψυχῆς·
