[ASV | EN | NT | Acts | Chapter 9 | Verse 1] But Saul, yet breathing threatening and slaughter against the disciples of the Lord, went unto the high priest,
[ASV | EN | NT | Acts | Chapter 9 | Verse 2] and asked of him letters to Damascus unto the synagogues, that if he found any that were of the Way, whether men or women, he might bring them bound to Jerusalem.
[ASV | EN | NT | Acts | Chapter 9 | Verse 3] And as he journeyed, it came to pass that he drew nigh unto Damascus: and suddenly there shone round about him a light from heaven:
[ASV | EN | NT | Acts | Chapter 9 | Verse 4] and he fell upon the earth, and heard a voice saying unto him, Saul, Saul, why persecutest thou me?
[ASV | EN | NT | Acts | Chapter 9 | Verse 5] And he said, Who art thou, Lord? And the Lord said, I am Jesus whom thou persecutest:
[ASV | EN | NT | Acts | Chapter 9 | Verse 6] but rise, and enter into the city, and it shall be told thee what thou must do.
[ASV | EN | NT | Acts | Chapter 9 | Verse 7] And the men that journeyed with him stood speechless, hearing the voice, but beholding no man.
[ASV | EN | NT | Acts | Chapter 9 | Verse 8] And Saul arose from the earth; and when his eyes were opened, he saw no man; and they led him by the hand, and brought him into Damascus.
[ASV | EN | NT | Acts | Chapter 9 | Verse 9] And he was three days without sight, and did neither eat nor drink.
[ASV | EN | NT | Acts | Chapter 9 | Verse 10] Now there was a certain disciple at Damascus, named Ananias; and the Lord said unto him in a vision, Ananias. And he said, Behold, I am here, Lord.
[ASV | EN | NT | Acts | Chapter 9 | Verse 11] And the Lord said unto him, Arise, and go to the street which is called Straight, and inquire in the house of Judas for one named Saul, a man of Tarsus: for behold, he prayeth;
[ASV | EN | NT | Acts | Chapter 9 | Verse 12] and he hath seen in a vision a man named Ananias coming in, and laying his hand on him, that he might receive his sight.
[ASV | EN | NT | Acts | Chapter 9 | Verse 13] But Ananias answered, Lord, I have heard from many of this man, how much evil he did to thy saints at Jerusalem:
[ASV | EN | NT | Acts | Chapter 9 | Verse 14] and here he hath authority from the chief priests to bind all that call upon thy name.
[ASV | EN | NT | Acts | Chapter 9 | Verse 15] But the Lord said unto him, Go thy way: for he is a chosen vessel unto me, to bear my name before Gentiles, and kings, and the children of Israel:
