[ASV | EN | NT | Acts | Chapter 8 | Verse 1] And Saul was consenting unto his death. And there arose on that day a great persecution against the church which was in Jerusalem; and they were all scattered abroad throughout the regions of Judea and Samaria, except the apostles.
[ASV | EN | NT | Acts | Chapter 8 | Verse 2] And devout men buried Stephen, and made great lamentation over him.
[ASV | EN | NT | Acts | Chapter 8 | Verse 3] But Saul laid waste the church, entering into every house, and dragging men and women committed them to prison.
[ASV | EN | NT | Acts | Chapter 8 | Verse 4] They therefore that were scattered abroad went about preaching the word.
[ASV | EN | NT | Acts | Chapter 8 | Verse 5] And Philip went down to a city of Samaria, and proclaimed unto them the Christ.
[ASV | EN | NT | Acts | Chapter 8 | Verse 6] And the multitudes gave heed with one accord unto the things that were spoken by Philip, when they heard, and saw the signs which he did.
[ASV | EN | NT | Acts | Chapter 8 | Verse 7] For from many of those that had unclean spirits, they came out, crying with a loud voice: and many that were palsied, and that were lame, were healed.
[ASV | EN | NT | Acts | Chapter 8 | Verse 8] And there was great joy in that city.
[ASV | EN | NT | Acts | Chapter 8 | Verse 9] But there was a certain man, Simon by name, who beforetime in the city used sorcery, and amazed the people of Samaria, giving out that himself was some great one:
[ASV | EN | NT | Acts | Chapter 8 | Verse 10] to whom they gave heed, from the least to the greatest, saying, This man is the great power of God.
[ASV | EN | NT | Acts | Chapter 8 | Verse 11] And they gave heed to him, because that of long time he had amazed them with his sorceries.
[ASV | EN | NT | Acts | Chapter 8 | Verse 12] But when they believed Philip preaching the good tidings concerning the kingdom of God and the name of Jesus Christ, they were baptized, both men and women.
[ASV | EN | NT | Acts | Chapter 8 | Verse 13] And Simon also himself believed: and being baptized, he continued with Philip; and beholding miracles and signs wrought, he was amazed.
[ASV | EN | NT | Acts | Chapter 8 | Verse 14] Now when the apostles that were at Jerusalem heard that Samaria had received the word of God, they sent unto them Peter and John:
[ASV | EN | NT | Acts | Chapter 8 | Verse 15] who, when they were come down, prayed for them, that they might receive the Holy Spirit:
[ASV | EN | NT | Acts | Chapter 8 | Verse 16] for as yet it was fallen upon none of them: only they had been baptized into the name of Christ Jesus.
[ASV | EN | NT | Acts | Chapter 8 | Verse 17] Then laid they their hands on them, and they received the Holy Spirit.
[ASV | EN | NT | Acts | Chapter 8 | Verse 18] Now when Simon saw that through the laying on of the apostles’ hands the Holy Spirit was given, he offered them money,
[ASV | EN | NT | Acts | Chapter 8 | Verse 19] saying, Give me also this power, that on whomsoever I lay my hands, he may receive the Holy Spirit.
[ASV | EN | NT | Acts | Chapter 8 | Verse 20] But Peter said unto him, Thy silver perish with thee, because thou hast thought to obtain the gift of God with money.
[ASV | EN | NT | Acts | Chapter 8 | Verse 21] Thou hast neither part nor lot in this matter: for thy heart is not right before God.
[ASV | EN | NT | Acts | Chapter 8 | Verse 22] Repent therefore of this thy wickedness, and pray God, if perhaps the thought of thy heart shall be forgiven thee.
[ASV | EN | NT | Acts | Chapter 8 | Verse 23] For I see that thou art in the gall of bitterness and in the bond of iniquity.
[ASV | EN | NT | Acts | Chapter 8 | Verse 24] And Simon answered and said, Pray ye for me to the Lord, that none of the things which ye have spoken come upon me.
[ASV | EN | NT | Acts | Chapter 8 | Verse 25] They therefore, when they had testified and spoken the word of the Lord, returned to Jerusalem, and preached the gospel to many villages of the Samaritans.
[ASV | EN | NT | Acts | Chapter 8 | Verse 26] But an angel of the Lord spake unto Philip, saying, Arise, and go toward the south unto the way that goeth down from Jerusalem unto Gaza: the same is desert.
[ASV | EN | NT | Acts | Chapter 8 | Verse 27] And he arose and went: and behold, a man of Ethiopia, a eunuch of great authority under Candace, the queen of the Ethiopians, who was over all her treasure, who had come to Jerusalem to worship;
[ASV | EN | NT | Acts | Chapter 8 | Verse 28] and he was returning and sitting in his chariot, and was reading the prophet Isaiah.
[ASV | EN | NT | Acts | Chapter 8 | Verse 29] And the Spirit said unto Philip, Go near, and join thyself to this chariot.
[ASV | EN | NT | Acts | Chapter 8 | Verse 30] And Philip ran to him, and heard him reading the prophet Isaiah, and said, Understandest thou what thou readest?
[ASV | EN | NT | Acts | Chapter 8 | Verse 31] And he said, How can I, except someone shall guide me? And he besought Philip to come up and sit with him.
[ASV | EN | NT | Acts | Chapter 8 | Verse 32] Now the passage of the scripture which he was reading was this, He was led as a sheep to the slaughter; And as a lamb before his shearer is dumb, So he openeth not his mouth:
[ASV | EN | NT | Acts | Chapter 8 | Verse 33] In his humiliation his judgment was taken away: And who shall declare his generation? For his life is taken from the earth.
[ASV | EN | NT | Acts | Chapter 8 | Verse 34] And the eunuch answered Philip, and said, I pray thee, of whom speaketh the prophet this? of himself, or of some other?
[ASV | EN | NT | Acts | Chapter 8 | Verse 35] And Philip opened his mouth, and beginning from this scripture, preached unto him Jesus.
[ASV | EN | NT | Acts | Chapter 8 | Verse 36] And as they went on the way, they came unto a certain water; and the eunuch saith, Behold, here is water; what doth hinder me to be baptized?
[ASV | EN | NT | Acts | Chapter 8 | Verse 38] And he commanded the chariot to stand still: and they both went down into the water, both Philip and the eunuch; and he baptized him.
[ASV | EN | NT | Acts | Chapter 8 | Verse 39] And when they came up out of the water, the Spirit of the Lord caught away Philip; and the eunuch saw him no more, for he went on his way rejoicing.
[ASV | EN | NT | Acts | Chapter 8 | Verse 40] But Philip was found at Azotus: and passing through he preached the gospel to all the cities, till he came to Caesarea.
