[ASV | EN | NT | Acts | Chapter 11 | Verse 1] Now the apostles and the brethren that were in Judea heard that the Gentiles also had received the word of God.
[ASV | EN | NT | Acts | Chapter 11 | Verse 2] And when Peter was come up to Jerusalem, they that were of the circumcision contended with him,
[ASV | EN | NT | Acts | Chapter 11 | Verse 3] saying, Thou wentest in to men uncircumcised, and didst eat with them.
[ASV | EN | NT | Acts | Chapter 11 | Verse 4] But Peter began, and expounded the matter unto them in order, saying,
[ASV | EN | NT | Acts | Chapter 11 | Verse 5] I was in the city of Joppa praying: and in a trance I saw a vision, a certain vessel descending, as it were a great sheet let down from heaven by four corners; and it came even unto me:
[ASV | EN | NT | Acts | Chapter 11 | Verse 6] upon which when I had fastened mine eyes, I considered, and saw the four-footed beasts of the earth and wild beasts and creeping things and birds of the heaven.
[ASV | EN | NT | Acts | Chapter 11 | Verse 7] And I heard a voice saying unto me, Rise, Peter; kill and eat.
[ASV | EN | NT | Acts | Chapter 11 | Verse 8] But I said, Not so, Lord: for nothing common or unclean hath ever entered into my mouth.
[ASV | EN | NT | Acts | Chapter 11 | Verse 9] But a voice answered me the second time out of heaven, What God hath cleansed, make not thou common.
[ASV | EN | NT | Acts | Chapter 11 | Verse 10] And this was done thrice: and all were drawn up again into heaven.
[ASV | EN | NT | Acts | Chapter 11 | Verse 11] And behold, forthwith three men stood before the house in which I was, having been sent from Caesarea unto me.
[ASV | EN | NT | Acts | Chapter 11 | Verse 12] And the Spirit bade me go with them, making no distinction. And these six brethren also accompanied me; and we entered into the man’s house:
[ASV | EN | NT | Acts | Chapter 11 | Verse 13] and he told us how he had seen the angel standing in his house, and saying unto him, Send men to Joppa, and fetch Simon, whose surname is Peter;
[ASV | EN | NT | Acts | Chapter 11 | Verse 14] who shall speak unto thee words, whereby thou shalt be saved, thou and all thy house.
[ASV | EN | NT | Acts | Chapter 11 | Verse 15] And as I began to speak, the Holy Spirit fell on them, even as on us at the beginning.
[ASV | EN | NT | Acts | Chapter 11 | Verse 16] And I remembered the word of the Lord, how he said, John indeed baptized with water; but ye shall be baptized in the Holy Spirit.
[ASV | EN | NT | Acts | Chapter 11 | Verse 17] If then God gave unto them the like gift as he did also unto us, when we believed on the Lord Jesus Christ, then who was I, that I could withstand God?
[ASV | EN | NT | Acts | Chapter 11 | Verse 18] And when they heard these things, they held their peace, and glorified God, saying, Then to the Gentiles also hath God granted repentance unto life.
[ASV | EN | NT | Acts | Chapter 11 | Verse 19] They therefore that were scattered abroad upon the tribulation that arose about Stephen traveled as far as Phoenicia, and Cyprus, and Antioch, speaking the word to none save only to Jews.
[ASV | EN | NT | Acts | Chapter 11 | Verse 20] But there were some of them, men of Cyprus and Cyrene, who, when they were come to Antioch, spake unto the Grecian Jews, preaching the Lord Jesus.
[ASV | EN | NT | Acts | Chapter 11 | Verse 21] And the hand of the Lord was with them: and a great number believed, and turned unto the Lord.
[ASV | EN | NT | Acts | Chapter 11 | Verse 22] And the report concerning them came to the ears of the church which was in Jerusalem: and they sent forth Barnabas, that he should go as far as Antioch:
[ASV | EN | NT | Acts | Chapter 11 | Verse 23] who, when he was come, and had seen the grace of God, was glad; and he exhorted them all, that with purpose of heart they would cleave unto the Lord:
[ASV | EN | NT | Acts | Chapter 11 | Verse 24] for he was a good man, and full of the Holy Spirit and of faith: and much people was added unto the Lord.
[ASV | EN | NT | Acts | Chapter 11 | Verse 25] And Barnabas went forth to Tarsus to seek for Saul;
[ASV | EN | NT | Acts | Chapter 11 | Verse 26] and when he had found him, he brought him unto Antioch. And it came to pass, that for a whole year they were gathered together with the church, and taught much people; and that the disciples were called Christians first in Antioch.
[ASV | EN | NT | Acts | Chapter 11 | Verse 27] Now in these days there came down prophets from Jerusalem unto Antioch.
[ASV | EN | NT | Acts | Chapter 11 | Verse 28] And there stood up one of them named Agabus, and signified by the Spirit that there should be a great famine over all the world: which also came to pass in the days of Claudius Caesar.
[ASV | EN | NT | Acts | Chapter 11 | Verse 29] And the disciples, every man according to his ability, determined to send relief unto the brethren that dwelt in Judea:
[ASV | EN | NT | Acts | Chapter 11 | Verse 30] which also they did, sending it to the elders by the hand of Barnabas and Saul.
