[ASV | EN | NT | Acts | Chapter 17 | Verse 1] Now when they had passed through Amphipolis and Apollonia, they came to Thessalonica, where was a synagogue of the Jews:
[ASV | EN | NT | Acts | Chapter 17 | Verse 2] and Paul, as his custom was, went in unto them, and for three sabbath days reasoned with them from the scriptures,
[ASV | EN | NT | Acts | Chapter 17 | Verse 3] opening and alleging that it behooved the Christ to suffer, and to rise again from the dead; and that this Jesus, whom, said he, I proclaim unto you, is the Christ.
[ASV | EN | NT | Acts | Chapter 17 | Verse 4] And some of them were persuaded, and consorted with Paul and Silas; and of the devout Greeks a great multitude, and of the chief women not a few.
[ASV | EN | NT | Acts | Chapter 17 | Verse 5] But the Jews that were disobedient took unto them certain vile fellows of the rabble, and gathering a crowd, set the city on an uproar; and assaulting the house of Jason, they sought to bring them to the people.
[ASV | EN | NT | Acts | Chapter 17 | Verse 6] And when they found them not, they dragged Jason and certain brethren before the rulers of the city, crying, These that have turned the world upside down are come hither also;
[ASV | EN | NT | Acts | Chapter 17 | Verse 7] whom Jason hath received: and these all act contrary to the decrees of Caesar, saying that there is another king, one Jesus.
[ASV | EN | NT | Acts | Chapter 17 | Verse 8] And they troubled the multitude and the rulers of the city, when they heard these things.
[ASV | EN | NT | Acts | Chapter 17 | Verse 9] And when they had taken security from Jason and the rest, they let them go.
[ASV | EN | NT | Acts | Chapter 17 | Verse 10] And the brethren immediately sent away Paul and Silas by night unto Berea: who when they were come thither went into the synagogue of the Jews.
[ASV | EN | NT | Acts | Chapter 17 | Verse 11] Now these were more noble than those in Thessalonica, in that they received the word with all readiness of mind, examining the scriptures daily, whether these things were so.
[ASV | EN | NT | Acts | Chapter 17 | Verse 12] Many of them therefore believed; also of the Greek women of honorable estate, and of men, not a few.
[ASV | EN | NT | Acts | Chapter 17 | Verse 13] But when the Jews of Thessalonica had knowledge that the word of God was proclaimed of Paul at Berea also, they came thither likewise, stirring up the multitudes.
[ASV | EN | NT | Acts | Chapter 17 | Verse 14] And then immediately the brethren sent forth Paul to go as it were to the sea: but both Silas and Timothy abode there still.
[ASV | EN | NT | Acts | Chapter 17 | Verse 15] But they that conducted Paul brought him as far as Athens: and receiving a commandment unto Silas and Timothy that they should come to him with all speed, they departed.
[ASV | EN | NT | Acts | Chapter 17 | Verse 16] Now while Paul waited for them at Athens, his spirit was provoked within him as he beheld the city full of idols.
[ASV | EN | NT | Acts | Chapter 17 | Verse 17] So he reasoned in the synagogue with the Jews and the devout persons, and in the marketplace every day with them that met him.
[ASV | EN | NT | Acts | Chapter 17 | Verse 18] And certain also of the Epicurean and the Stoic philosophers encountered him. And some said, What would this babbler say? others, He seemeth to be a setter forth of strange gods: because he preached Jesus and the resurrection.
[ASV | EN | NT | Acts | Chapter 17 | Verse 19] And they took hold of him, and brought him unto the Areopagus, saying, May we know what this new teaching is, which is spoken by thee?
[ASV | EN | NT | Acts | Chapter 17 | Verse 20] For thou bringest certain strange things to our ears: we would know therefore what these things might mean.
[ASV | EN | NT | Acts | Chapter 17 | Verse 21] (Now all the Athenians and the strangers sojourning there spent their time in nothing else, but to tell and to hear something new.)
[ASV | EN | NT | Acts | Chapter 17 | Verse 22] And Paul stood in the midst of the Areopagus, and said, Ye men of Athens, in all things I perceive that ye are very religious.
[ASV | EN | NT | Acts | Chapter 17 | Verse 23] For as I passed along, and observed the objects of your worship, I found also an altar with this inscription, TO AN UNKNOWN GOD. Whom therefore ye worship in ignorance, him I set forth unto you.
[ASV | EN | NT | Acts | Chapter 17 | Verse 24] The God that made the world and all things therein, he, being Lord of heaven and earth, dwelleth not in temples made with hands;
[ASV | EN | NT | Acts | Chapter 17 | Verse 25] neither is he served by men’s hands, as though he needed anything, seeing he himself giveth to all life and breath in all things;
[ASV | EN | NT | Acts | Chapter 17 | Verse 26] and he made of one blood every nation of men to dwell on all the face of the earth, having determined their appointed seasons, and the bounds of their habitation;
[ASV | EN | NT | Acts | Chapter 17 | Verse 27] that they should seek the Lord, if haply they might feel after him and find him, though he is not far from each one of us:
[ASV | EN | NT | Acts | Chapter 17 | Verse 28] for in him we live, and move, and have our being; as certain even of your own poets have said, For we are also his offspring.
[ASV | EN | NT | Acts | Chapter 17 | Verse 29] Being then the offspring of God, we ought not to think that the Godhead is like unto gold, or silver, or stone, graven by art and device of man.
[ASV | EN | NT | Acts | Chapter 17 | Verse 30] The times of ignorance therefore God overlooked; but now he commandeth all men everywhere to repent:
[ASV | EN | NT | Acts | Chapter 17 | Verse 31] because he hath appointed a day in which he will judge the world in righteousness by the man whom he hath ordained; whereof he hath given assurance unto all men, in that he hath raised him from the dead.
[ASV | EN | NT | Acts | Chapter 17 | Verse 32] Now when they heard of the resurrection of the dead, some mocked; but others said, We will hear thee again concerning this.
[ASV | EN | NT | Acts | Chapter 17 | Verse 33] And so Paul went out from among them.
[ASV | EN | NT | Acts | Chapter 17 | Verse 34] But certain men clave unto him, and believed: among whom also was Dionysius the Areopagite, and a woman named Damaris, and others with them.
