[ASV | EN | NT | Acts | Chapter 15 | Verse 1] And certain men came down from Judea and taught the brethren, saying, Except ye be circumcised after the custom of Moses, ye cannot be saved.
[ASV | EN | NT | Acts | Chapter 15 | Verse 2] When therefore Paul and Barnabas had no small dissension and questioning with them, the brethren appointed that Paul and Barnabas, and certain other of them, should go up to Jerusalem unto the apostles and elders about this question.
[ASV | EN | NT | Acts | Chapter 15 | Verse 3] They therefore, being brought on their way by the church, passed through Phoenicia and Samaria, declaring the conversion of the Gentiles: and they caused great joy unto all the brethren.
[ASV | EN | NT | Acts | Chapter 15 | Verse 4] And when they were come to Jerusalem, they were received of the church and the apostles and the elders, and they rehearsed all things that God had done with them.
[ASV | EN | NT | Acts | Chapter 15 | Verse 5] But there rose up certain of the sect of the Pharisees who believed, saying, It is needful to circumcise them, and to charge them to keep the law of Moses.
[ASV | EN | NT | Acts | Chapter 15 | Verse 6] And the apostles and the elders were gathered together to consider of this matter.
[ASV | EN | NT | Acts | Chapter 15 | Verse 7] And when there had been much disputing, Peter rose up, and said unto them, Brethren, ye know that a good while ago God made choice among us, that by my mouth the Gentiles should hear the word of the gospel, and believe.
[ASV | EN | NT | Acts | Chapter 15 | Verse 8] And God, who knoweth the heart, bare them witness, giving them the Holy Spirit, even as he did unto us;
[ASV | EN | NT | Acts | Chapter 15 | Verse 9] and he made no distinction between us and them, cleansing their hearts by faith.
[ASV | EN | NT | Acts | Chapter 15 | Verse 10] Now therefore why make ye trial of God, that ye should put a yoke upon the neck of the disciples which neither our fathers nor we were able to bear?
[ASV | EN | NT | Acts | Chapter 15 | Verse 11] But we believe that we shall be saved through the grace of the Lord Jesus, in like manner as they.
[ASV | EN | NT | Acts | Chapter 15 | Verse 12] And all the multitude kept silence; and they hearkened unto Barnabas and Paul rehearsing what signs and wonders God had wrought among the Gentiles through them.
[ASV | EN | NT | Acts | Chapter 15 | Verse 13] And after they had held their peace, James answered, saying, Brethren, hearken unto me:
[ASV | EN | NT | Acts | Chapter 15 | Verse 14] Simeon hath rehearsed how first God visited the Gentiles, to take out of them a people for his name.
[ASV | EN | NT | Acts | Chapter 15 | Verse 15] And to this agree the words of the prophets; as it is written,
[ASV | EN | NT | Acts | Chapter 15 | Verse 16] After these things I will return, And I will build again the tabernacle of David, which is fallen; And I will build again the ruins thereof, And I will set it up:
[ASV | EN | NT | Acts | Chapter 15 | Verse 17] That the residue of men may seek after the Lord, And all the Gentiles, upon whom my name is called, Saith the Lord, who doeth all these things.
[ASV | EN | NT | Acts | Chapter 15 | Verse 18] Known unto God from of old are all his works.
[ASV | EN | NT | Acts | Chapter 15 | Verse 19] Wherefore my judgment is, that we trouble not them that from among the Gentiles turn to God;
[ASV | EN | NT | Acts | Chapter 15 | Verse 20] but that we write unto them, that they abstain from the pollutions of idols, and from fornication, and from what is strangled, and from blood.
[ASV | EN | NT | Acts | Chapter 15 | Verse 21] For Moses from generations of old hath in every city them that preach him, being read in the synagogues every sabbath.
[ASV | EN | NT | Acts | Chapter 15 | Verse 22] Then it seemed good to the apostles and the elders, with the whole church, to choose men out of their company, and send them to Antioch with Paul and Barnabas; namely, Judas who was surnamed Barsabbas, and Silas, chief men among the brethren:
[ASV | EN | NT | Acts | Chapter 15 | Verse 23] and they wrote thus by them, The apostles and the elders and the brethren, unto the brethren who are of the Gentiles in Antioch and Syria and Cilicia, greeting:
[ASV | EN | NT | Acts | Chapter 15 | Verse 24] Forasmuch as we have heard that certain who went out from us have troubled you with words, subverting your souls, saying that ye must be circumcised and keep the law; to whom we gave no commandment;
[ASV | EN | NT | Acts | Chapter 15 | Verse 25] it seemed good unto us, having come to one accord, to send chosen men unto you with our beloved Barnabas and Paul,
