[ASV | EN | NT | Acts | Chapter 20 | Verse 1] And after the uproar ceased, Paul called unto him the disciples, and took leave of them, and departed to go into Macedonia.
[ASV | EN | NT | Acts | Chapter 20 | Verse 2] And when he had gone through those parts, and had given them much exhortation, he came into Greece.
[ASV | EN | NT | Acts | Chapter 20 | Verse 3] And when he had spent three months there, and a plot was laid against him by the Jews as he was about to set sail for Syria, a decision was made to return through Macedonia.
[ASV | EN | NT | Acts | Chapter 20 | Verse 4] And there accompanied him as far as Asia, Sopater of Berea; and of the Thessalonians, Aristarchus and Secundus; and Gaius of Derbe, and Timothy; and of Asia, Tychicus and Trophimus.
[ASV | EN | NT | Acts | Chapter 20 | Verse 5] These came, and were waiting for us at Troas.
[ASV | EN | NT | Acts | Chapter 20 | Verse 6] And we sailed away from Philippi after the days of unleavened bread, and came unto them to Troas in five days; where we tarried seven days.
[ASV | EN | NT | Acts | Chapter 20 | Verse 7] And upon the first day of the week, when the disciples were gathered together to break bread, Paul discoursed with them, intending to depart on the morrow; and prolonged his speech until midnight.
[ASV | EN | NT | Acts | Chapter 20 | Verse 8] And there were many lights in the upper chamber where we were gathered together.
[ASV | EN | NT | Acts | Chapter 20 | Verse 9] And there sat in the window a certain young man named Eutychus, borne down with deep sleep; and as Paul discoursed yet longer, being borne down by his sleep he fell down from the third story, and was taken up dead.
[ASV | EN | NT | Acts | Chapter 20 | Verse 10] And Paul went down, and fell on him, and embracing him said, Make ye no ado; for his life is in him.
[ASV | EN | NT | Acts | Chapter 20 | Verse 11] And when he was gone up, and had broken bread, and eaten, and had talked with them a long while, even till break of day, so he departed.
[ASV | EN | NT | Acts | Chapter 20 | Verse 12] And they brought the lad alive, and were not a little comforted.
[ASV | EN | NT | Acts | Chapter 20 | Verse 13] But we, going to the ship, set sail for Assos, there intending to take in Paul: for so had he appointed, intending himself to go by land.
[ASV | EN | NT | Acts | Chapter 20 | Verse 14] And when he met us at Assos, we took him in, and came to Mitylene.
[ASV | EN | NT | Acts | Chapter 20 | Verse 15] And sailing from thence, we came the following day over against Chios; and the next day we touched at Samos; and having tarried at Trogyllium, the day after we came to Miletus.
[ASV | EN | NT | Acts | Chapter 20 | Verse 16] For Paul had determined to sail past Ephesus, that he might not have to spend time in Asia; for he was hastening, if it were possible for him, to be at Jerusalem the day of Pentecost.
[ASV | EN | NT | Acts | Chapter 20 | Verse 17] And from Miletus he sent to Ephesus, and called to him the elders of the church.
[ASV | EN | NT | Acts | Chapter 20 | Verse 18] And when they were come to him, he said unto them, Ye yourselves know, from the first day that I set foot in Asia, after what manner I was with you all the time,
[ASV | EN | NT | Acts | Chapter 20 | Verse 19] serving the Lord with all lowliness of mind, and with many tears, and with trials which befell me by the plots of the Jews;
[ASV | EN | NT | Acts | Chapter 20 | Verse 20] how I shrank not from declaring unto you anything that was profitable, and teaching you publicly, and from house to house,
[ASV | EN | NT | Acts | Chapter 20 | Verse 21] testifying both to Jews and to Greeks repentance toward God, and faith toward our Lord Jesus.
[ASV | EN | NT | Acts | Chapter 20 | Verse 22] And now, behold, I go bound in the spirit unto Jerusalem, not knowing the things that shall befall me there:
[ASV | EN | NT | Acts | Chapter 20 | Verse 23] save that the Holy Spirit testifieth in every city, saying that bonds and afflictions abide me.
[ASV | EN | NT | Acts | Chapter 20 | Verse 24] But I make no account, neither count I my life precious unto myself, so that I may accomplish my course with joy, and the ministry which I received from the Lord Jesus, to testify the gospel of the grace of God.
[ASV | EN | NT | Acts | Chapter 20 | Verse 25] And now, behold, I know that ye all, among whom I went about preaching the kingdom of God, shall see my face no more.
[ASV | EN | NT | Acts | Chapter 20 | Verse 26] For I testify unto you this day, that I am pure from the blood of all men.
[ASV | EN | NT | Acts | Chapter 20 | Verse 27] For I shrank not from declaring unto you the whole counsel of God.
[ASV | EN | NT | Acts | Chapter 20 | Verse 28] Take heed therefore unto yourselves, and to all the flock, in which the Holy Spirit hath made you bishops, to feed the church of our Lord and God, which he purchased with his own blood.
[ASV | EN | NT | Acts | Chapter 20 | Verse 29] For I know this, that after my departing grievous wolves shall enter in among you, not sparing the flock;
[ASV | EN | NT | Acts | Chapter 20 | Verse 30] and from among your own selves shall men arise, speaking perverse things, to draw away the disciples after them.
[ASV | EN | NT | Acts | Chapter 20 | Verse 31] Wherefore watch ye, remembering that by the space of three years I ceased not to admonish every one night and day with tears.
[ASV | EN | NT | Acts | Chapter 20 | Verse 32] And now I commend you, brethren, to God, and to the word of his grace, which is able to build you up, and to give you an inheritance among all them that are sanctified.
[ASV | EN | NT | Acts | Chapter 20 | Verse 33] I coveted no man’s silver, or gold, or apparel.
[ASV | EN | NT | Acts | Chapter 20 | Verse 34] Ye yourselves know that these hands ministered unto my necessities, and to them that were with me.
[ASV | EN | NT | Acts | Chapter 20 | Verse 35] In all things I gave you an example, that so laboring ye ought to help the weak, and to remember the words of the Lord Jesus, that he himself said, It is more blessed to give than to receive.
[ASV | EN | NT | Acts | Chapter 20 | Verse 36] And when he had thus spoken, he knelt down and prayed with them all.
[ASV | EN | NT | Acts | Chapter 20 | Verse 37] And they all wept sore, and fell on Paul’s neck and kissed him,
[ASV | EN | NT | Acts | Chapter 20 | Verse 38] sorrowing most of all for the word which he had spoken, that they should behold his face no more. And they brought him on his way unto the ship.
