[IRV | ML | OT | Leviticus | Chapter 1 | Verse 1] യഹോവ സമാഗമനകൂടാരത്തിൽവെച്ചു മോശെയെ വിളിച്ചു അവനോടു അരുളിച്ചെയ്തതു:
[IRV | ML | OT | Leviticus | Chapter 1 | Verse 2] നീ യിസ്രായേൽമക്കളോടു സംസാരിച്ചു അവരോടു പറയേണ്ടതു എന്തെന്നാൽ: നിങ്ങളിൽ ആരെങ്കിലും യഹോവെക്കു വഴിപാടു കഴിക്കുന്നു എങ്കിൽ കന്നുകാലികളോ ആടുകളോ ആയ മൃഗങ്ങളെ വഴിപാടു കഴിക്കേണം.
[IRV | ML | OT | Leviticus | Chapter 1 | Verse 3] അവൻ വഴിപാടായി കന്നുകാലികളിൽ ഒന്നിനെ ഹോമയാഗം കഴിക്കുന്നുവെങ്കിൽ ഊനമില്ലാത്ത ആണിനെ അർപ്പിക്കേണം; യഹോവയുടെ പ്രസാദം ലഭിപ്പാൻ തക്കവണ്ണം അവൻ അതിനെ സമാഗമനകൂടാരത്തിന്റെ വാതിൽക്കൽവെച്ചു അർപ്പിക്കേണം.
[IRV | ML | OT | Leviticus | Chapter 1 | Verse 4] അവൻ ഹോമയാഗത്തിന്റെ തലയിൽ കൈ വെക്കേണം; എന്നാൽ അതു അവന്നുവേണ്ടി പ്രായശ്ചിത്തം വരുത്തുവാൻ അവന്റെ പേർക്കു സുഗ്രാഹ്യമാകും.
[IRV | ML | OT | Leviticus | Chapter 1 | Verse 5] അവൻ യഹോവയുടെ സന്നിധിയിൽ കാളക്കിടാവിനെ അറുക്കേണം; അഹരോന്റെ പുത്രന്മാരായ പുരോഹിതന്മാർ അതിന്റെ രക്തം കൊണ്ടുവന്നു സമാഗമനകൂടാരത്തിന്റെ വാതിൽക്കൽ ഉള്ള യാഗപീഠത്തിന്മേൽ ചുറ്റും തളിക്കേണം.
[IRV | ML | OT | Leviticus | Chapter 1 | Verse 6] അവൻ ഹോമയാഗമൃഗത്തെ തോലുരിച്ചു ഖണ്ഡംഖണ്ഡമായി മുറിക്കേണം.
[IRV | ML | OT | Leviticus | Chapter 1 | Verse 7] പുരോഹിതനായ അഹരോന്റെ പുത്രന്മാർ യാഗപീഠത്തിന്മേൽ തീ ഇട്ടു തീയുടെമേൽ വിറകു അടുക്കേണം.
[IRV | ML | OT | Leviticus | Chapter 1 | Verse 8] പിന്നെ അഹരോന്റെ പുത്രന്മാരായ പുരോഹിതന്മാർ ഖണ്ഡങ്ങളും തലയും മേദസ്സും യാഗപീഠത്തിൽ തീയുടെമേലുള്ള വിറകിന്മീതെ അടുക്കിവെക്കേണം.
[IRV | ML | OT | Leviticus | Chapter 1 | Verse 9] അതിന്റെ കുടലും കാലും അവൻ വെള്ളത്തിൽ കഴുകേണം. പുരോഹിതൻ സകലവും യാഗപീഠത്തിന്മേൽ ഹോമയാഗമായി ദഹിപ്പിക്കേണം; അതു യഹോവെക്കു സൗരഭ്യവാസനയായ ദഹനയാഗം.
[IRV | ML | OT | Leviticus | Chapter 1 | Verse 10] ഹോമയാഗത്തിന്നുള്ള അവന്റെ വഴിപാടു ആട്ടിൻകൂട്ടത്തിലെ ഒരു ചെമ്മരിയാടോ കോലാടോ ആകുന്നുവെങ്കിൽ ഊനമില്ലാത്ത ആണിനെ അവൻ അർപ്പിക്കേണം.
[IRV | ML | OT | Leviticus | Chapter 1 | Verse 11] അവൻ യഹോവയുടെ സന്നിധിയിൽ യാഗപീഠത്തിന്റെ വടക്കുവശത്തുവെച്ചു അതിനെ അറുക്കേണം; അഹരോന്റെ പുത്രന്മാരായ പുരോഹിതന്മാർ അതിന്റെ രക്തം യാഗപീഠത്തിന്മേൽ ചുറ്റും തളിക്കേണം.
