[DRA | EN | OT | Judith | Chapter 13 | Verse 1] And when it was grown late, his servants made haste to their lodgings, and Vagao shut the chamber doors, and went his way.
[DRA | EN | OT | Judith | Chapter 13 | Verse 2] And they were all overcharged with wine.
[DRA | EN | OT | Judith | Chapter 13 | Verse 3] And Judith was alone in the chamber.
[DRA | EN | OT | Judith | Chapter 13 | Verse 4] But Holofernes lay on his bed, fast asleep, being exceedingly drunk.
[DRA | EN | OT | Judith | Chapter 13 | Verse 5] And Judith spoke to her maid to stand without before the chamber, and to watch:
[DRA | EN | OT | Judith | Chapter 13 | Verse 6] And Judith stood before the bed praying with tears, and the motion of her lips in silence,
[DRA | EN | OT | Judith | Chapter 13 | Verse 7] Saying: Strengthen me, O Lord God of Israel, and in this hour look on the works of my hands, that as thou hast promised, thou mayst raise up Jerusalem thy city: and that I may bring to pass that which I have purposed, having a belief that it might be done by thee.
[DRA | EN | OT | Judith | Chapter 13 | Verse 8] And when she had said this, she went to the pillar that was at his bed’s head, and loosed his sword that hung tied upon it.
[DRA | EN | OT | Judith | Chapter 13 | Verse 9] And when she had drawn it out, she took him by the hair of his head, and said: Strengthen me, O Lord God, at this hour.
[DRA | EN | OT | Judith | Chapter 13 | Verse 10] And she struck twice upon his neck, and out off his head, and took off his canopy from the pillars, and rolled away his headless body.
[DRA | EN | OT | Judith | Chapter 13 | Verse 11] And after a while she went out, and delivered the head of Holofernes to her maid, and bade her put it into her wallet.
[DRA | EN | OT | Judith | Chapter 13 | Verse 12] And they two went out according to their custom, as it were to prayer, and they passed the camp, and having compassed the valley, they came to the gate of the city.
[DRA | EN | OT | Judith | Chapter 13 | Verse 13] And Judith from afar off cried to the watchmen upon the walls: Open the gates for God is with us, who hath shewn his power in Israel.
[DRA | EN | OT | Judith | Chapter 13 | Verse 14] And it came to pass, when the men had heard her voice, that they called the ancients of the city.
[DRA | EN | OT | Judith | Chapter 13 | Verse 15] And all ran to meet her from the least to the greatest: for they now had no hopes that she would come.
[DRA | EN | OT | Judith | Chapter 13 | Verse 16] And lighting up lights they all gathered round about her: and she went up to a higher place, and commanded silence to be made. And when all had held their peace,
[DRA | EN | OT | Judith | Chapter 13 | Verse 17] Judith said: Praise ye the Lord our God, who hath not forsaken them that hope in him.
[DRA | EN | OT | Judith | Chapter 13 | Verse 18] And by me his handmaid he hath fulfilled his mercy, which he promised to the house of Israel: and he hath killed the enemy of his people by my hand this night.
[DRA | EN | OT | Judith | Chapter 13 | Verse 19] Then she brought forth the head of Holofernes out of the wallet, and shewed it them, saying: Behold the head of Holofernes the general of the army of the Assyrians, and behold his canopy, wherein he lay in his drunkenness, where the Lord our God slew him by the hand of a woman.
[DRA | EN | OT | Judith | Chapter 13 | Verse 20] But as the same Lord liveth, his angel hath been my keeper both going hence, and abiding there, and returning from thence hither: and the Lord hath not suffered me his handmaid to be defiled, but hath brought me back to you without pollution of sin, rejoicing for his victory, for my escape, and for your deliverance.
