[DRA | EN | OT | Judith | Chapter 6 | Verse 1] And it came to pass when they had left off speaking, that Holofernes being in a violent passion, said to Achior:
[DRA | EN | OT | Judith | Chapter 6 | Verse 2] Because thou hast prophesied unto us, saying: That the nation of Israel is defended by their God, to shew thee that there is no God, but Nabuchodonosor:
[DRA | EN | OT | Judith | Chapter 6 | Verse 3] When we shall slay them all as one man, then thou also shalt die with them by the sword of the Assyrians, and all Israel shall perish with thee:
[DRA | EN | OT | Judith | Chapter 6 | Verse 4] And thou shalt find that Nabuchodonosor is lord of the whole earth: and then the sword of my soldiers shall pass through thy sides, and thou shalt be stabbed and fall among the wounded of Israel, and thou shalt breathe no more till thou be destroyed with them.
[DRA | EN | OT | Judith | Chapter 6 | Verse 5] But if thou think thy prophecy true, let not thy countenance sink, and let the paleness that is in thy face, depart from thee, if thou imaginest these my words cannot be accomplished.
[DRA | EN | OT | Judith | Chapter 6 | Verse 6] And that thou mayst know that thou shalt experience these things together with them, behold from this hour thou shalt be associated to their people, that when they shall receive the punishment they deserve from my sword, thou mayst fall under the same vengeance.
[DRA | EN | OT | Judith | Chapter 6 | Verse 7] Then Holofernes commanded his servants to take Achior, and to lead him to Bethulia, and to deliver him into the hands of the children of Israel.
[DRA | EN | OT | Judith | Chapter 6 | Verse 8] And the servants of Holofernes taking him, went through the plains: but when they came near the mountains, the slingers came out against them.
[DRA | EN | OT | Judith | Chapter 6 | Verse 9] Then turning out of the way by the side of the mountain, they tied Achior to a tree hand and foot, and so left him bound with ropes, and returned to their master.
[DRA | EN | OT | Judith | Chapter 6 | Verse 10] And the children of Israel coming down from Bethulia, came to him, and loosing him they brought him to Bethulia, and setting him in the midst of the people, asked him what was the matter, that the Assyrians had left him bound.
[DRA | EN | OT | Judith | Chapter 6 | Verse 11] In those days the rulers there, were Ozias the son of Micha of the tribe of Simeon, and Charmi, called also Gothoniel.
[DRA | EN | OT | Judith | Chapter 6 | Verse 12] And Achior related in the midst of the ancients, and in the presence of all the people, all that he had said being asked by Holofernes: and how the people of Holofernes would have killed him for this word,
[DRA | EN | OT | Judith | Chapter 6 | Verse 13] And how Holofernes himself being angry had commanded him to be delivered for this cause to the Israelites: that when he should overcome the children of Israel, then he might command Achior also himself to be put to death by diverse torments, for having said: The God of heaven is their defender.
[DRA | EN | OT | Judith | Chapter 6 | Verse 14] And when Achior had declared all these things, all the people fell upon their faces, adoring the Lord, and all of them together mourning and weeping poured out their prayers with one accord to the Lord,
[DRA | EN | OT | Judith | Chapter 6 | Verse 15] Saying: O Lord God of heaven and earth, behold their pride, and look on our low condition, and have regard to the face of thy saints, and shew that thou forsakes not them that trust on thee, and that thou humblest them that presume of themselves, and glory in their own strength.
[DRA | EN | OT | Judith | Chapter 6 | Verse 16] So when their weeping was ended, and the peoples prayer, in which they continued all the day, was concluded, they comforted Achior,
[DRA | EN | OT | Judith | Chapter 6 | Verse 17] Saying: the God of our fathers, whose power thou hast set forth, will make this return to thee, that thou rather shalt see their destruction.
[DRA | EN | OT | Judith | Chapter 6 | Verse 18] And when the Lord our God shall give this liberty to his servants, let God be with thee also in the midst of us: that as it shall please thee, so thou with all thine mayst converse with us.
[DRA | EN | OT | Judith | Chapter 6 | Verse 19] Then Ozias, after the assembly was broken up, received him into his house, and made him a great supper.
[DRA | EN | OT | Judith | Chapter 6 | Verse 20] And all the ancients were invited, and they refreshed themselves together after their fast was over.
[DRA | EN | OT | Judith | Chapter 6 | Verse 21] And afterwards all the people were called together, and they prayed all the night long within the church, desiring help of the God of Israel.
