[DRA | EN | OT | Judith | Chapter 16 | Verse 1] Then Judith sung this canticle to the Lord, saying:
[DRA | EN | OT | Judith | Chapter 16 | Verse 2] Begin ye to the Lord with timbrels, sing ye to the Lord with cymbals, tune unto him a new psalm, extol and call upon his name.
[DRA | EN | OT | Judith | Chapter 16 | Verse 3] The Lord putteth an end to wars, the Lord is his name.
[DRA | EN | OT | Judith | Chapter 16 | Verse 4] He hath set his camp in the midst of his people, to deliver us from the hand of all our enemies.
[DRA | EN | OT | Judith | Chapter 16 | Verse 5] The Assyrians came out of the mountains from the north in the multitude of his strength: his multitude stopped up the torrents, and their horses covered the valleys.
[DRA | EN | OT | Judith | Chapter 16 | Verse 6] He bragged that he would set my borders on fire, and kill my young men with the sword, to make my infants a prey, and my virgins captives.
[DRA | EN | OT | Judith | Chapter 16 | Verse 7] But the almighty Lord hath struck him, and hath delivered him into the hands of a woman, and hath slain him.
[DRA | EN | OT | Judith | Chapter 16 | Verse 8] For their mighty one did not fall by young men, neither did the sons of Titan strike him, nor tall giants oppose themselves to him, but Judith the daughter of Merari weakened him with the beauty of her face.
[DRA | EN | OT | Judith | Chapter 16 | Verse 9] For she put off her the garments of widowhood, and put on her the garments of joy, to give joy to the children of Israel.
[DRA | EN | OT | Judith | Chapter 16 | Verse 10] She anointed her face with ointment, and bound up her locks with a crown, she took a new robe to deceive him.
[DRA | EN | OT | Judith | Chapter 16 | Verse 11] Her sandals ravished his eyes, her beauty made his soul her captive, with a sword she cut off his head.
[DRA | EN | OT | Judith | Chapter 16 | Verse 12] The Persians quaked at her constancy, and the Medes at her boldness.
[DRA | EN | OT | Judith | Chapter 16 | Verse 13] Then the camp of the Assyrians howled, when my lowly ones appeared, parched with thirst.
[DRA | EN | OT | Judith | Chapter 16 | Verse 14] The sons of the damsels have pierced them through, and they have killed them like children fleeing away: they perished in battle before the face of the Lord my God.
[DRA | EN | OT | Judith | Chapter 16 | Verse 15] Let us sing a hymn to the Lord, let us sing a new hymn to our God.
[DRA | EN | OT | Judith | Chapter 16 | Verse 16] O Adonai, Lord, great art thou, and glorious in thy power, and no one can overcome thee.
[DRA | EN | OT | Judith | Chapter 16 | Verse 17] Let all thy creatures serve thee: because thou hast spoken, and they were made: thou didst send forth thy spirit, and they were created, and there is no one that can resist thy voice.
[DRA | EN | OT | Judith | Chapter 16 | Verse 18] The mountains shall be moved from the foundations with the waters: the rooks shall melt as wax before thy face.
[DRA | EN | OT | Judith | Chapter 16 | Verse 19] But they that fear thee, shall be great with thee in all things.
[DRA | EN | OT | Judith | Chapter 16 | Verse 20] Woe be to the nation that riseth up against my people: for the Lord almighty will take revenge on them, in the day of judgment he will visit them.
[DRA | EN | OT | Judith | Chapter 16 | Verse 21] For he will give fire, and worms into their flesh, that they may burn, and may feel for ever.
[DRA | EN | OT | Judith | Chapter 16 | Verse 22] And it came to pass after these things, that all the people, after the victory, came to Jerusalem to adore the Lord: and as soon as they were purified, they all offered holocausts, and vows, and their promises.
[DRA | EN | OT | Judith | Chapter 16 | Verse 23] And Judith offered for an anathema of oblivion all the arms of Holofernes, which the people gave her, and the canopy that she had taken away out of his chamber.
[DRA | EN | OT | Judith | Chapter 16 | Verse 24] And the people were joyful in the sight of the sanctuary, and for three months the joy of this victory was celebrated with Judith.
[DRA | EN | OT | Judith | Chapter 16 | Verse 25] And after those days every man returned to his house, and Judith was made great in Bethulia, and she was most renowned in all the land of Israel.
