[GNV | EN | NT | Mark | Chapter 8 | Verse 1] In those dayes, when there was a very great multitude, and had nothing to eate, Iesus called his disciples to him, and said vnto them,
[GNV | EN | NT | Mark | Chapter 8 | Verse 2] I haue compassion on the multitude, because they haue nowe continued with mee three dayes, and haue nothing to eate.
[GNV | EN | NT | Mark | Chapter 8 | Verse 3] And if I sende them away fasting to their owne houses, they woulde faint by the way: for some of them came from farre.
[GNV | EN | NT | Mark | Chapter 8 | Verse 4] Then his disciples answered him, Whence can a man satisfie these with bread here in the wildernes?
[GNV | EN | NT | Mark | Chapter 8 | Verse 5] And hee asked them, Howe many loaues haue ye? And they said, Seuen.
[GNV | EN | NT | Mark | Chapter 8 | Verse 6] Then he commanded the multitude to sit downe on the grounde: and hee tooke the seuen loaues, and gaue thankes, brake them, and gaue to his disciples to set before them, and they did set them before the people.
[GNV | EN | NT | Mark | Chapter 8 | Verse 7] They had also a few small fishes: and when he had giuen thankes, he commanded them also to be set before them.
[GNV | EN | NT | Mark | Chapter 8 | Verse 8] So they did eate, and were sufficed, and they tooke vp of the broken meate that was left, seuen baskets full.
[GNV | EN | NT | Mark | Chapter 8 | Verse 9] (And they that had eaten, were about foure thousand) so he sent them away.
[GNV | EN | NT | Mark | Chapter 8 | Verse 10] And anon he entred into a ship with his disciples, and came into the parts of Dalmanutha.
[GNV | EN | NT | Mark | Chapter 8 | Verse 11] And the Pharises came foorth, and began to dispute with him, seeking of him a signe from heauen, and tempting him.
[GNV | EN | NT | Mark | Chapter 8 | Verse 12] Then hee sighed deepely in his spirit, and saide, Why doeth this generation seeke a signe? Verely I say vnto you, a signe shall not be giuen vnto this generation.
[GNV | EN | NT | Mark | Chapter 8 | Verse 13] So he left them, and went into the ship againe, and departed to the other side.
[GNV | EN | NT | Mark | Chapter 8 | Verse 14] And they had forgotten to take bread, neither had they in the shippe with them, but one loafe.
[GNV | EN | NT | Mark | Chapter 8 | Verse 15] And he charged them, saying, Take heede, and beware of the leauen of the Pharises, and of the leauen of Herod.
[GNV | EN | NT | Mark | Chapter 8 | Verse 16] And they reasoned among themselues, saying, It is, because we haue no bread.
[GNV | EN | NT | Mark | Chapter 8 | Verse 17] And when Iesus knew it, he said vnto them, Why reason you thus, because ye haue no bread? perceiue ye not yet, neither vnderstande? haue ye your hearts yet hardened?
[GNV | EN | NT | Mark | Chapter 8 | Verse 18] Haue yee eyes, and see not? and haue yee eares, and heare not? and doe ye not remember?
[GNV | EN | NT | Mark | Chapter 8 | Verse 19] When I brake the fiue loaues among fiue thousand, how many baskets full of broken meate tooke ye vp? They said vnto him, Twelue.
[GNV | EN | NT | Mark | Chapter 8 | Verse 20] And when I brake seuen among foure thousande, howe many baskets of the leauings of broken meate tooke ye vp? And they said, Seuen.
[GNV | EN | NT | Mark | Chapter 8 | Verse 21] Then he saide vnto them, Howe is it that ye vnderstand not?
[GNV | EN | NT | Mark | Chapter 8 | Verse 22] And hee came to Bethsaida, and they brought a blinde man vnto him, and desired him to touch him.
[GNV | EN | NT | Mark | Chapter 8 | Verse 23] Then he tooke the blinde by the hand, and ledde him out of the towne, and spat in his eyes, and put his handes vpon him, and asked him, if he sawe ought.
[GNV | EN | NT | Mark | Chapter 8 | Verse 24] And he looked vp, and said, I see men: for I see them walking like trees.
[GNV | EN | NT | Mark | Chapter 8 | Verse 25] After that, he put his hands againe vpon his eyes, and made him looke againe. And hee was restored to his sight, and sawe euery man a farre off clearely.
[GNV | EN | NT | Mark | Chapter 8 | Verse 26] And hee sent him home to his house, saying, Neither goe into the towne, nor tell it to any in the towne.
[GNV | EN | NT | Mark | Chapter 8 | Verse 27] And Iesus went out, and his disciples into the townes of Cesarea Philippi. And by the way hee asked his disciples, saying vnto them, Whome doe men say that I am?
[GNV | EN | NT | Mark | Chapter 8 | Verse 28] And they answered, Some say, Iohn Baptist: and some, Elias: and some, one of the Prophets.
[GNV | EN | NT | Mark | Chapter 8 | Verse 29] And he said vnto them, But whome say ye that I am? Then Peter answered, and saide vnto him, Thou art that Christ.
[GNV | EN | NT | Mark | Chapter 8 | Verse 30] And he sharpely charged them, that concerning him they should tell no man.
[GNV | EN | NT | Mark | Chapter 8 | Verse 31] Then hee began to teache them that the Sonne of man must suffer many things, and should be reproued of the Elders, and of the hie Priestes, and of the Scribes, and be slaine, and within three dayes rise againe.
[GNV | EN | NT | Mark | Chapter 8 | Verse 32] And he spake that thing boldly. Then Peter tooke him aside, and began to rebuke him.
[GNV | EN | NT | Mark | Chapter 8 | Verse 33] Then he turned backe, and looked on his disciples, and rebuked Peter, saying, Get thee behinde me, Satan: for thou vnderstandest not the things that are of God, but the things that are of men.
[GNV | EN | NT | Mark | Chapter 8 | Verse 34] And hee called the people vnto him with his disciples, and saide vnto them, Whosoeuer will follow me, let him forsake himselfe, and take vp his crosse, and follow me.
[GNV | EN | NT | Mark | Chapter 8 | Verse 35] For whosoeuer will saue his life, shall lose it: but whosoeuer shall lose his life for my sake and the Gospels, he shall saue it.
[GNV | EN | NT | Mark | Chapter 8 | Verse 36] For what shall it profite a man, though he should winne the whole world, if he lose his soule?
[GNV | EN | NT | Mark | Chapter 8 | Verse 37] Or what exchange shall a man giue for his soule?
[GNV | EN | NT | Mark | Chapter 8 | Verse 38] For whosoeuer shall be ashamed of mee, and of my wordes among this adulterous and sinfull generation, of him shall the Sonne of man be ashamed also, when he commeth in the glorie of his Father with the holy Angels.
