[GNV | EN | NT | Mark | Chapter 11 | Verse 1] And when they came neere to Hierusalem, to Bethphage and Bethania vnto the mount of Oliues, he sent forth two of his disciples,
[GNV | EN | NT | Mark | Chapter 11 | Verse 2] And sayd vnto them, Goe your wayes into that towne that is ouer against you, and assoone as ye shall enter into it, ye shall finde a colte tied, whereon neuer man sate: loose him, and bring him.
[GNV | EN | NT | Mark | Chapter 11 | Verse 3] And if any man say vnto you, Why doe ye this? Say that the Lord hath neede of him, and straightway he will send him hither.
[GNV | EN | NT | Mark | Chapter 11 | Verse 4] And they went their way, and found a colt tyed by the doore without, in a place where two wayes met, and they loosed him.
[GNV | EN | NT | Mark | Chapter 11 | Verse 5] Then certaine of them, that stoode there, sayd vnto them, What doe ye loosing the colt?
[GNV | EN | NT | Mark | Chapter 11 | Verse 6] And they sayde vnto them, as Iesus had commanded them: So they let them goe.
[GNV | EN | NT | Mark | Chapter 11 | Verse 7] And they brought the colte to Iesus, and cast their garments on him, and he sate vpon him.
[GNV | EN | NT | Mark | Chapter 11 | Verse 8] And many spred their garments in the way: other cut downe branches off the trees, and strawed them in the way.
[GNV | EN | NT | Mark | Chapter 11 | Verse 9] And they that went before, and they that folowed, cryed, saying, Hosanna: blessed be hee that commeth in the Name of the Lord.
[GNV | EN | NT | Mark | Chapter 11 | Verse 10] Blessed be the kingdome that commeth in the Name of the Lord of our father Dauid: Hosanna, O thou which art in the highest heauens.
[GNV | EN | NT | Mark | Chapter 11 | Verse 11] So Iesus entred into Hierusalem, and into the Temple: and when he had looked about on all things, and now it was euening, he went forth vnto Bethania with the twelue.
[GNV | EN | NT | Mark | Chapter 11 | Verse 12] And on the morowe when they were come out from Bethania, he was hungry.
[GNV | EN | NT | Mark | Chapter 11 | Verse 13] And seeing a fig tree afarre off, that had leaues, he went to see if he might finde any thing thereon: but when he came vnto it, hee found nothing but leaues: for the time of figges was not yet.
[GNV | EN | NT | Mark | Chapter 11 | Verse 14] Then Iesus answered, and sayd to it, Neuer man eate fruite of thee hereafter while the world standeth: and his disciples heard it.
[GNV | EN | NT | Mark | Chapter 11 | Verse 15] And they came to Hierusalem, and Iesus went into the Temple, and began to cast out them that solde and bought in the Temple, and ouerthrewe the tables of the money changers, and the seates of them that solde doues.
[GNV | EN | NT | Mark | Chapter 11 | Verse 16] Neither would hee suffer that any man should cary a vessell through the Temple.
[GNV | EN | NT | Mark | Chapter 11 | Verse 17] And he taught, saying vnto them, Is it not written, Mine house shalbe called the house of prayer vnto all nations? but you haue made it a denne of theeues.
[GNV | EN | NT | Mark | Chapter 11 | Verse 18] And the Scribes and hie Priestes heard it, and sought howe to destroy him: for they feared him, because the whole multitude was astonied at his doctrine.
[GNV | EN | NT | Mark | Chapter 11 | Verse 19] But when euen was come, Iesus went out of the citie.
[GNV | EN | NT | Mark | Chapter 11 | Verse 20] And in the morning as they iourneyed together, they saw the figge tree dried vp from the rootes.
[GNV | EN | NT | Mark | Chapter 11 | Verse 21] Then Peter remembred, and said vnto him, Master, beholde, the figge tree which thou cursedst, is withered.
[GNV | EN | NT | Mark | Chapter 11 | Verse 22] And Iesus answered, and said vnto them, Haue the faith of God.
[GNV | EN | NT | Mark | Chapter 11 | Verse 23] For verely I say vnto you, that whosoeuer shall say vnto this mountaine, Be thou taken away, and cast into the sea, and shall not wauer in his heart, but shall beleeue that those things which he saieth, shall come to passe, whatsoeuer he saieth, shall be done to him.
[GNV | EN | NT | Mark | Chapter 11 | Verse 24] Therefore I say vnto you, Whatsoeuer ye desire when ye pray, beleeue that ye shall haue it, and it shalbe done vnto you.
[GNV | EN | NT | Mark | Chapter 11 | Verse 25] But when ye shall stand, and pray, forgiue, if ye haue any thing against any man, that your Father also which is in heauen, may forgiue you your trespasses.
[GNV | EN | NT | Mark | Chapter 11 | Verse 26] For if you will not forgiue, your Father which is in heauen, will not pardon you your trespasses.
[GNV | EN | NT | Mark | Chapter 11 | Verse 27] Then they came againe to Hierusalem: and as he walked in the Temple, there came to him ye hie Priestes, and the Scribes, and the Elders,
[GNV | EN | NT | Mark | Chapter 11 | Verse 28] And said vnto him, By what authoritie doest thou these things? and who gaue thee this authoritie, that thou shouldest doe these things?
[GNV | EN | NT | Mark | Chapter 11 | Verse 29] Then Iesus answered, and saide vnto them, I will also aske of you a certaine thing, and answere ye me, and I will tell you by what authoritie I do these things.
[GNV | EN | NT | Mark | Chapter 11 | Verse 30] The baptisme of Iohn, was it from heauen, or of men? answere me.
[GNV | EN | NT | Mark | Chapter 11 | Verse 31] And they thought with themselues, saying, If we shall say, From heauen, he will say, Why then did ye not beleeue him?
[GNV | EN | NT | Mark | Chapter 11 | Verse 32] But if we say, Of men, we feare the people: for all men counted Iohn, that he was a Prophet in deede.
[GNV | EN | NT | Mark | Chapter 11 | Verse 33] Then they answered, and saide vnto Iesus, We cannot tell. And Iesus answered, and said vnto them, Neither will I tell you by what authoritie I doe these things.
