[GNV | EN | NT | Mark | Chapter 7 | Verse 1] Then gathered vnto him the Pharises, and certaine of the Scribes which came from Hierusalem.
[GNV | EN | NT | Mark | Chapter 7 | Verse 2] And when they sawe some of his disciples eate meate with common hands, (that is to say, vnwashen) they complained.
[GNV | EN | NT | Mark | Chapter 7 | Verse 3] (For the Pharises, and all the Iewes, except they wash their hands oft, eate not, holding the tradition of the Elders.
[GNV | EN | NT | Mark | Chapter 7 | Verse 4] And when they come from the market, except they wash, they eate not: and many other things there be, which they haue taken vpon them to obserue, as the washing of cups, and pots, and of brasen vessels, and of beds.)
[GNV | EN | NT | Mark | Chapter 7 | Verse 5] Then asked him the Pharises and Scribes, Why walke not thy disciples according to the tradition of the Elders, but eate meate with vnwashen hands?
[GNV | EN | NT | Mark | Chapter 7 | Verse 6] Then hee answered and sayd vnto them, Surely Esay hath prophecied well of you, hypocrites, as it is written, This people honoureth mee with lippes, but their heart is farre away from me.
[GNV | EN | NT | Mark | Chapter 7 | Verse 7] But they worship me in vaine, teaching for doctrines the commandements of men.
[GNV | EN | NT | Mark | Chapter 7 | Verse 8] For ye lay the commandement of God apart, and obserue the tradition of men, as the washing of pots and of cups, and many other such like things ye doe.
[GNV | EN | NT | Mark | Chapter 7 | Verse 9] And he sayd vnto them, Well, ye reiect the commandement of God, that ye may obserue your owne tradition.
[GNV | EN | NT | Mark | Chapter 7 | Verse 10] For Moses sayd, Honour thy father and thy mother: and Whosoeuer shall speake euill of father or mother, let him die the death.
[GNV | EN | NT | Mark | Chapter 7 | Verse 11] But yee say, If a man say to father or mother, Corban, that is, By the gift that is offered by mee, thou mayest haue profite, hee shall be free.
[GNV | EN | NT | Mark | Chapter 7 | Verse 12] So ye suffer him no more to doe any thing for his father, or his mother,
[GNV | EN | NT | Mark | Chapter 7 | Verse 13] Making the worde of God of none authoritie, by your tradition which ye haue ordeined: and ye doe many such like things.
[GNV | EN | NT | Mark | Chapter 7 | Verse 14] Then he called the whole multitude vnto him, and sayd vnto them, Hearken you all vnto me, and vnderstand.
[GNV | EN | NT | Mark | Chapter 7 | Verse 15] There is nothing without a man, that can defile him, when it entreth into him: but the things which proceede out of him, are they which defile the man.
[GNV | EN | NT | Mark | Chapter 7 | Verse 16] If any haue eares to heare, let him heare.
[GNV | EN | NT | Mark | Chapter 7 | Verse 17] And when hee came into an house, away from the people, his disciples asked him concerning the parable.
[GNV | EN | NT | Mark | Chapter 7 | Verse 18] And he sayde vnto them, What? are ye without vnderstanding also? Doe ye not knowe that whatsoeuer thing from without entreth into a man, cannot defile him,
[GNV | EN | NT | Mark | Chapter 7 | Verse 19] Because it entreth not into his heart, but into the belly, and goeth out into the draught which is the purging of all meates?
[GNV | EN | NT | Mark | Chapter 7 | Verse 20] Then he sayd, That which commeth out of man, that defileth man.
[GNV | EN | NT | Mark | Chapter 7 | Verse 21] For from within, euen out of the heart of men, proceede euill thoughtes, adulteries, fornications, murthers,
[GNV | EN | NT | Mark | Chapter 7 | Verse 22] Theftes, couetousnes, wickednes, deceite, vncleannes, a wicked eye, backbiting, pride, foolishnesse.
[GNV | EN | NT | Mark | Chapter 7 | Verse 23] All these euill things come from within, and defile a man.
[GNV | EN | NT | Mark | Chapter 7 | Verse 24] And from thence he rose, and went into the borders of Tyrus and Sidon, and entred into an house, and woulde that no man should haue knowen: but he could not be hid.
[GNV | EN | NT | Mark | Chapter 7 | Verse 25] For a certaine woman, whose litle daughter had an vncleane spirit, heard of him, and came, and fell at his feete,
[GNV | EN | NT | Mark | Chapter 7 | Verse 26] (And the woman was a Greeke, a Syrophenissian by nation) and she besought him that he would cast out the deuill out of her daughter.
[GNV | EN | NT | Mark | Chapter 7 | Verse 27] But Iesus saide vnto her, Let the children first be fedde: for it is not good to take the childrens bread, and to cast it vnto whelpes.
[GNV | EN | NT | Mark | Chapter 7 | Verse 28] Then shee answered, and saide vnto him, Trueth, Lord: yet in deede the whelpes eate vnder the table of the childrens crommes.
[GNV | EN | NT | Mark | Chapter 7 | Verse 29] Then he said vnto her, For this saying goe thy way: the deuil is gone out of thy daughter.
[GNV | EN | NT | Mark | Chapter 7 | Verse 30] And when shee was come home to her house, shee founde the deuill departed, and her daughter lying on the bed.
[GNV | EN | NT | Mark | Chapter 7 | Verse 31] And hee departed againe from the coastes of Tyrus and Sidon, and came vnto the sea of Galile, through the middes of the coastes of Decapolis.
[GNV | EN | NT | Mark | Chapter 7 | Verse 32] And they brought vnto him one that was deafe and stambered in his speache, and prayed him to put his hand vpon him.
[GNV | EN | NT | Mark | Chapter 7 | Verse 33] Then hee tooke him aside from the multitude, and put his fingers in his eares, and did spit, and touched his tongue.
[GNV | EN | NT | Mark | Chapter 7 | Verse 34] And looking vp to heauen, hee sighed, and said vnto him, Ephphatha, that is, Be opened.
[GNV | EN | NT | Mark | Chapter 7 | Verse 35] And straightway his eares were opened, and the string of his tongue was loosed, and hee spake plaine.
[GNV | EN | NT | Mark | Chapter 7 | Verse 36] And he commanded them, that they should tell no man: but howe much soeuer hee forbad them, the more a great deale they published it,
[GNV | EN | NT | Mark | Chapter 7 | Verse 37] And were beyonde measure astonied, saying, Hee hath done all thinges well: he maketh both the deafe to heare, and the domme to speake.
