[GNV | EN | NT | Mark | Chapter 12 | Verse 1] And he began to speake vnto them in parables, A certaine man planted a vineyard, and copassed it with an hedge, and digged a pit for the winepresse, and built a tower in it, and let it out to husbandmen, and went into a strange countrey.
[GNV | EN | NT | Mark | Chapter 12 | Verse 2] And at the time, he sent to the husbandmen a seruant, that he might receiue of the husbandmen of the fruite of the vineyard.
[GNV | EN | NT | Mark | Chapter 12 | Verse 3] But they tooke him, and beat him, and sent him away emptie.
[GNV | EN | NT | Mark | Chapter 12 | Verse 4] And againe he sent vnto them another seruant, and at him they cast stones, and brake his head, and sent him away shamefully handled.
[GNV | EN | NT | Mark | Chapter 12 | Verse 5] And againe he sent another, and him they slew, and many other, beating some, and killing some.
[GNV | EN | NT | Mark | Chapter 12 | Verse 6] Yet had he one sonne, his deare beloued: him also he sent the last vnto them, saying, They will reuerence my sonne.
[GNV | EN | NT | Mark | Chapter 12 | Verse 7] But ye husbandmen said among themselues, This is the heire: come, let vs kill him, and the inheritance shalbe ours.
[GNV | EN | NT | Mark | Chapter 12 | Verse 8] So they tooke him, and killed him, and cast him out of the vineyard.
[GNV | EN | NT | Mark | Chapter 12 | Verse 9] What shall then the Lord of the vineyard doe? He will come and destroy these husbandmen, and giue the vineyard to others.
[GNV | EN | NT | Mark | Chapter 12 | Verse 10] Haue ye not read so much as this Scripture? The stone which the builders did refuse, is made the head of the corner.
[GNV | EN | NT | Mark | Chapter 12 | Verse 11] This was done of the Lord, and it is marueilous in our eyes.
[GNV | EN | NT | Mark | Chapter 12 | Verse 12] Then they went about to take him, but they feared the people: for they perceiued that he spake that parable against them: therefore they left him, and went their way.
[GNV | EN | NT | Mark | Chapter 12 | Verse 13] And they sent vnto him certaine of the Pharises, and of ye Herodians that they might take him in his talke.
[GNV | EN | NT | Mark | Chapter 12 | Verse 14] And when they came, they saide vnto him, Master, we know that thou art true, and carest for no man: for thou considerest not the person of men, but teachest the way of God truely, Is it lawfull to giue tribute to Cesar, or not?
[GNV | EN | NT | Mark | Chapter 12 | Verse 15] Should we giue it, or should we not giue it? but he knew their hypocrisie, and said vnto them, Why tempt ye me? Bring me a peny, that I may see it.
[GNV | EN | NT | Mark | Chapter 12 | Verse 16] So they brought it, and he said vnto them, Whose is this image and superscription? and they said vnto him, Cesars.
[GNV | EN | NT | Mark | Chapter 12 | Verse 17] Then Iesus answered, and saide vnto them, Giue to Cesar the things that are Cesars, and to God, those that are Gods: and they marueiled at him.
[GNV | EN | NT | Mark | Chapter 12 | Verse 18] Then came the Sadduces vnto him, (which say, there is no resurrection) and they asked him, saying,
