[GNV | EN | NT | Mark | Chapter 16 | Verse 1] And when the Sabbath day was past, Marie Magdalene, and Marie the mother of Iames, and Salome, bought sweete oyntments, that they might come, and anoynt him.
[GNV | EN | NT | Mark | Chapter 16 | Verse 2] Therefore early in the morning, the first day of the weeke, they came vnto the sepulchre, when the Sunne was nowe risen.
[GNV | EN | NT | Mark | Chapter 16 | Verse 3] And they saide one to another, Who shall rolle vs away the stone from the doore of the sepulchre?
[GNV | EN | NT | Mark | Chapter 16 | Verse 4] And when they looked, they saw that the stone was rolled away (for it was a very great one)
[GNV | EN | NT | Mark | Chapter 16 | Verse 5] So they went into the sepulchre, and saw a yong man sitting at the right side, clothed in a long white robe: and they were sore troubled.
[GNV | EN | NT | Mark | Chapter 16 | Verse 6] But he said vnto them, Be not so troubled: ye seeke Iesus of Nazareth, which hath bene crucified: he is risen, he is not here: behold the place where they put him.
[GNV | EN | NT | Mark | Chapter 16 | Verse 7] But goe your way, and tell his disciples, and Peter, that he will goe before you into Galile: there shall ye see him, as he said vnto you.
[GNV | EN | NT | Mark | Chapter 16 | Verse 8] And they went out quickly, and fled from the sepulchre: for they trembled, and were amased: neither said they any thing to any man: for they were afraide.
[GNV | EN | NT | Mark | Chapter 16 | Verse 9] And when Iesus was risen againe, early the first day of the weeke, he appeared first to Marie Magdalene, out of whom he had cast seuen deuils:
[GNV | EN | NT | Mark | Chapter 16 | Verse 10] And shee went and tolde them that had bene with him, which mourned and wept.
[GNV | EN | NT | Mark | Chapter 16 | Verse 11] And when they heard that he was aliue, and had appeared to her, they beleeued it not.
[GNV | EN | NT | Mark | Chapter 16 | Verse 12] After that, he appeared vnto two of them in an other forme, as they walked and went into the countrey.
[GNV | EN | NT | Mark | Chapter 16 | Verse 13] And they went, and told it to the remnant, neither beleeued they them.
[GNV | EN | NT | Mark | Chapter 16 | Verse 14] Finally, he appeared vnto the eleuen as they sate together, and reproched them for their vnbeliefe and hardnesse of heart, because they beleeued not them which had seene him, being risen vp againe.
[GNV | EN | NT | Mark | Chapter 16 | Verse 15] And he saide vnto them, Goe ye into all the worlde, and preach the Gospel to euery creature.
[GNV | EN | NT | Mark | Chapter 16 | Verse 16] He that shall beleeue and be baptized, shalbe saued: but he that will not beleeue, shalbe damned.
[GNV | EN | NT | Mark | Chapter 16 | Verse 17] And these tokens shall folowe them that beleeue, In my Name they shall cast out deuils, and shall speake with newe tongues,
[GNV | EN | NT | Mark | Chapter 16 | Verse 18] And shall take away serpents, and if they shall drinke any deadly thing, it shall not hurt them: they shall lay their handes on the sicke, and they shall recouer.
[GNV | EN | NT | Mark | Chapter 16 | Verse 19] So after ye Lord had spoken vnto them, he was receiued into heauen, and sate at the right hand of God.
[GNV | EN | NT | Mark | Chapter 16 | Verse 20] And they went foorth, and preached euery where. And the Lord wrought with them, and confirmed the worde with signes that folowed. Amen.
