[WEB | EN | NT | Hebrews | Chapter 10 | Verse 1] For the law, having a shadow of the good to come, not the very image of the things, can never with the same sacrifices year by year, which they offer continually, make perfect those who draw near.
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 2] Or else wouldn’t they have ceased to be offered, because the worshipers, having been once cleansed, would have had no more consciousness of sins?
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 3] But in those sacrifices there is a yearly reminder of sins.
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 4] For it is impossible that the blood of bulls and goats should take away sins.
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 5] Therefore when he comes into the world, he says, “You didn’t desire sacrifice and offering, but you prepared a body for me.
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 6] You had no pleasure in whole burnt offerings and sacrifices for sin.
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 7] Then I said, ‘Behold, I have come (in the scroll of the book it is written of me) to do your will, O God.’”
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 8] Previously saying, “Sacrifices and offerings and whole burnt offerings and sacrifices for sin you didn’t desire, neither had pleasure in them” (those which are offered according to the law),
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 9] then he has said, “Behold, I have come to do your will.” He takes away the first, that he may establish the second,
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 10] by which will we have been sanctified through the offering of the body of Jesus Christ once for all.
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 11] Every priest indeed stands day by day serving and offering often the same sacrifices, which can never take away sins,
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 12] but he, when he had offered one sacrifice for sins forever, sat down on the right hand of God,
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 13] from that time waiting until his enemies are made the footstool of his feet.
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 14] For by one offering he has perfected forever those who are being sanctified.
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 15] The Holy Spirit also testifies to us, for after saying,
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 16] “This is the covenant that I will make with them after those days,” says the Lord, “I will put my laws on their heart, I will also write them on their mind;” then he says,
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 17] “I will remember their sins and their iniquities no more.”
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 18] Now where remission of these is, there is no more offering for sin.
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 19] Having therefore, brothers, boldness to enter into the holy place by the blood of Jesus,
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 20] by the way which he dedicated for us, a new and living way, through the veil, that is to say, his flesh,
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 21] and having a great priest over God’s house,
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 22] let’s draw near with a true heart in fullness of faith, having our hearts sprinkled from an evil conscience and having our body washed with pure water,
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 23] let’s hold fast the confession of our hope without wavering; for he who promised is faithful.
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 24] Let’s consider how to provoke one another to love and good works,
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 25] not forsaking our own assembling together, as the custom of some is, but exhorting one another, and so much the more as you see the Day approaching.
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 26] For if we sin willfully after we have received the knowledge of the truth, there remains no more a sacrifice for sins,
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 27] but a certain fearful expectation of judgment, and a fierceness of fire which will devour the adversaries.
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 28] A man who disregards Moses’ law dies without compassion on the word of two or three witnesses.
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 29] How much worse punishment do you think he will be judged worthy of who has trodden under foot the Son of God, and has counted the blood of the covenant with which he was sanctified an unholy thing, and has insulted the Spirit of grace?
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 30] For we know him who said, “Vengeance belongs to me. I will repay,” says the Lord. Again, “The Lord will judge his people.”
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 31] It is a fearful thing to fall into the hands of the living God.
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 32] But remember the former days, in which, after you were enlightened, you endured a great struggle with sufferings:
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 33] partly, being exposed to both reproaches and oppressions, and partly, becoming partakers with those who were treated so.
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 34] For you both had compassion on me in my chains and joyfully accepted the plundering of your possessions, knowing that you have for yourselves a better possession and an enduring one in the heavens.
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 35] Therefore don’t throw away your boldness, which has a great reward.
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 36] For you need endurance so that, having done the will of God, you may receive the promise.
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 37] “In a very little while, he who comes will come and will not wait.
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 38] But the righteous one will live by faith. If he shrinks back, my soul has no pleasure in him.”
[WEB | EN | NT | Hebrews | Chapter 10 | Verse 39] But we are not of those who shrink back to destruction, but of those who have faith to the saving of the soul.
