[WEB | EN | NT | Ephesians | Chapter 5 | Verse 1] Be therefore imitators of God, as beloved children.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 2] Walk in love, even as Christ also loved us and gave himself up for us, an offering and a sacrifice to God for a sweet-smelling fragrance.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 3] But sexual immorality, and all uncleanness or covetousness, let it not even be mentioned among you, as becomes saints;
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 4] nor filthiness, nor foolish talking, nor jesting, which are not appropriate, but rather giving of thanks.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 5] Know this for sure, that no sexually immoral person, nor unclean person, nor covetous man (who is an idolater), has any inheritance in the Kingdom of Christ and God.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 6] Let no one deceive you with empty words, for because of these things the wrath of God comes on the children of disobedience.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 7] Therefore don’t be partakers with them.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 8] For you were once darkness, but are now light in the Lord. Walk as children of light,
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 9] for the fruit of the Spirit is in all goodness and righteousness and truth,
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 10] proving what is well pleasing to the Lord.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 11] Have no fellowship with the unfruitful deeds of darkness, but rather even reprove them.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 12] For it is a shame even to speak of the things which are done by them in secret.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 13] But all things, when they are reproved, are revealed by the light, for everything that reveals is light.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 14] Therefore he says, “Awake, you who sleep, and arise from the dead, and Christ will shine on you.”
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 15] Therefore watch carefully how you walk, not as unwise, but as wise,
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 16] redeeming the time, because the days are evil.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 17] Therefore, don’t be foolish, but understand what the will of the Lord is.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 18] Don’t be drunken with wine, in which is dissipation, but be filled with the Spirit,
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 19] speaking to one another in psalms, hymns, and spiritual songs; singing and making melody in your heart to the Lord;
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 20] giving thanks always concerning all things in the name of our Lord Jesus Christ to God, even the Father;
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 21] subjecting yourselves to one another in the fear of Christ.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 22] Wives, be subject to your own husbands, as to the Lord.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 23] For the husband is the head of the wife, as Christ also is the head of the assembly, being himself the savior of the body.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 24] But as the assembly is subject to Christ, so let the wives also be to their own husbands in everything.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 25] Husbands, love your wives, even as Christ also loved the assembly and gave himself up for her,
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 26] that he might sanctify her, having cleansed her by the washing of water with the word,
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 27] that he might present the assembly to himself gloriously, not having spot or wrinkle or any such thing, but that she should be holy and without defect.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 28] Even so husbands also ought to love their own wives as their own bodies. He who loves his own wife loves himself.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 29] For no man ever hated his own flesh, but nourishes and cherishes it, even as the Lord also does the assembly,
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 30] because we are members of his body, of his flesh and bones.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 31] “For this cause a man will leave his father and mother and will be joined to his wife. Then the two will become one flesh.”
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 32] This mystery is great, but I speak concerning Christ and the assembly.
[WEB | EN | NT | Ephesians | Chapter 5 | Verse 33] Nevertheless each of you must also love his own wife even as himself; and let the wife see that she respects her husband.
