[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 1] Now the days of David drew nigh that he should die; and he charged Solomon his son, saying:
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 2] 'I go the way of all the earth; be thou strong therefore, and show thyself a man;
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 3] and keep the charge of the LORD thy God, to walk in His ways, to keep His statutes, and His commandments, and His ordinances, and His testimonies, according to that which is written in the law of Moses, that thou mayest prosper in all that thou doest, and whithersoever thou turnest thyself;
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 4] that the LORD may establish His word which He spoke concerning me, saying: If thy children take heed to their way, to walk before Me in truth with all their heart and with all their soul, there shall not fail thee, said He, a man on the throne of Israel.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 5] Moreover thou knowest also what Joab the son of Zeruiah did unto me, even what he did to the two captains of the hosts of Israel, unto Abner the son of Ner and unto Amasa the son of Jether, whom he slew, and shed the blood of war in peace, and put the blood of war upon his girdle that was about his loins, and in his shoes that were on his feet.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 6] Do therefore according to thy wisdom, and let not his hoar head go down to the grave in peace.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 7] But show kindness unto the sons of Barzillai the Gileadite, and let them be of those that eat at thy table; for so they drew nigh unto me when I fled from Absalom thy brother.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 8] And, behold, there is with thee Shimei the son of Gera, the Benjamite, of Bahurim, who cursed me with a grievous curse in the day when I went to Mahanaim; but he came down to meet me at the Jordan, and I swore to him by the LORD, saying: I will not put thee to death with the sword.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 9] Now therefore hold him not guiltless, for thou art a wise man; and thou wilt know what thou oughtest to do unto him, and thou shalt bring his hoar head down to the grave with blood.'
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 10] And David slept with his fathers, and was buried in the city of David.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 11] And the days that David reigned over Israel were forty years: seven years reigned he in Hebron, and thirty and three years reigned he in Jerusalem.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 12] And Solomon sat upon the throne of David his father; and his kingdom was established firmly.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 13] Then Adonijah the son of Haggith came to Bath-sheba the mother of Solomon. And she said: 'Comest thou peaceably?' And he said: 'Peaceably.'
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 14] He said moreover: 'I have somewhat to say unto thee.' And she said: 'Say on.'
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 15] And he said: 'Thou knowest that the kingdom was mine, and that all Israel set their faces on me, that I should reign; howbeit the kingdom is turned about, and is become my brother's; for it was his from the LORD.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 16] And now I ask one petition of thee, deny me not.' And she said unto him: 'Say on.'
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 17] And he said: 'Speak, I pray thee, unto Solomon the king — for he will not say thee nay — that he give me Abishag the Shunammite to wife.'
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 18] And Bath-sheba said: 'Well; I will speak for thee unto the king.'
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 19] Bath-sheba therefore went unto king Solomon, to speak unto him for Adonijah. And the king rose up to meet her, and bowed down unto her, and sat down on his throne, and caused a throne to be set for the king's mother; and she sat on his right hand.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 20] Then she said: 'I ask one small petition of thee; deny me not.' And the king said unto her: 'Ask on, my mother; for I will not deny thee.'
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 21] And she said: 'Let Abishag the Shunammite be given to Adonijah thy brother to wife.'
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 22] And king Solomon answered and said unto his mother: 'And why dost thou ask Abishag the Shunammite for Adonijah? ask for him the kingdom also; for he is mine elder brother; even for him, and for Abiathar the priest, and for Joab the son of Zeruiah.'
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 23] Then king Solomon swore by the LORD, saying: 'God do so to me, and more also, if Adonijah have not spoken this word against his own life.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 24] Now therefore as the LORD liveth, who hath established me, and set me on the throne of David my father, and who hath made me a house, as He promised, surely Adonijah shall be put to death this day.'
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 25] And king Solomon sent by the hand of Benaiah the son of Jehoiada; and he fell upon him, so that he died.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 26] And unto Abiathar the priest said the king: 'Get thee to Anathoth, unto thine own fields; for thou art deserving of death; but I will not at this time put thee to death, because thou didst bear the ark of the Lord GOD before David my father, and because thou wast afflicted in all wherein my father was afflicted.'
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 27] So Solomon thrust out Abiathar from being priest unto the LORD; that the word of the LORD might be fulfilled, which He spoke concerning the house of Eli in Shiloh.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 28] And the tidings came to Joab; for Joab had turned after Adonijah, though he turned not after Absalom. And Joab fled unto the Tent of the LORD, and caught hold on the horns of the altar.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 29] And it was told king Solomon: 'Joab is fled unto the Tent of the LORD, and, behold, he is by the altar.' Then Solomon sent Benaiah the son of Jehoiada, saying: 'Go, fall upon him.'
