[IRV | PA | OT | Isaiah | Chapter 43 | Verse 1] ਹੇ ਯਾਕੂਬ, ਤੇਰਾ ਕਰਤਾਰ, ਅਤੇ ਹੇ ਇਸਰਾਏਲ, ਤੇਰਾ ਸਿਰਜਣਹਾਰ ਯਹੋਵਾਹ ਹੁਣ ਇਹ ਆਖਦਾ ਹੈ, ਨਾ ਡਰ, ਕਿਉਂ ਜੋ ਮੈਂ ਤੈਨੂੰ ਛੁਡਾ ਲਿਆ ਹੈ, ਮੈਂ ਤੇਰਾ ਨਾਮ ਲੈ ਕੇ ਤੈਨੂੰ ਬੁਲਾਇਆ ਹੈ, ਤੂੰ ਮੇਰਾ ਹੀ ਹੈਂ।
[IRV | PA | OT | Isaiah | Chapter 43 | Verse 2] ਜਦ ਤੂੰ ਪਾਣੀਆਂ ਦੇ ਵਿੱਚੋਂ ਦੀ ਲੰਘੇਂਗਾ, ਮੈਂ ਤੇਰੇ ਅੰਗ-ਸੰਗ ਹੋਵਾਂਗਾ, ਅਤੇ ਜਦ ਨਦੀਆਂ ਦੇ ਵਿੱਚੋਂ ਦੀ, ਉਹ ਤੈਨੂੰ ਨਾ ਡੋਬਣਗੀਆਂ, ਜਦ ਤੂੰ ਅੱਗ ਦੇ ਵਿੱਚੋਂ ਦੀ ਚੱਲੇਂਗਾ, ਉਹ ਤੈਨੂੰ ਨਾ ਸਾੜੇਗੀ, ਨਾ ਲਾਟ ਤੇਰੇ ਉੱਤੇ ਬਲੇਗੀ।
[IRV | PA | OT | Isaiah | Chapter 43 | Verse 3] ਮੈਂ ਤਾਂ ਯਹੋਵਾਹ ਤੇਰਾ ਪਰਮੇਸ਼ੁਰ ਹਾਂ, ਇਸਰਾਏਲ ਦਾ ਪਵਿੱਤਰ ਪੁਰਖ, ਤੇਰਾ ਬਚਾਉਣ ਵਾਲਾ ਹਾਂ, ਮੈਂ ਮਿਸਰ ਨੂੰ ਤੇਰੀ ਰਿਹਾਈ ਲਈ ਅਤੇ ਕੂਸ਼ ਅਤੇ ਸ਼ਬਾ ਨੂੰ ਤੇਰੇ ਵਟਾਂਦਰੇ ਵਿੱਚ ਦਿੰਦਾ ਹਾਂ।
[IRV | PA | OT | Isaiah | Chapter 43 | Verse 4] ਇਸ ਕਾਰਨ ਕਿ ਤੂੰ ਮੇਰੀ ਨਿਗਾਹ ਵਿੱਚ ਬਹੁਮੁੱਲਾ ਅਤੇ ਆਦਰਯੋਗ ਹੈਂ, ਅਤੇ ਮੈਂ ਤੈਨੂੰ ਪਿਆਰ ਕੀਤਾ, ਮੈਂ ਤੇਰੇ ਬਦਲੇ ਮਨੁੱਖ ਅਤੇ ਤੇਰੀ ਜਾਨ ਦੇ ਵਟਾਂਦਰੇ ਵਿੱਚ ਕੌਮਾਂ ਦਿਆਂਗਾ।
[IRV | PA | OT | Isaiah | Chapter 43 | Verse 5] ਤੂੰ ਨਾ ਡਰ, ਕਿਉਂ ਜੋ ਮੈਂ ਤੇਰੇ ਅੰਗ-ਸੰਗ ਹਾਂ, ਮੈਂ ਤੇਰੀ ਅੰਸ ਨੂੰ ਪੂਰਬ ਤੋਂ ਲੈ ਆਵਾਂਗਾ, ਅਤੇ ਤੈਨੂੰ ਪੱਛਮ ਤੋਂ ਇਕੱਠਾ ਕਰਾਂਗਾ।
[IRV | PA | OT | Isaiah | Chapter 43 | Verse 6] ਮੈਂ ਉੱਤਰ ਨੂੰ ਆਖਾਂਗਾ, ਦੇ! ਅਤੇ ਦੱਖਣ ਨੂੰ, ਰੋਕ ਕੇ ਨਾ ਰੱਖ! ਤੂੰ ਮੇਰੇ ਪੁੱਤਰਾਂ ਨੂੰ ਦੂਰ ਤੋਂ ਲਿਆ, ਅਤੇ ਮੇਰੀਆਂ ਧੀਆਂ ਨੂੰ ਧਰਤੀ ਦੀ ਹੱਦ ਤੋਂ,
[IRV | PA | OT | Isaiah | Chapter 43 | Verse 7] ਹਰੇਕ ਜੋ ਮੇਰੇ ਨਾਮ ਤੋਂ ਸਦਾਉਂਦਾ ਹੈ, ਜਿਸ ਨੂੰ ਮੈਂ ਆਪਣੇ ਪਰਤਾਪ ਲਈ ਉਤਪੰਨ ਕੀਤਾ, ਜਿਸ ਨੂੰ ਮੈਂ ਸਿਰਜਿਆ, ਹਾਂ, ਜਿਸ ਨੂੰ ਮੈਂ ਬਣਾਇਆ ਹੈ।
[IRV | PA | OT | Isaiah | Chapter 43 | Verse 8] ਅੱਖਾਂ ਰਹਿੰਦਿਆਂ ਅੰਨ੍ਹਿਆਂ ਨੂੰ ਅਤੇ ਕੰਨ ਰਹਿੰਦਿਆਂ ਬੋਲ਼ਿਆਂ ਨੂੰ ਬਾਹਰ ਲਿਆ।
[IRV | PA | OT | Isaiah | Chapter 43 | Verse 9] ਸਾਰੀਆਂ ਕੌਮਾਂ ਇਕੱਠੀਆਂ ਹੋਣ, ਅਤੇ ਉੱਮਤਾਂ ਜਮਾਂ ਹੋਣ, ਉਹਨਾਂ ਵਿੱਚ ਕੌਣ ਹੈ ਜੋ ਇਹ ਦੱਸੇ, ਅਤੇ ਪਹਿਲੀਆਂ ਗੱਲਾਂ ਸਾਨੂੰ ਸੁਣਾਵੇ? ਉਹ ਆਪਣੇ ਗਵਾਹ ਲਿਆਉਣ, ਤਾਂ ਜੋ ਉਹ ਧਰਮੀ ਠਹਿਰਨ, ਜਾਂ ਦੂਸਰੇ ਉਨ੍ਹਾਂ ਨੂੰ ਸੁਣ ਕੇ ਆਖਣ, ਇਹ ਸੱਚ ਹੈ।
[IRV | PA | OT | Isaiah | Chapter 43 | Verse 10] ਯਹੋਵਾਹ ਦਾ ਵਾਕ ਹੈ, ਤੁਸੀਂ ਮੇਰੇ ਗਵਾਹ ਹੋ, ਨਾਲੇ ਮੇਰਾ ਦਾਸ ਜਿਸ ਨੂੰ ਮੈਂ ਚੁਣਿਆ, ਤਾਂ ਜੋ ਤੁਸੀਂ ਜਾਣੋ ਅਤੇ ਮੇਰੀ ਪਰਤੀਤ ਕਰੋ, ਅਤੇ ਸਮਝੋ ਕਿ ਮੈਂ ਉਹੀ ਹਾਂ। ਮੇਰੇ ਤੋਂ ਅੱਗੇ ਕੋਈ ਪਰਮੇਸ਼ੁਰ ਨਹੀਂ ਸੀ, ਨਾ ਮੇਰੇ ਪਿੱਛੋਂ ਕੋਈ ਹੋਵੇਗਾ।
[IRV | PA | OT | Isaiah | Chapter 43 | Verse 11] ਮੈਂ, ਹਾਂ, ਮੈਂ ਹੀ ਯਹੋਵਾਹ ਹਾਂ, ਮੇਰੇ ਬਿਨ੍ਹਾਂ ਕੋਈ ਬਚਾਉਣ ਵਾਲਾ ਨਹੀਂ ਹੈ।
