[IRV | PA | OT | Isaiah | Chapter 63 | Verse 1] ਇਹ ਕੌਣ ਹੈ ਜੋ ਅਦੋਮ ਦੇਸ ਦੇ ਬਾਸਰਾਹ ਨਗਰ ਤੋਂ ਲਾਲ ਬਸਤਰ ਪਾ ਕੇ ਤੁਰਿਆ ਆਉਂਦਾ ਹੈ? ਇਹ ਕੌਣ ਹੈ ਜੋ ਪਰਤਾਪ ਦਾ ਲਿਬਾਸ ਪਹਿਨੇ ਹੋਏ ਆਪਣੇ ਬਲ ਦੇ ਵਾਧੇ ਵਿੱਚ ਉਲਾਂਘਾਂ ਭਰਦਾ ਆਉਂਦਾ ਹੈ? ਇਹ ਮੈਂ ਹਾਂ, ਜੋ ਧਰਮ ਨਾਲ ਬੋਲਦਾ, ਅਤੇ ਬਚਾਉਣ ਲਈ ਸਮਰੱਥੀ ਹਾਂ।
[IRV | PA | OT | Isaiah | Chapter 63 | Verse 2] ਤੇਰਾ ਲਿਬਾਸ ਲਾਲ ਕਿਉਂ ਹੈ, ਅਤੇ ਤੇਰਾ ਬਸਤਰ ਹੌਦ ਵਿੱਚ ਦਾਖਾਂ ਲਤਾੜਨ ਵਾਲੇ ਜਿਹਾ ਕਿਉਂ ਹੈ?
[IRV | PA | OT | Isaiah | Chapter 63 | Verse 3] ਮੈਂ ਇਕੱਲੇ ਹੀ ਦਾਖਾਂ ਦੇ ਹੌਦ ਵਿੱਚ ਲਤਾੜਿਆ, ਅਤੇ ਦੇਸ਼-ਦੇਸ਼ ਦੇ ਲੋਕਾਂ ਵਿੱਚੋਂ ਮੇਰੇ ਨਾਲ ਕੋਈ ਨਹੀਂ ਸੀ। ਹਾਂ, ਮੈਂ ਆਪਣੇ ਕ੍ਰੋਧ ਵਿੱਚ ਉਹਨਾਂ ਨੂੰ ਲਤਾੜਿਆ, ਅਤੇ ਆਪਣੇ ਗੁੱਸੇ ਵਿੱਚ ਉਹਨਾਂ ਨੂੰ ਮਿੱਧਿਆ, ਮੇਰੇ ਬਸਤਰ ਉੱਤੇ ਉਹਨਾਂ ਦਾ ਲਹੂ ਛਿੜਕਿਆ ਗਿਆ, ਅਤੇ ਮੈਂ ਆਪਣੇ ਸਾਰੇ ਲਿਬਾਸ ਨੂੰ ਲਬੇੜਿਆ ਹੈ!
[IRV | PA | OT | Isaiah | Chapter 63 | Verse 4] ਕਿਉਂ ਜੋ ਬਦਲਾ ਲੈਣ ਦਾ ਦਿਨ ਮੇਰੇ ਦਿਲ ਵਿੱਚ ਸੀ, ਅਤੇ ਮੇਰੇ ਛੁਡਾਇਆਂ ਹੋਇਆਂ ਦਾ ਸਾਲ ਆ ਗਿਆ ਹੈ।
[IRV | PA | OT | Isaiah | Chapter 63 | Verse 5] ਮੈਂ ਨਿਗਾਹ ਕੀਤੀ ਪਰ ਕੋਈ ਸਹਾਇਕ ਨਹੀਂ ਸੀ, ਮੈਂ ਦੰਗ ਰਹਿ ਗਿਆ ਕਿ ਕੋਈ ਸੰਭਾਲਣ ਵਾਲਾ ਨਹੀਂ ਸੀ। ਤਦ ਮੈਂ ਆਪਣੀ ਹੀ ਬਾਂਹ ਨਾਲ ਬਚਾਉਣ ਦਾ ਕੰਮ ਕੀਤਾ, ਅਤੇ ਮੇਰੇ ਗੁੱਸੇ ਨੇ ਹੀ ਮੈਨੂੰ ਸੰਭਾਲਿਆ।
[IRV | PA | OT | Isaiah | Chapter 63 | Verse 6] ਮੈਂ ਆਪਣੇ ਕ੍ਰੋਧ ਵਿੱਚ ਲੋਕਾਂ ਨੂੰ ਲਤਾੜਿਆ, ਮੈਂ ਆਪਣੇ ਗੁੱਸੇ ਵਿੱਚ ਉਹਨਾਂ ਨੂੰ ਮਤਵਾਲੇ ਕੀਤਾ, ਅਤੇ ਉਹਨਾਂ ਦਾ ਲਹੂ ਧਰਤੀ ਉੱਤੇ ਵਹਾਇਆ।
[IRV | PA | OT | Isaiah | Chapter 63 | Verse 7] ਉਹਨਾਂ ਸਾਰੇ ਉਪਕਾਰਾਂ ਲਈ ਜੋ ਯਹੋਵਾਹ ਨੇ ਸਾਡੇ ਉੱਤੇ ਕੀਤੇ, ਨਾਲੇ ਇਸਰਾਏਲ ਦੇ ਘਰਾਣੇ ਉੱਤੇ ਉਸ ਵੱਡੀ ਭਲਿਆਈ ਲਈ ਜਿਸ ਨੂੰ ਉਹ ਨੇ ਆਪਣੇ ਰਹਮ, ਅਤੇ ਆਪਣੀ ਦਯਾ ਦੀ ਵਾਫ਼ਰੀ ਅਨੁਸਾਰ ਉਹਨਾਂ ਨੂੰ ਬਖ਼ਸ਼ ਦਿੱਤਾ, ਮੈਂ ਯਹੋਵਾਹ ਦੀ ਦਯਾ ਦਾ ਵਰਣਨ ਕਰਾਂਗਾ ਅਤੇ ਉਸ ਦੀ ਉਸਤਤ ਕਰਾਂਗਾ।
[IRV | PA | OT | Isaiah | Chapter 63 | Verse 8] ਉਸ ਨੇ ਆਖਿਆ, ਸੱਚ-ਮੁੱਚ ਇਹ ਮੇਰੀ ਪਰਜਾ ਹੈ, ਅਜਿਹੇ ਪੁੱਤਰ ਜੋ ਧੋਖਾ ਨਾ ਦੇਣਗੇ, ਇਸ ਲਈ ਉਹ ਉਹਨਾਂ ਦਾ ਬਚਾਉਣ ਵਾਲਾ ਹੋਇਆ।
[IRV | PA | OT | Isaiah | Chapter 63 | Verse 9] ਉਹਨਾਂ ਦੇ ਸਾਰੇ ਦੁੱਖਾਂ ਵਿੱਚ ਉਹ ਦੁਖੀ ਹੋਇਆ, ਅਤੇ ਉਹ ਦੇ ਹਜ਼ੂਰ ਰਹਿਣ ਵਾਲੇ ਦੂਤ ਨੇ ਉਹਨਾਂ ਨੂੰ ਬਚਾਇਆ, ਉਸ ਨੇ ਆਪਣੇ ਪ੍ਰੇਮ ਅਤੇ ਆਪਣੇ ਤਰਸ ਵਿੱਚ ਉਹਨਾਂ ਨੂੰ ਛੁਡਾਇਆ, ਉਹ ਉਹਨਾਂ ਨੂੰ ਸਾਰੇ ਪ੍ਰਾਚੀਨ ਦਿਨਾਂ ਵਿੱਚ ਚੁੱਕੀ ਫਿਰਿਆ।
[IRV | PA | OT | Isaiah | Chapter 63 | Verse 10] ਪਰ ਉਹ ਵਿਦਰੋਹੀ ਹੋ ਗਏ, ਅਤੇ ਉਹ ਦੇ ਪਵਿੱਤਰ ਆਤਮਾ ਨੂੰ ਦੁਖੀ ਕੀਤਾ, ਇਸ ਕਾਰਨ ਉਹ ਉਲਟਾ ਉਹਨਾਂ ਦਾ ਵੈਰੀ ਬਣ ਗਿਆ, ਅਤੇ ਆਪ ਉਹਨਾਂ ਨਾਲ ਲੜਿਆ।
[IRV | PA | OT | Isaiah | Chapter 63 | Verse 11] ਤਦ ਉਹ ਦੀ ਪਰਜਾ ਨੇ ਮੂਸਾ ਦੇ ਪ੍ਰਾਚੀਨ ਦਿਨਾਂ ਨੂੰ ਯਾਦ ਕੀਤਾ ਅਤੇ ਆਖਣ ਲੱਗੇ, - ਉਹ ਕਿੱਥੇ ਹੈ ਜੋ ਉਹਨਾਂ ਨੂੰ ਸਮੁੰਦਰੋਂ ਉਤਾਹਾਂ ਲਿਆਇਆ, ਆਪਣੇ ਇੱਜੜ ਨੂੰ ਉਹਨਾਂ ਦੇ ਅਯਾਲੀ ਸਮੇਤ? ਉਹ ਕਿੱਥੇ ਹੈ ਜਿਸ ਨੇ ਆਪਣਾ ਪਵਿੱਤਰ ਆਤਮਾ ਉਹਨਾਂ ਦੇ ਅੰਦਰ ਪਾਇਆ?
