[IRV | PA | OT | Isaiah | Chapter 3 | Verse 1] ਹੁਣ ਵੇਖੋ! ਪ੍ਰਭੂ ਸੈਨਾਂ ਦਾ ਯਹੋਵਾਹ, ਯਰੂਸ਼ਲਮ ਤੇ ਯਹੂਦਾਹ ਤੋਂ ਆਸਰਾ ਤੇ ਸਹਾਰਾ ਲੈ ਜਾ ਰਿਹਾ ਹੈ, ਅਰਥਾਤ ਰੋਟੀ ਦਾ ਸਾਰਾ ਸਹਾਰਾ ਤੇ ਪਾਣੀ ਦਾ ਸਾਰਾ ਸਹਾਰਾ,
[IRV | PA | OT | Isaiah | Chapter 3 | Verse 2] ਸੂਰਬੀਰ ਤੇ ਯੋਧਾ, ਨਿਆਈਂ ਤੇ ਨਬੀ, ਫ਼ਾਲ ਪਾਉਣ ਵਾਲਾ ਤੇ ਬਜ਼ੁਰਗ,
[IRV | PA | OT | Isaiah | Chapter 3 | Verse 3] ਪੰਜਾਹਾਂ ਸਿਪਾਹੀਆਂ ਦਾ ਸਰਦਾਰ ਤੇ ਰਈਸ, ਦਰਬਾਰੀ ਤੇ ਸਿਆਣਾ ਕਾਰੀਗਰ ਅਤੇ ਚਾਤਰ ਜਾਦੂਗਰ ਨੂੰ ਵੀ ਦੂਰ ਕਰ ਦੇਵੇਗਾ।
[IRV | PA | OT | Isaiah | Chapter 3 | Verse 4] ਤਾਂ ਮੈਂ ਮੁੰਡਿਆਂ ਨੂੰ ਉਹਨਾਂ ਦੇ ਹਾਕਮ ਬਣਾਵਾਂਗਾ, ਅਤੇ ਬੱਚੇ ਉਹਨਾਂ ਦੇ ਉੱਤੇ ਹਕੂਮਤ ਕਰਨਗੇ।
[IRV | PA | OT | Isaiah | Chapter 3 | Verse 5] ਲੋਕ ਇੱਕ ਦੂਜੇ ਉੱਤੇ ਅਤੇ ਹਰੇਕ ਆਪਣੇ ਗੁਆਂਢੀ ਉੱਤੇ ਜ਼ੁਲਮ ਕਰੇਗਾ, ਜੁਆਨ ਬਜ਼ੁਰਗ ਦੀ, ਅਤੇ ਨੀਚ ਪਤਵੰਤੇ ਦੀ ਬੇਇੱਜ਼ਤੀ ਕਰੇਗਾ।
[IRV | PA | OT | Isaiah | Chapter 3 | Verse 6] ਕੋਈ ਮਨੁੱਖ ਆਪਣੇ ਪਿਤਾ ਦੇ ਘਰ ਵਿੱਚ ਆਪਣੇ ਭਰਾ ਨੂੰ ਫੜ੍ਹ ਕੇ ਆਖੇਗਾ, - ਤੇਰੇ ਕੋਲ ਚੋਗਾ ਹੈ, ਤੂੰ ਸਾਡਾ ਆਗੂ ਹੋ, ਅਤੇ ਇਹ ਉੱਜੜਿਆ ਹੋਇਆ ਢੇਰ ਤੇਰੇ ਹੱਥ ਦੇ ਹੇਠ ਹੋਵੇਗਾ।
[IRV | PA | OT | Isaiah | Chapter 3 | Verse 7] ਉਸ ਦਿਨ ਉਹ ਉੱਚੀ ਦੇ ਕੇ ਆਖੇਗਾ, ਮੈਂ ਪੱਟੀ ਬੰਨ੍ਹਣ ਵਾਲਾ ਨਹੀਂ ਹੋਵਾਂਗਾ, ਮੇਰੇ ਘਰ ਵਿੱਚ ਨਾ ਰੋਟੀ ਹੈ ਨਾ ਚੋਗਾ, ਤੁਸੀਂ ਮੈਨੂੰ ਲੋਕਾਂ ਦਾ ਆਗੂ ਨਾ ਠਹਿਰਾਓ!
[IRV | PA | OT | Isaiah | Chapter 3 | Verse 8] ਯਰੂਸ਼ਲਮ ਤਾਂ ਠੇਡਾ ਖਾ ਗਿਆ, ਅਤੇ ਯਹੂਦਾਹ ਡਿੱਗ ਪਿਆ ਹੈ, ਕਿਉਂ ਜੋ ਉਹਨਾਂ ਦੀ ਬੋਲੀ ਤੇ ਉਹਨਾਂ ਦੇ ਕੰਮ ਯਹੋਵਾਹ ਦੇ ਵਿਰੁੱਧ ਹਨ, ਜੋ ਉਹ ਦੀਆਂ ਤੇਜਵਾਨ ਅੱਖਾਂ ਨੂੰ ਲਾਲ ਕਰਦੇ ਹਨ।
[IRV | PA | OT | Isaiah | Chapter 3 | Verse 9] ਉਹਨਾਂ ਦੇ ਚਿਹਰੇ ਦਾ ਰੂਪ ਉਹਨਾਂ ਦੇ ਵਿਰੁੱਧ ਗਵਾਹੀ ਦਿੰਦਾ ਹੈ, ਅਤੇ ਉਹ ਆਪਣੇ ਆਪ ਨੂੰ ਸਦੂਮ ਵਾਂਗੂੰ ਪਰਗਟ ਕਰਦੇ ਹਨ, ਉਹ ਉਸ ਨੂੰ ਲੁਕਾਉਂਦੇ ਨਹੀਂ, - ਹਾਏ ਉਹਨਾਂ ਦੀ ਜਾਨ ਉੱਤੇ! ਉਹ ਆਪ ਹੀ ਆਪਣੇ ਉੱਤੇ ਬੁਰਿਆਈ ਲੈ ਆਉਂਦੇ ਹਨ।
[IRV | PA | OT | Isaiah | Chapter 3 | Verse 10] ਧਰਮੀ ਨੂੰ ਆਖੋ ਕਿ ਉਨ੍ਹਾਂ ਦਾ ਭਲਾ ਹੋਵੇਗਾ, ਕਿਉਂ ਜੋ ਉਹ ਆਪਣੇ ਕੰਮ ਦਾ ਫਲ ਖਾਣਗੇ।
[IRV | PA | OT | Isaiah | Chapter 3 | Verse 11] ਹਾਏ ਦੁਸ਼ਟ ਉੱਤੇ! ਉਹ ਦਾ ਬੁਰਾ ਹੋਵੇਗਾ, ਕਿਉਂ ਜੋ ਉਹ ਆਪਣੇ ਹੱਥ ਦਾ ਕੀਤਾ ਆਪ ਭੋਗੇਗਾ
