[IRV | PA | OT | Isaiah | Chapter 13 | Verse 1] ਬਾਬਲ ਦੇ ਵਿਖੇ ਅਗੰਮ ਵਾਕ ਜਿਸ ਨੂੰ ਆਮੋਸ ਦੇ ਪੁੱਤਰ ਯਸਾਯਾਹ ਨੇ ਦਰਸ਼ਣ ਵਿੱਚ ਪਾਇਆ, -
[IRV | PA | OT | Isaiah | Chapter 13 | Verse 2] ਨੰਗੇ ਪਰਬਤ ਉੱਤੇ ਝੰਡਾ ਖੜ੍ਹਾ ਕਰੋ, ਉਨ੍ਹਾਂ ਨੂੰ ਉੱਚੀ ਅਵਾਜ਼ ਨਾਲ ਪੁਕਾਰੋ! ਹੱਥ ਨਾਲ ਇਸ਼ਾਰਾ ਕਰੋ, ਤਾਂ ਜੋ ਉਹ ਪਤਵੰਤਾਂ ਦੇ ਫਾਟਕਾਂ ਵਿੱਚ ਵੜਨ!
[IRV | PA | OT | Isaiah | Chapter 13 | Verse 3] ਮੈਂ ਆਪਣੇ ਸੰਤਾਂ ਨੂੰ ਹੁਕਮ ਦਿੱਤਾ ਹੈ, ਨਾਲੇ ਮੈਂ ਆਪਣੇ ਕ੍ਰੋਧ ਨੂੰ ਪੂਰਾ ਕਰਨ ਲਈ, ਆਪਣੇ ਸੂਰਮਿਆਂ ਨੂੰ ਬੁਲਾਇਆ, ਜਿਹੜੇ ਮੇਰੀ ਜਿੱਤ ਤੇ ਪ੍ਰਸੰਨ ਹੁੰਦੇ ਹਨ।
[IRV | PA | OT | Isaiah | Chapter 13 | Verse 4] ਪਹਾੜਾਂ ਉੱਤੇ ਇੱਕ ਰੌਲ਼ੇ ਦੀ ਅਵਾਜ਼ ਸੁਣੋ, ਜਿਵੇਂ ਵੱਡੀ ਭੀੜ ਦੀ, ਰਾਜ ਰਾਜ ਦੀਆਂ ਕੌਮਾਂ ਦੇ ਇਕੱਠ ਦਾ ਸ਼ੋਰ, ਸੈਨਾਂ ਦਾ ਯਹੋਵਾਹ ਯੁੱਧ ਲਈ ਸੈਨਾਂ ਨੂੰ ਇਕੱਠਾ ਕਰ ਰਿਹਾ ਹੈ!
[IRV | PA | OT | Isaiah | Chapter 13 | Verse 5] ਉਹ ਦੂਰ ਦੇਸ ਤੋਂ, ਅਕਾਸ਼ ਦੇ ਸਿਰੇ ਤੋਂ ਤੁਰੇ ਆਉਂਦੇ ਹਨ, ਯਹੋਵਾਹ ਅਤੇ ਉਹ ਦੇ ਕਹਿਰ ਦੇ ਸ਼ਸਤਰ ਆਉਂਦੇ ਹਨ, ਤਾਂ ਜੋ ਸਾਰੀ ਧਰਤੀ ਨੂੰ ਨਾਸ ਕਰਨ!
[IRV | PA | OT | Isaiah | Chapter 13 | Verse 6] ਤੁਸੀਂ ਧਾਹਾਂ ਮਾਰੋ ਕਿਉਂ ਜੋ ਯਹੋਵਾਹ ਦਾ ਨਿਆਂ ਦਾ ਦਿਨ ਨੇੜੇ ਹੈ, ਉਹ ਸਰਬ ਸ਼ਕਤੀਮਾਨ ਵੱਲੋਂ ਬਰਬਾਦੀ ਵਾਂਗੂੰ ਆਵੇਗਾ।
[IRV | PA | OT | Isaiah | Chapter 13 | Verse 7] ਇਸ ਲਈ ਸਾਰੇ ਹੱਥ ਢਿੱਲੇ ਪੈ ਜਾਣਗੇ, ਅਤੇ ਹਰ ਮਨੁੱਖ ਦਾ ਦਿਲ ਡਰ ਨਾਲ ਢੱਲ਼ ਜਾਵੇਗਾ।
[IRV | PA | OT | Isaiah | Chapter 13 | Verse 8] ਉਹ ਘਬਰਾ ਜਾਣਗੇ, ਪੀੜਾਂ ਅਤੇ ਕਸ਼ਟ ਉਨ੍ਹਾਂ ਨੂੰ ਫੜ੍ਹ ਲੈਣਗੇ, ਉਹ ਜਣਨ ਵਾਲੀ ਔਰਤ ਵਾਂਗੂੰ ਪੀੜ ਵਿੱਚ ਹੋਣਗੇ, ਉਹ ਹੱਕੇ-ਬੱਕੇ ਹੋ ਕੇ ਇੱਕ ਦੂਜੇ ਵੱਲ ਤੱਕਣਗੇ, ਉਨ੍ਹਾਂ ਦੇ ਮੂੰਹ ਭੱਖਦੇ ਹੋਣਗੇ।
[IRV | PA | OT | Isaiah | Chapter 13 | Verse 9] ਵੇਖੋ, ਯਹੋਵਾਹ ਦਾ ਦਿਨ, ਨਿਰਦਈ, ਕਹਿਰ ਅਤੇ ਤੇਜ ਕ੍ਰੋਧ ਨਾਲ ਆਉਂਦਾ ਹੈ, ਤਾਂ ਜੋ ਧਰਤੀ ਨੂੰ ਵਿਰਾਨ ਕਰੇ, ਅਤੇ ਉਹ ਦੇ ਪਾਪੀਆਂ ਨੂੰ ਉਹ ਦੇ ਵਿੱਚੋਂ ਨਾਸ ਕਰੇ।
[IRV | PA | OT | Isaiah | Chapter 13 | Verse 10] ਅਕਾਸ਼ ਦੇ ਤਾਰੇ ਅਤੇ ਉਹ ਦੇ ਤਾਰਾਗਣ ਆਪਣਾ ਚਾਨਣ ਨਾ ਦੇਣਗੇ, ਸੂਰਜ ਚੜ੍ਹਦਿਆਂ ਸਾਰ ਹਨ੍ਹੇਰਾ ਹੋ ਜਾਵੇਗਾ, ਅਤੇ ਚੰਦਰਮਾ ਆਪਣਾ ਪ੍ਰਕਾਸ਼ ਨਾ ਦੇਵੇਗਾ।
[IRV | PA | OT | Isaiah | Chapter 13 | Verse 11] ਮੈਂ ਜਗਤ ਨੂੰ ਉਹ ਦੀ ਬੁਰਿਆਈ ਦੀ, ਅਤੇ ਦੁਸ਼ਟਾਂ ਨੂੰ ਉਨ੍ਹਾਂ ਦੀ ਬਦੀ ਦੀ ਸਜ਼ਾ ਦੇਵਾਂਗਾ, ਅਤੇ ਬੇਰਹਿਮਾਂ ਦੇ ਘਮੰਡ ਨੂੰ ਤੋੜ ਦਿਆਂਗਾ।
