[IRV | PA | OT | Isaiah | Chapter 11 | Verse 1] ਯੱਸੀ ਦੇ ਟੁੰਡ ਤੋਂ ਇੱਕ ਟਾਹਣੀ ਫੁੱਟ ਨਿੱਕਲੇਗੀ, ਅਤੇ ਉਹ ਦੀਆਂ ਜੜ੍ਹਾਂ ਵਿੱਚੋਂ ਇੱਕ ਟਹਿਣੀ ਨਿੱਕਲ ਕੇ ਫਲ ਦੇਵੇਗੀ।
[IRV | PA | OT | Isaiah | Chapter 11 | Verse 2] ਯਹੋਵਾਹ ਦਾ ਆਤਮਾ ਉਸ ਉੱਤੇ ਠਹਿਰੇਗਾ, ਬੁੱਧ ਤੇ ਸਮਝ ਦਾ ਆਤਮਾ, ਸਲਾਹ ਦੇ ਸਮਰੱਥਾ ਦਾ ਆਤਮਾ, ਯਹੋਵਾਹ ਦੇ ਗਿਆਨ ਅਤੇ ਭੈਅ ਦਾ ਆਤਮਾ।
[IRV | PA | OT | Isaiah | Chapter 11 | Verse 3] ਅਤੇ ਯਹੋਵਾਹ ਦੇ ਭੈਅ ਵਿੱਚ ਉਹ ਮਗਨ ਰਹੇਗਾ, ਉਹ ਨਾ ਆਪਣੀਆਂ ਅੱਖਾਂ ਦੇ ਵੇਖਣ ਅਨੁਸਾਰ ਨਿਆਂ ਕਰੇਗਾ, ਨਾ ਆਪਣੇ ਕੰਨਾਂ ਦੇ ਸੁਣਨ ਅਨੁਸਾਰ ਫ਼ੈਸਲਾ ਦੇਵੇਗਾ।
[IRV | PA | OT | Isaiah | Chapter 11 | Verse 4] ਪਰ ਉਹ ਗਰੀਬਾਂ ਦਾ ਨਿਆਂ ਧਰਮ ਨਾਲ, ਇਨਸਾਫ਼ ਨਾਲ ਧਰਤੀ ਦੇ ਮਸਕੀਨਾਂ ਦਾ ਫ਼ੈਸਲਾ ਕਰੇਗਾ, ਉਹ ਧਰਤੀ ਨੂੰ ਆਪਣੇ ਬਚਨ ਦੇ ਡੰਡੇ ਨਾਲ ਮਾਰੇਗਾ, ਅਤੇ ਆਪਣੇ ਬੁੱਲ੍ਹਾਂ ਦੇ ਸਾਹ ਨਾਲ ਦੁਸ਼ਟਾਂ ਨੂੰ ਜਾਨੋਂ ਮਾਰ ਸੁੱਟੇਗਾ।
[IRV | PA | OT | Isaiah | Chapter 11 | Verse 5] ਧਰਮ ਉਹ ਦੀ ਕਮਰ ਦਾ ਪਟਕਾ ਹੋਵੇਗਾ, ਅਤੇ ਵਫ਼ਾਦਾਰੀ ਉਹ ਦੇ ਲੱਕ ਦੀ ਪੇਟੀ ਹੋਵੇਗੀ।
[IRV | PA | OT | Isaiah | Chapter 11 | Verse 6] ਬਘਿਆੜ ਲੇਲੇ ਨਾਲ ਰਹੇਗਾ, ਅਤੇ ਚੀਤਾ ਮੇਮਣੇ ਨਾਲ ਬੈਠੇਗਾ, ਵੱਛਾ, ਜੁਆਨ ਸ਼ੇਰ ਅਤੇ ਪਾਲਤੂ ਪਸ਼ੂ ਇਕੱਠੇ ਰਹਿਣਗੇ, ਅਤੇ ਇੱਕ ਛੋਟਾ ਬੱਚਾ ਉਹਨਾਂ ਨੂੰ ਲਈ ਫਿਰੇਗਾ।
[IRV | PA | OT | Isaiah | Chapter 11 | Verse 7] ਗਾਂ ਤੇ ਰਿੱਛਣੀ ਚਰਨਗੀਆਂ, ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਬੱਚੇ ਇਕੱਠੇ ਬੈਠਣਗੇ, ਬੱਬਰ ਸ਼ੇਰ ਬਲ਼ਦ ਵਾਂਗੂੰ ਘਾਹ ਖਾਵੇਗਾ।
[IRV | PA | OT | Isaiah | Chapter 11 | Verse 8] ਦੁੱਧ ਚੁੰਘਦਾ ਬੱਚਾ ਸੱਪ ਦੀ ਖੁੱਡ ਉੱਤੇ ਖੇਡੇਗਾ, ਅਤੇ ਦੁੱਧੋਂ ਛੁਡਾਇਆ ਹੋਇਆ ਬੱਚਾ ਆਪਣਾ ਹੱਥ ਨਾਗ ਦੀ ਵਰਮੀ ਉੱਤੇ ਰੱਖੇਗਾ।
[IRV | PA | OT | Isaiah | Chapter 11 | Verse 9] ਮੇਰੇ ਸਾਰੇ ਪਵਿੱਤਰ ਪਰਬਤ ਵਿੱਚ ਨਾ ਕੋਈ ਦੁੱਖ ਦੇਵੇਗਾ, ਨਾ ਨਾਸ ਕਰੇਗਾ, ਕਿਉਂ ਜੋ ਧਰਤੀ ਯਹੋਵਾਹ ਦੇ ਗਿਆਨ ਨਾਲ ਅਜਿਹੀ ਭਰੀ ਹੋਈ ਹੋਵੇਗੀ, ਜਿਵੇਂ ਸਮੁੰਦਰ ਪਾਣੀ ਨਾਲ ਭਰਿਆ ਹੋਇਆ ਹੈ।
[IRV | PA | OT | Isaiah | Chapter 11 | Verse 10] ਉਸ ਦਿਨ ਅਜਿਹਾ ਹੋਵੇਗਾ ਕਿ ਯੱਸੀ ਦੀ ਜੜ੍ਹ ਲੋਕਾਂ ਦੇ ਝੰਡੇ ਲਈ ਖੜ੍ਹੀ ਹੋਵੇਗੀ, - ਉਹ ਨੂੰ ਕੌਮਾਂ ਭਾਲਣਗੀਆਂ ਅਤੇ ਉਹ ਦਾ ਅਰਾਮ ਸਥਾਨ ਪਰਤਾਪਵਾਨ ਹੋਵੇਗਾ।
[IRV | PA | OT | Isaiah | Chapter 11 | Verse 11] ਅਤੇ ਉਸ ਦਿਨ ਪ੍ਰਭੂ ਦੂਸਰੀ ਵਾਰੀ ਆਪਣਾ ਹੱਥ ਵਧਾ ਕੇ ਆਪਣੀ ਪਰਜਾ ਦੇ ਬਚੇ ਹੋਏ ਲੋਕਾਂ ਨੂੰ ਅੱਸ਼ੂਰ ਤੋਂ, ਮਿਸਰ ਤੋਂ, ਪਥਰੋਸ ਤੋਂ, ਕੂਸ਼ ਤੋਂ, ਏਲਾਮ ਤੋਂ, ਸ਼ਿਨਾਰ ਤੋਂ, ਹਮਾਥ ਤੋਂ ਅਤੇ ਸਮੁੰਦਰ ਦੇ ਟਾਪੂਆਂ ਤੋਂ ਮੁੱਲ ਲੈ ਕੇ ਛੁਡਾਵੇਗਾ।
