[IRV | PA | OT | Isaiah | Chapter 59 | Verse 1] ਵੇਖੋ, ਯਹੋਵਾਹ ਦਾ ਹੱਥ ਅਜਿਹਾ ਛੋਟਾ ਨਹੀਂ ਕਿ ਉਹ ਬਚਾ ਨਾ ਸਕੇ, ਨਾ ਉਹ ਦਾ ਕੰਨ ਅਜਿਹਾ ਭਾਰੀ ਹੈ ਕਿ ਉਹ ਸੁਣੇ ਨਾ।
[IRV | PA | OT | Isaiah | Chapter 59 | Verse 2] ਸਗੋਂ ਤੁਹਾਡੀਆਂ ਬਦੀਆਂ ਨੇ ਤੁਹਾਨੂੰ ਤੁਹਾਡੇ ਪਰਮੇਸ਼ੁਰ ਤੋਂ ਦੂਰ ਕਰ ਦਿੱਤਾ ਹੈ, ਅਤੇ ਤੁਹਾਡੇ ਪਾਪਾਂ ਨੇ ਉਹ ਦਾ ਮੂੰਹ ਤੁਹਾਡੇ ਕੋਲੋਂ ਅਜਿਹਾ ਲੁਕਾ ਦਿੱਤਾ ਹੈ, ਕਿ ਉਹ ਸੁਣਦਾ ਨਹੀਂ।
[IRV | PA | OT | Isaiah | Chapter 59 | Verse 3] ਤੁਹਾਡੇ ਹੱਥ ਤਾਂ ਲਹੂ ਨਾਲ ਲਿੱਬੜੇ ਹੋਏ ਹਨ, ਅਤੇ ਤੁਹਾਡੀਆਂ ਉਂਗਲੀਆਂ ਬਦੀ ਨਾਲ, ਤੁਹਾਡੇ ਬੁੱਲ੍ਹ ਝੂਠ ਨਾਲ ਭਰੇ ਹਨ ਅਤੇ ਤੁਹਾਡੀ ਜੀਭ ਬਦੀ ਬਕਦੀ ਹੈ।
[IRV | PA | OT | Isaiah | Chapter 59 | Verse 4] ਕੋਈ ਆਪਣਾ ਮੁਕੱਦਮਾ ਧਰਮ ਨਾਲ ਪੇਸ਼ ਨਹੀਂ ਕਰਦਾ, ਨਾ ਕੋਈ ਸਚਿਆਈ ਨਾਲ ਇਨਸਾਫ਼ ਕਰਦਾ, ਉਹ ਫੋਕਟ ਉੱਤੇ ਭਰੋਸਾ ਰੱਖਦੇ ਅਤੇ ਝੂਠ ਬੋਲਦੇ ਹਨ, ਉਹ ਝਗੜੇ ਨਾਲ ਗਰਭੀ ਹੁੰਦੇ ਅਤੇ ਬਦੀ ਨੂੰ ਜਨਮ ਦਿੰਦੇ ਹਨ!
[IRV | PA | OT | Isaiah | Chapter 59 | Verse 5] ਉਹ ਨਾਗ ਦੇ ਆਂਡੇ ਸੇਉਂਦੇ ਹਨ ਅਤੇ ਮੱਕੜੀ ਦਾ ਜਾਲਾ ਉਣਦੇ ਹਨ, ਜੋ ਕੋਈ ਉਹਨਾਂ ਦੇ ਆਂਡਿਆਂ ਵਿੱਚੋਂ ਖਾਵੇ ਉਹ ਮਰ ਜਾਵੇਗਾ, ਅਤੇ ਜਿਹੜਾ ਤੋੜਿਆ ਜਾਵੇ ਉਸ ਤੋਂ ਫਨੀਅਰ ਸੱਪ ਨਿੱਕਲਦਾ ਹੈ।
[IRV | PA | OT | Isaiah | Chapter 59 | Verse 6] ਉਹਨਾਂ ਦੇ ਜਾਲੇ ਨਾਲ ਬਸਤਰ ਨਾ ਬਣਨਗੇ, ਨਾ ਉਹ ਆਪਣੀਆਂ ਕਰਤੂਤਾਂ ਨਾਲ ਆਪਣੇ ਆਪ ਨੂੰ ਢੱਕਣਗੇ, ਉਹਨਾਂ ਦੀਆਂ ਕਰਤੂਤਾਂ ਬਦੀ ਦੀਆਂ ਕਰਤੂਤਾਂ ਹਨ, ਅਤੇ ਜ਼ੁਲਮ ਦਾ ਕੰਮ ਉਹਨਾਂ ਦੇ ਹੱਥ ਵਿੱਚ ਹੈ।
[IRV | PA | OT | Isaiah | Chapter 59 | Verse 7] ਉਹਨਾਂ ਦੇ ਪੈਰ ਬੁਰਿਆਈ ਵੱਲ ਭੱਜਦੇ ਹਨ, ਅਤੇ ਨਿਰਦੋਸ਼ ਦਾ ਲਹੂ ਵਹਾਉਣ ਵਿੱਚ ਕਾਹਲੀ ਕਰਦੇ ਹਨ। ਉਹਨਾਂ ਦੇ ਖ਼ਿਆਲ ਬਦੀ ਦੇ ਖ਼ਿਆਲ ਹਨ, ਵਿਰਾਨੀ ਅਤੇ ਬਰਬਾਦੀ ਉਹਨਾਂ ਦੇ ਰਸਤਿਆਂ ਵਿੱਚ ਹੈ।
[IRV | PA | OT | Isaiah | Chapter 59 | Verse 8] ਸ਼ਾਂਤੀ ਦਾ ਰਾਹ ਉਹ ਜਾਣਦੇ ਹੀ ਨਹੀਂ, ਉਹਨਾਂ ਦੇ ਮਾਰਗਾਂ ਵਿੱਚ ਇਨਸਾਫ਼ ਨਹੀਂ, ਉਹਨਾਂ ਦੇ ਪਹੇ ਟੇਢੇ ਹਨ, ਜੋ ਉਹਨਾਂ ਦੇ ਨਾਲ ਤੁਰਦਾ ਉਹ ਸ਼ਾਂਤੀ ਨਹੀਂ ਜਾਣਦਾ।
[IRV | PA | OT | Isaiah | Chapter 59 | Verse 9] ਇਸੇ ਕਾਰਨ ਨਿਆਂ ਸਾਡੇ ਕੋਲੋਂ ਦੂਰ ਹੈ, ਅਤੇ ਧਰਮ ਸਾਡੇ ਨੇੜੇ ਨਹੀਂ ਆਉਂਦਾ, ਅਸੀਂ ਚਾਨਣ ਨੂੰ ਉਡੀਕਦੇ ਹਾਂ ਅਤੇ ਵੇਖੋ, ਹਨ੍ਹੇਰਾ ਹੀ ਹਨ੍ਹੇਰਾ! ਅਤੇ ਉਜਾਲੇ ਨੂੰ ਪਰ ਅਸੀਂ ਘੁੱਪ ਹਨੇਰੇ ਵਿੱਚ ਚਲਦੇ ਹਾਂ।
[IRV | PA | OT | Isaiah | Chapter 59 | Verse 10] ਅਸੀਂ ਅੰਨ੍ਹਿਆਂ ਵਾਂਗੂੰ ਕੰਧ ਨੂੰ ਟੋਹੰਦੇ ਹਾਂ, ਅਤੇ ਉਨ੍ਹਾਂ ਵਾਂਗੂੰ ਜਿਨ੍ਹਾਂ ਦੀਆਂ ਅੱਖਾਂ ਨਹੀਂ ਅਸੀਂ ਆਪਣਾ ਰਾਹ ਭਾਲਦੇ ਹਾਂ, ਅਸੀਂ ਦੁਪਹਿਰ ਨੂੰ ਸ਼ਾਮ ਵਾਂਗੂੰ ਠੇਡਾ ਖਾਂਦੇ ਹਾਂ, ਬਲਵਾਨਾਂ ਦੇ ਵਿਚਕਾਰ ਅਸੀਂ ਮੁਰਦਿਆਂ ਵਾਂਗੂੰ ਹਾਂ।
[IRV | PA | OT | Isaiah | Chapter 59 | Verse 11] ਅਸੀਂ ਸਾਰੇ ਰਿੱਛਾਂ ਵਾਂਗੂੰ ਗੁਰਰਾਉਂਦੇ ਹਾਂ, ਅਸੀਂ ਘੁੱਗੀਆਂ ਵਾਂਗੂੰ ਹੂੰਗਦੇ ਰਹਿੰਦੇ ਹਾਂ, ਅਸੀਂ ਨਿਆਂ ਨੂੰ ਉਡੀਕਦੇ ਹਾਂ, ਪਰ ਉਹ ਹੈ ਹੀ ਨਹੀਂ, ਮੁਕਤੀ ਨੂੰ, ਪਰ ਉਹ ਸਾਡੇ ਕੋਲੋਂ ਦੂਰ ਹੈ।
