[IRV | PA | OT | Isaiah | Chapter 62 | Verse 1] ਸੀਯੋਨ ਦੇ ਨਮਿੱਤ ਮੈਂ ਚੁੱਪ ਨਹੀਂ ਰਹਾਂਗਾ, ਅਤੇ ਯਰੂਸ਼ਲਮ ਦੇ ਨਮਿੱਤ ਮੈਂ ਚੈਨ ਨਾ ਲਵਾਂਗਾ, ਜਦ ਤੱਕ ਉਸ ਦਾ ਧਰਮ ਉਜਾਲੇ ਵਾਂਗੂੰ, ਅਤੇ ਉਸ ਦੀ ਮੁਕਤੀ ਬਲਦੇ ਦੀਵੇ ਵਾਂਗੂੰ ਨਾ ਵਿਖਾਈ ਦੇਵੇ।
[IRV | PA | OT | Isaiah | Chapter 62 | Verse 2] ਕੌਮਾਂ ਤੇਰੇ ਧਰਮ ਨੂੰ ਅਤੇ ਸਾਰੇ ਰਾਜ ਤੇਰੀ ਸ਼ਾਨ ਨੂੰ ਵੇਖਣਗੇ, ਤੂੰ ਇੱਕ ਨਵੇਂ ਨਾਮ ਤੋਂ ਸੱਦੀ ਜਾਵੇਂਗੀ, ਜਿਹੜਾ ਯਹੋਵਾਹ ਦੇ ਮੂੰਹੋਂ ਨਿੱਕਲੇਗਾ।
[IRV | PA | OT | Isaiah | Chapter 62 | Verse 3] ਤੂੰ ਯਹੋਵਾਹ ਦੇ ਹੱਥ ਵਿੱਚ ਇੱਕ ਸੁਹੱਪਣ ਦਾ ਮੁਕਟ, ਅਤੇ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਹੱਥ ਵਿੱਚ ਇੱਕ ਸ਼ਾਹੀ ਤਾਜ ਹੋਵੇਂਗੀ।
[IRV | PA | OT | Isaiah | Chapter 62 | Verse 4] ਤੂੰ ਫੇਰ “ਛੱਡੀ ਹੋਈ” ਨਾ ਸਦਾਏਂਗੀ, ਨਾ ਤੇਰੀ ਧਰਤੀ ਫੇਰ “ਉਜਾੜ” ਅਖਵਾਏਗੀ, ਪਰ ਤੂੰ ਹੇਪਸੀਬਾ ਸੱਦੀ ਜਾਵੇਂਗੀ, ਅਰਥਾਤ “ਮੇਰੀ ਭਾਉਣੀ ਉਹ ਦੇ ਵਿੱਚ ਹੈ,” ਅਤੇ ਤੇਰੀ ਧਰਤੀ ਬਿਯੂਲਾਹ ਅਰਥਾਤ “ਸੁਹਾਗਣ” ਅਖਵਾਏਗੀ, ਕਿਉਂ ਜੋ ਯਹੋਵਾਹ ਤੇਰੇ ਤੋਂ ਪ੍ਰਸੰਨ ਹੈ, ਅਤੇ ਤੇਰੀ ਧਰਤੀ ਵਿਆਹੀ ਜਾਵੇਗੀ।
[IRV | PA | OT | Isaiah | Chapter 62 | Verse 5] ਜਿਵੇਂ ਜੁਆਨ ਕੁਆਰੀ ਨੂੰ ਵਿਆਹ ਲੈਂਦਾ ਹੈ, ਉਸੇ ਤਰ੍ਹਾਂ ਤੇਰੇ ਪੁੱਤਰ ਤੈਨੂੰ ਵਿਆਹ ਲੈਣਗੇ, ਅਤੇ ਜਿਵੇਂ ਲਾੜਾ ਆਪਣੀ ਲਾੜੀ ਉੱਤੇ ਅਨੰਦ ਹੁੰਦਾ ਹੈ, ਉਸੇ ਤਰ੍ਹਾਂ ਤੇਰਾ ਪਰਮੇਸ਼ੁਰ ਤੇਰੇ ਉੱਤੇ ਅਨੰਦ ਹੋਵੇਗਾ।
[IRV | PA | OT | Isaiah | Chapter 62 | Verse 6] ਹੇ ਯਰੂਸ਼ਲਮ, ਮੈਂ ਤੇਰੀਆਂ ਕੰਧਾਂ ਉੱਤੇ ਰਾਖੇ ਲਾਏ ਹਨ, ਸਾਰਾ ਦਿਨ ਅਤੇ ਸਾਰੀ ਰਾਤ ਉਹ ਕਦੀ ਚੁੱਪ ਨਾ ਰਹਿਣਗੇ, ਤੁਸੀਂ ਜਿਹੜੇ ਯਹੋਵਾਹ ਨੂੰ ਪੁਕਾਰਦੇ ਹੋ ਅਰਾਮ ਨਾ ਕਰੋ!
[IRV | PA | OT | Isaiah | Chapter 62 | Verse 7] ਅਤੇ ਉਹ ਨੂੰ ਅਰਾਮ ਨਾ ਕਰਨ ਦਿਓ, ਜਦ ਤੱਕ ਉਹ ਯਰੂਸ਼ਲਮ ਨੂੰ ਧਰਤੀ ਉੱਤੇ ਉਸਤਤ ਲਈ ਕਾਇਮ ਨਾ ਕਰੇ!
[IRV | PA | OT | Isaiah | Chapter 62 | Verse 8] ਯਹੋਵਾਹ ਨੇ ਆਪਣੇ ਸੱਜੇ ਹੱਥ ਨਾਲ, ਅਤੇ ਆਪਣੀ ਬਲਵੰਤ ਭੁਜਾ ਨਾਲ ਸਹੁੰ ਖਾਧੀ ਹੈ ਕਿ ਮੈਂ ਅੱਗੇ ਨੂੰ ਤੇਰਾ ਅੰਨ ਤੇਰੇ ਵੈਰੀਆਂ ਨੂੰ ਭੋਜਨ ਲਈ ਕਦੀ ਨਾ ਦੇਵਾਂਗਾ, ਅਤੇ ਓਪਰੇ ਤੇਰੀ ਨਵੀਂ ਮਧ ਨਾ ਪੀਣਗੇ, ਜਿਸ ਦੇ ਲਈ ਤੂੰ ਮਿਹਨਤ ਕੀਤੀ ਹੈ,
[IRV | PA | OT | Isaiah | Chapter 62 | Verse 9] ਪਰ ਉਹ ਦੇ ਸਾਂਭਣ ਵਾਲੇ ਉਹ ਨੂੰ ਖਾਣਗੇ, ਅਤੇ ਯਹੋਵਾਹ ਦੀ ਉਸਤਤ ਕਰਨਗੇ। ਉਹ ਦੇ ਇਕੱਠਾ ਕਰਨ ਵਾਲੇ ਉਹ ਨੂੰ ਮੇਰੇ ਪਵਿੱਤਰ ਅਸਥਾਨ ਦੇ ਵੇਹੜਿਆਂ ਵਿੱਚ ਪੀਣਗੇ।
[IRV | PA | OT | Isaiah | Chapter 62 | Verse 10] ਲੰਘ ਜਾਓ, ਫਾਟਕਾਂ ਦੇ ਵਿੱਚੋਂ ਦੀ ਲੰਘ ਜਾਓ! ਪਰਜਾ ਦੇ ਲਈ ਰਸਤਾ ਤਿਆਰ ਕਰੋ, ਭਰਤੀ ਪਾਓ, ਸ਼ਾਹੀ ਸੜਕ ਉੱਤੇ ਭਰਤੀ ਪਾਓ! ਪੱਥਰਾਂ ਨੂੰ ਕੱਢ ਸੁੱਟੋ, ਦੇਸ਼-ਦੇਸ਼ ਦੇ ਲੋਕਾਂ ਲਈ ਝੰਡਾ ਉੱਚਾ ਕਰੋ!
[IRV | PA | OT | Isaiah | Chapter 62 | Verse 11] ਵੇਖੋ, ਯਹੋਵਾਹ ਨੇ ਧਰਤੀ ਦੀ ਹੱਦ ਤੱਕ ਇਹ ਪਰਚਾਰ ਕੀਤਾ ਕਿ ਸੀਯੋਨ ਦੀ ਧੀ ਨੂੰ ਆਖੋ, ਵੇਖ, ਤੇਰਾ ਬਚਾਉਣ ਵਾਲਾ ਆਉਂਦਾ ਹੈ, ਵੇਖ, ਉਹ ਦਾ ਇਨਾਮ ਉਹ ਦੇ ਕੋਲ ਹੈ, ਅਤੇ ਉਹ ਦਾ ਬਦਲਾ ਉਹ ਦੇ ਅੱਗੇ ਹੈ।
[IRV | PA | OT | Isaiah | Chapter 62 | Verse 12] ਉਹ ਉਨ੍ਹਾਂ ਨੂੰ “ਪਵਿੱਤਰ ਪਰਜਾ,” “ਯਹੋਵਾਹ ਦੇ ਛੁਡਾਏ ਹੋਏ” ਆਖਣਗੇ, ਅਤੇ ਤੇਰਾ ਨਾਮ “ਲੱਭੀ ਹੋਈ” ਅਰਥਾਤ “ਨਾ ਤਿਆਗੀ ਹੋਈ ਨਗਰੀ” ਸੱਦਿਆ ਜਾਵੇਗਾ।
