[IRV | PA | OT | Isaiah | Chapter 57 | Verse 1] ਧਰਮੀ ਨਾਸ ਹੁੰਦਾ ਪਰ ਕੋਈ ਇਹ ਗੱਲ ਦਿਲ ਤੇ ਨਹੀਂ ਲਾਉਂਦਾ, ਭਗਤ ਲੋਕ ਲੈ ਲਏ ਜਾਂਦੇ ਹਨ ਪਰ ਕੋਈ ਸੋਚਦਾ ਨਹੀਂ ਕਿ ਧਰਮੀ ਇਸ ਲਈ ਲੈ ਲਿਆ ਜਾਂਦਾ ਹੈ ਕਿ ਆਉਣ ਵਾਲੀ ਬਿਪਤਾ ਤੋਂ ਬਚ ਸਕੇ।
[IRV | PA | OT | Isaiah | Chapter 57 | Verse 2] ਉਹ ਸ਼ਾਂਤੀ ਨਾਲ ਜਾਂਦੇ, ਉਹ ਆਪਣੇ ਬਿਸਤਰਿਆਂ ਉੱਤੇ ਅਰਾਮ ਕਰਦੇ ਹਨ, ਜਿਹੜੇ ਸਿੱਧੀ ਚਾਲ ਚੱਲਦੇ ਹਨ।
[IRV | PA | OT | Isaiah | Chapter 57 | Verse 3] ਪਰ ਤੁਸੀਂ ਐਥੇ ਨੇੜੇ ਆਓ, ਹੇ ਜਾਦੂਗਰਨੀ ਦੇ ਪੁੱਤਰੋ, ਵਿਭਚਾਰੀ ਅਤੇ ਵੇਸਵਾ ਦੀ ਵੰਸ਼!
[IRV | PA | OT | Isaiah | Chapter 57 | Verse 4] ਤੁਸੀਂ ਕਿਸ ਦੇ ਉੱਤੇ ਮਖ਼ੌਲ ਕਰਦੇ ਹੋ? ਕਿਸ ਦੇ ਉੱਤੇ ਮੂੰਹ ਅੱਡਦੇ ਅਤੇ ਜੀਭ ਕੱਢਦੇ ਹੋ? ਕੀ ਤੁਸੀਂ ਅਪਰਾਧ ਦੇ ਬੱਚੇ, ਅਤੇ ਧੋਖੇਬਾਜ਼ਾਂ ਦੀ ਵੰਸ਼ ਨਹੀਂ?
[IRV | PA | OT | Isaiah | Chapter 57 | Verse 5] ਤੁਸੀਂ ਜਿਹੜੇ ਬਲੂਤਾਂ ਵਿੱਚ, ਹਰੇਕ ਹਰੇ ਰੁੱਖ ਦੇ ਹੇਠ ਕਾਮ-ਵਾਸਨਾ ਵਿੱਚ ਸੜਦੇ ਹੋ ਅਤੇ ਘਾਟੀਆਂ ਵਿੱਚ ਪੱਥਰਾਂ ਦੀਆਂ ਦਰਾਰਾਂ ਹੇਠ ਬੱਚਿਆਂ ਨੂੰ ਵੱਢਦੇ ਹੋ!
[IRV | PA | OT | Isaiah | Chapter 57 | Verse 6] ਘਾਟੀ ਦੇ ਪੱਧਰੇ ਪੱਥਰ ਤੇਰੇ ਹਿੱਸੇ ਵਿੱਚ ਆਉਣਗੇ, ਇਹੋ ਤੇਰਾ ਭਾਗ ਹੈ! ਇਹਨਾਂ ਦੇ ਲਈ ਹੀ ਤੂੰ ਪੀਣ ਦੀ ਭੇਟ ਡੋਲ੍ਹੀ ਅਤੇ ਮੈਦੇ ਦੀ ਭੇਟ ਚੜ੍ਹਾਈ, ਕੀ ਇਹ ਸਭ ਵੇਖਦੇ ਹੋਏ ਵੀ ਮੈਂ ਸ਼ਾਂਤ ਰਹਾਂ?
[IRV | PA | OT | Isaiah | Chapter 57 | Verse 7] ਇੱਕ ਉੱਚੇ ਤੇ ਬੁਲੰਦ ਪਰਬਤ ਉੱਤੇ ਤੂੰ ਆਪਣਾ ਬਿਸਤਰ ਵਿਛਾਇਆ, ਉੱਥੇ ਤੂੰ ਬਲੀਆਂ ਚੜ੍ਹਾਉਣ ਲਈ ਚੜ੍ਹ ਵੀ ਗਈ।
[IRV | PA | OT | Isaiah | Chapter 57 | Verse 8] ਬੂਹਿਆਂ ਅਤੇ ਚੁਗਾਠਾਂ ਦੇ ਪਿੱਛੇ ਤੂੰ ਆਪਣੇ ਬੁੱਤਾਂ ਦੀ ਯਾਦਗਾਰੀ ਕਾਇਮ ਕੀਤੀ, ਤੂੰ ਤਾਂ ਮੈਨੂੰ ਛੱਡ ਕੇ ਨੰਗੀ ਹੋਈ, ਅਤੇ ਉਤਾਹਾਂ ਜਾ ਕੇ ਆਪਣਾ ਬਿਸਤਰਾ ਚੌੜਾ ਕੀਤਾ, ਤੂੰ ਉਹਨਾਂ ਨਾਲ ਆਪਣਾ ਨੇਮ ਬੰਨ੍ਹਿਆ, ਵੇਖਦਿਆਂ ਸਾਰ ਤੂੰ ਉਹਨਾਂ ਦੇ ਬਿਸਤਰੇ ਉੱਤੇ ਲੱਟੂ ਹੋ ਗਈ!
[IRV | PA | OT | Isaiah | Chapter 57 | Verse 9] ਤੂੰ ਤੇਲ ਲੈ ਕੇ ਮਲਕ ਦੇਵਤੇ ਕੋਲ ਗਈ, ਤੂੰ ਆਪਣੀਆਂ ਸੁਗੰਧਾਂ ਨੂੰ ਵਧਾਇਆ, ਤੂੰ ਆਪਣੇ ਵਿਚੋਲੇ ਦੂਰ-ਦੂਰ ਘੱਲੇ, ਤੂੰ ਆਪਣੇ ਆਪ ਨੂੰ ਪਤਾਲ ਤੱਕ ਨੀਵਾਂ ਕੀਤਾ!
[IRV | PA | OT | Isaiah | Chapter 57 | Verse 10] ਤੂੰ ਆਪਣੇ ਸਫ਼ਰਾਂ ਦੀ ਲੰਬਾਈ ਨਾਲ ਥੱਕ ਗਈ, ਪਰ ਤੂੰ ਨਾ ਆਖਿਆ, ਇਹ ਵਿਅਰਥ ਹੈ, ਤੇਰੀ ਜਾਨ ਵਿੱਚ ਜਾਨ ਆਈ, ਇਸ ਲਈ ਤੂੰ ਨਾ ਥੱਕੀ।
[IRV | PA | OT | Isaiah | Chapter 57 | Verse 11] ਤੂੰ ਕਿਸ ਤੋਂ ਐਨਾ ਸਹਿਮੀ ਅਤੇ ਡਰੀ ਕਿ ਤੂੰ ਝੂਠ ਬੋਲੀ ਅਤੇ ਮੈਨੂੰ ਯਾਦ ਨਾ ਕੀਤਾ, ਨਾ ਹੀ ਮੇਰੇ ਉੱਤੇ ਧਿਆਨ ਦਿੱਤਾ? ਕੀ ਮੈਂ ਬਹੁਤ ਸਮੇਂ ਤੱਕ ਚੁੱਪ ਨਾ ਰਿਹਾ? ਪਰ ਤੂੰ ਮੇਰੇ ਤੋਂ ਨਾ ਡਰੀ।
