[IRV | PA | OT | Isaiah | Chapter 49 | Verse 1] ਹੇ ਟਾਪੂਓ, ਮੇਰੀ ਸੁਣੋ, ਹੇ ਦੂਰ ਦੀਓ ਕੌਮੋਂ, ਕੰਨ ਲਾਓ! ਯਹੋਵਾਹ ਨੇ ਮੈਨੂੰ ਢਿੱਡੋਂ ਹੀ ਸੱਦ ਲਿਆ, ਮੇਰੀ ਮਾਂ ਦੀ ਕੁੱਖੋਂ ਉਸ ਨੇ ਮੇਰਾ ਨਾਮ ਲਿਆ।
[IRV | PA | OT | Isaiah | Chapter 49 | Verse 2] ਉਸ ਨੇ ਮੇਰੇ ਮੂੰਹ ਨੂੰ ਤਿੱਖੀ ਤਲਵਾਰ ਵਾਂਗੂੰ ਬਣਾਇਆ, ਉਸ ਨੇ ਆਪਣੇ ਹੱਥ ਦੇ ਸਾਯੇ ਵਿੱਚ ਮੈਨੂੰ ਲੁਕਾਇਆ, ਉਸ ਨੇ ਮੈਨੂੰ ਇੱਕ ਚਮਕੀਲਾ ਤੀਰ ਬਣਾਇਆ, ਅਤੇ ਮੈਨੂੰ ਆਪਣੀ ਤਰਕਸ਼ ਵਿੱਚ ਲੁਕਾਇਆ ਹੈ,
[IRV | PA | OT | Isaiah | Chapter 49 | Verse 3] ਉਸ ਨੇ ਮੈਨੂੰ ਆਖਿਆ, ਤੂੰ ਮੇਰਾ ਦਾਸ ਇਸਰਾਏਲ ਹੈ, ਜਿਸ ਦੇ ਵਿੱਚ ਮੈਂ ਆਪਣੀ ਸ਼ਾਨ ਵਿਖਾਵਾਂਗਾ।
[IRV | PA | OT | Isaiah | Chapter 49 | Verse 4] ਤਦ ਮੈਂ ਆਖਿਆ, ਮੈਂ ਵਿਅਰਥ ਹੀ ਮਿਹਨਤ ਕੀਤੀ, ਮੈਂ ਆਪਣਾ ਬਲ ਫੋਕਟ ਤੇ ਵਿਅਰਥ ਲਈ ਗੁਆ ਦਿੱਤਾ, ਸੱਚ-ਮੁੱਚ ਮੇਰਾ ਇਨਸਾਫ਼ ਯਹੋਵਾਹ ਕੋਲ, ਅਤੇ ਮੇਰਾ ਬਦਲਾ ਮੇਰੇ ਪਰਮੇਸ਼ੁਰ ਕੋਲ ਹੈ।
[IRV | PA | OT | Isaiah | Chapter 49 | Verse 5] ਹੁਣ ਯਹੋਵਾਹ ਇਹ ਆਖਦਾ ਹੈ, ਜਿਸ ਨੇ ਮੈਨੂੰ ਕੁੱਖੋਂ ਹੀ ਆਪਣਾ ਦਾਸ ਹੋਣ ਲਈ ਸਿਰਜਿਆ ਤਾਂ ਜੋ ਮੈਂ ਯਾਕੂਬ ਨੂੰ ਉਹ ਦੇ ਕੋਲ ਮੋੜ ਲਿਆਵਾਂ, ਅਤੇ ਇਸਰਾਏਲ ਉਹ ਦੇ ਕੋਲ ਇਕੱਠਾ ਕੀਤਾ ਜਾਵੇ, ਮੈਂ ਯਹੋਵਾਹ ਦੀ ਨਿਗਾਹ ਵਿੱਚ ਆਦਰ ਪਾਉਂਦਾ ਹਾਂ, ਅਤੇ ਮੇਰਾ ਪਰਮੇਸ਼ੁਰ ਮੇਰਾ ਬਲ ਹੈ, -
[IRV | PA | OT | Isaiah | Chapter 49 | Verse 6] ਹਾਂ, ਉਹ ਆਖਦਾ ਹੈ, ਕੀ ਇਹ ਛੋਟੀ ਗੱਲ ਹੈ, ਕਿ ਤੂੰ ਯਾਕੂਬ ਦਿਆਂ ਗੋਤਾਂ ਨੂੰ ਉਠਾਉਣ ਲਈ ਅਤੇ ਇਸਰਾਏਲ ਦੇ ਬਚਿਆਂ ਹੋਇਆਂ ਨੂੰ ਮੋੜਨ ਲਈ ਮੇਰਾ ਦਾਸ ਹੋਵੇਂ, ਸਗੋਂ ਮੈਂ ਤੈਨੂੰ ਕੌਮਾਂ ਲਈ ਜੋਤ ਠਹਿਰਾਵਾਂਗਾ, ਤਾਂ ਜੋ ਮੇਰੀ ਮੁਕਤੀ ਧਰਤੀ ਦੀਆਂ ਹੱਦਾਂ ਤੱਕ ਪਹੁੰਚੇ।
[IRV | PA | OT | Isaiah | Chapter 49 | Verse 7] ਯਹੋਵਾਹ ਇਸਰਾਏਲ ਦਾ ਛੁਟਕਾਰਾ ਦੇਣ ਵਾਲਾ ਅਤੇ ਉਹ ਦਾ ਪਵਿੱਤਰ ਪੁਰਖ, ਉਸ ਨੂੰ ਜਿਸ ਨੂੰ ਤੁੱਛ ਜਾਣਿਆ ਜਾਂਦਾ ਹੈ, ਜਿਹੜਾ ਕੌਮਾਂ ਲਈ ਘਿਣਾਉਣਾ ਹੈ ਅਤੇ ਉਸ ਹਾਕਮਾਂ ਦੇ ਦਾਸ ਨੂੰ ਇਹ ਆਖਦਾ ਹੈ, - ਰਾਜੇ ਤੈਨੂੰ ਵੇਖਣਗੇ ਤੇ ਉੱਠਣਗੇ, ਹਾਕਮ ਵੀ ਅਤੇ ਉਹ ਮੱਥਾ ਟੇਕਣਗੇ, ਇਹ ਯਹੋਵਾਹ ਦੇ ਕਾਰਨ ਹੋਵੇਗਾ ਜੋ ਵਫ਼ਾਦਾਰ ਹੈ, ਇਸਰਾਏਲ ਦੇ ਪਵਿੱਤਰ ਪੁਰਖ ਦੇ ਕਾਰਨ ਜਿਸ ਨੇ ਤੈਨੂੰ ਚੁਣਿਆ ਹੈ।
[IRV | PA | OT | Isaiah | Chapter 49 | Verse 8] ਯਹੋਵਾਹ ਇਹ ਆਖਦਾ ਹੈ, ਮੈਂ ਮਨਭਾਉਂਦੇ ਸਮੇਂ ਤੇਰੀ ਸੁਣ ਲਈ, ਮੈਂ ਮੁਕਤੀ ਦੇ ਦਿਨ ਤੇਰੀ ਸਹਾਇਤਾ ਕੀਤੀ, ਅਤੇ ਮੈਂ ਤੇਰੀ ਰੱਖਿਆ ਕਰਾਂਗਾ ਅਤੇ ਤੈਨੂੰ ਪਰਜਾ ਦੇ ਨੇਮ ਲਈ ਦਿਆਂਗਾ, ਤਾਂ ਜੋ ਤੂੰ ਦੇਸ ਨੂੰ ਬਹਾਲ ਕਰੇਂ, ਵਿਰਾਨ ਵਿਰਾਸਤਾਂ ਨੂੰ ਵੰਡੇਂ,
[IRV | PA | OT | Isaiah | Chapter 49 | Verse 9] ਗੁਲਾਮਾਂ ਨੂੰ ਇਹ ਆਖੇਂ ਕਿ ਨਿੱਕਲ ਜਾਓ! ਅਤੇ ਉਹਨਾਂ ਨੂੰ ਜੋ ਹਨੇਰੇ ਵਿੱਚ ਹਨ, ਆਪਣੇ ਆਪ ਨੂੰ ਵਿਖਲਾਓ। ਉਹ ਰਾਹਾਂ ਦੇ ਨਾਲ-ਨਾਲ ਚਰਨਗੇ, ਅਤੇ ਸਾਰੀਆਂ ਨੰਗੀਆਂ ਟੀਸੀਆਂ ਉੱਤੇ ਉਹਨਾਂ ਦੀਆਂ ਜੂਹਾਂ ਹੋਣਗੀਆਂ।
[IRV | PA | OT | Isaiah | Chapter 49 | Verse 10] ਉਹ ਨਾ ਭੁੱਖੇ ਹੋਣਗੇ, ਨਾ ਤਿਹਾਏ ਹੋਣਗੇ, ਨਾ ਲੂ, ਨਾ ਧੁੱਪ ਉਹਨਾਂ ਨੂੰ ਮਾਰੇਗੀ, ਕਿਉਂ ਜੋ ਉਹਨਾਂ ਉੱਤੇ ਦਯਾ ਕਰਨ ਵਾਲਾ ਉਹਨਾਂ ਦੀ ਅਗਵਾਈ ਕਰੇਗਾ, ਅਤੇ ਪਾਣੀ ਦੇ ਸੋਤਿਆਂ ਕੋਲ ਉਹਨਾਂ ਨੂੰ ਲੈ ਜਾਵੇਗਾ।
[IRV | PA | OT | Isaiah | Chapter 49 | Verse 11] ਮੈਂ ਆਪਣੇ ਸਾਰੇ ਪਰਬਤਾਂ ਨੂੰ ਰਾਹ ਬਣਾਵਾਂਗਾ, ਅਤੇ ਮੇਰੀਆਂ ਸੜਕਾਂ ਉੱਚੀਆਂ ਕੀਤੀਆਂ ਜਾਣਗੀਆਂ।
