[IRV | TE | NT | Romans | Chapter 14 | Verse 1] విశ్వాసం విషయంలో బలహీనంగా ఉన్న వారిని చేరదీయండి గానీ వారి అనుమానాలు తీర్చడానికి వాదాలు పెట్టుకోవద్దు.
[IRV | TE | NT | Romans | Chapter 14 | Verse 2] ఆహార పదార్ధాలు అన్నీ తినవచ్చని ఒకడు నమ్ముతుంటే, ఇంకొకడు నమ్మకం లేక కూరగాయలే తింటున్నాడు.
[IRV | TE | NT | Romans | Chapter 14 | Verse 3] తినేవాడు తినని వాణ్ణి తక్కువగా చూడకూడదు. తినని వాడు తినేవాడిపై నిందారోపణ చేయకూడదు. ఎందుకంటే దేవుడు అతణ్ణి అంగీకరించాడు.
[IRV | TE | NT | Romans | Chapter 14 | Verse 4] వేరొకరి సేవకుని విషయంలో న్యాయం చెప్పడానికి నువ్వెవరివి? అతడు నిలబడినా, పడిపోయినా అది అతని యజమాని బాధ్యత. కాని అతడు నిలబడతాడు. ప్రభువు అతణ్ణి నిలబెట్టడానికి శక్తి గలవాడు.
[IRV | TE | NT | Romans | Chapter 14 | Verse 5] ఇంకొక చోట ఒకడు ఒక రోజు కంటే మరొక రోజు మంచిదని నమ్ముతున్నాడు. ఇంకొకడు రోజులన్నీ మంచివే అని నమ్ముతున్నాడు. ప్రతివాడూ తనకు తాను ఒక నిర్ణయానికి రావాలి.
[IRV | TE | NT | Romans | Chapter 14 | Verse 6] ప్రత్యేకమైన రోజులను పాటించేవాడు ప్రభువు కోసమే ఆ పని చేస్తున్నాడు. తినేవాడు దేవునికి కృతజ్ఞతలు చెల్లిస్తున్నాడు కాబట్టి ప్రభువు కోసమే తింటున్నాడు. అలాగే తిననివాడు కూడా దేవునికి కృతజ్ఞతలు చెప్పి ప్రభువు కోసమే తినడం మానేస్తున్నాడు.
[IRV | TE | NT | Romans | Chapter 14 | Verse 7] మనలో ఎవరూ తన కోసమే బతకడు, తన కోసమే చనిపోడు.
[IRV | TE | NT | Romans | Chapter 14 | Verse 8] మనం జీవించినా ప్రభువు కోసమే, చనిపోయినా ప్రభువు కోసమే. కాబట్టి మనం జీవించినా, చనిపోయినా ప్రభువుకే చెంది ఉన్నాం.
[IRV | TE | NT | Romans | Chapter 14 | Verse 9] చనిపోయిన వారికీ సజీవులకూ ప్రభువుగా ఉండటానికే గదా క్రీస్తు చనిపోయి మళ్ళీ బతికింది?
[IRV | TE | NT | Romans | Chapter 14 | Verse 10] అయితే నీ సోదరునికి ఎందుకు తీర్పు తీరుస్తున్నావ్? నీ సోదరుణ్ణి ఎందుకు తీసిపారేస్తున్నావ్? మనమంతా దేవుని న్యాయపీఠం ఎదుట నిలబడతాం.
[IRV | TE | NT | Romans | Chapter 14 | Verse 11] “నిశ్చయంగా జీవిస్తున్న నేను చెప్పే దేమిటంటే, ప్రతి మోకాలు నా ఎదుట వంగుతుంది. ప్రతి నాలుకా దేవుని స్తుతిస్తుంది అని ప్రభువు చెబుతున్నాడు” అని రాసి ఉంది.
