[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 1] Now after a very little time, Lysias, the king’s guardian, kinsman, and chancellor, being very displeased about the things that had happened,
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 2] collected about eighty thousand infantry and all his cavalry and came against the Jews, planing to make the city a home for Greeks,
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 3] and to levy tribute on the temple, as on the other sacred places of the nations, and to put up the high priesthood for sale every year.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 4] He took no account of God’s power, but was puffed up with his ten thousands of infantry, his thousands of cavalry, and his eighty elephants.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 5] Coming into Judea and approaching Bethsuron, which was a strong place and about five stadia away from Jerusalem, he pressed it hard.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 6] When Maccabaeus and his men learned that he was besieging the strongholds, they and all the people with lamentations and tears made supplication to the Lord to send a good angel to save Israel.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 7] Maccabaeus himself took up weapons first, and exhorted the others to put themselves in jeopardy together with him and help their kindred; and they went out with him very willingly.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 8] As they were there, close to Jerusalem, a horseman appeared at their head in white apparel, brandishing weapons of gold.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 9] They all together praised the merciful God, and were yet more strengthened in heart, being ready to assail not only men but the wildest animals and walls of iron,
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 10] they advanced in array, having him who is in heaven to fight on their side, for the Lord had mercy on them.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 11] Hurling themselves like lions against the enemy, they killed eleven thousand infantry and one thousand six hundred cavalry, and forced all the rest to flee.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 12] Most of them escaped wounded and naked. Lysias himself also escaped by shameful flight.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 13] But as he was a man not void of understanding, pondering the defeat which had befallen him, and considering that the Hebrews could not be overcome because the Almighty God fought on their side, he sent again
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 14] and persuaded them to come to terms on condition that all their rights were acknowledged, and promised that he would also persuade the king to become their friend.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 15] Maccabaeus gave consent upon all the conditions which Lysias proposed to him, being careful of the common good; for whatever requests Maccabaeus delivered in writing to Lysias concerning the Jews the king allowed.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 16] The letter written to the Jews from Lysias was to this effect: “Lysias to the people of the Jews, greetings.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 17] John and Absalom, who were sent from you, having delivered the document written below, made request concerning the things written therein.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 18] Whatever things therefore needed to be brought before the king I declared to him, and what things were possible he allowed.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 19] If then you will all preserve your good will toward the government, I will also endeavor in the future to contribute to your good.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 20] Concerning this, I have given order in detail, both to these men and to those who are sent from me, to confer with you.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 21] Farewell. Written in the one hundred forty-eighth year, on the twenty-fourth day of the month Dioscorinthius.”
