[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 1] In the one hundred forty-ninth year, news was brought to Judas and his company that Antiochus Eupator was coming with multitudes against Judea,
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 2] and with him Lysias his guardian and chancellor, each having a Greek force of one hundred ten thousand infantry, five thousand three hundred cavalry, twenty-two elephants, and three hundred chariots armed with scythes.
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 3] And Menelaus also joined himself with them, and with great hypocrisy encouraged Antiochus, not for the saving of his country, but because he thought that he would be set over the government.
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 4] But the King of kings stirred up the anger of Antiochus against the wicked wretch. When Lysias informed him that this man was the cause of all the evils, the king commanded to bring him to Beroea, and to put him to death in the way customary in that place.
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 5] Now there is in that place a tower that is fifty cubits high, full of ashes, and it had all around it a circular rim sloping steeply on every side into the ashes.
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 6] Here one who is guilty of sacrilege or notorious for other crimes is pushed down to destruction.
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 7] By such a fate it happened that the breaker of the law, Menelaus, died, without obtaining so much as a grave in the earth, and that justly;
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 8] for inasmuch as he had perpetrated many sins against the altar, whose fire and whose ashes were holy, he received his death in ashes.
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 9] Now the king, infuriated in spirit, was coming with intent to inflict on the Jews the very worst of the sufferings that had been done in his father’s time.
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 10] But when Judas heard of these things, he commanded the multitude to call upon the Lord day and night, if ever at any other time, so now to help those who were at the point of being deprived of the law, their country, and the holy temple,
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 11] and not to allow the people who had just begun to be revived to fall into the hands of those profane heathen.
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 12] So when they had all done the same thing together, begging the merciful Lord with weeping and fastings and prostration for three days without ceasing, Judas exhorted them and commanded they should join him.
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 13] Having consulted privately with the elders, he resolved that before the king’s army entered into Judea and made themselves masters of the city, they should go out and decide the matter by the help of God.
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 14] And committing the decision to the Lord of the world, and exhorting those who were with him to contend nobly even to death for laws, temple, city, country, and way of life, he pitched his camp by Modin.
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 15] He gave out to his men the watchword, “VICTORY IS GOD’S”, with a chosen force of the bravest young men he attacked by the king’s pavilion by night, and killed of his army as many as two thousand men, and brought down the leading elephant with him who was in the tower on him.
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 16] At last they filled the army with terror and alarm, and departed with good success.
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 17] This had been accomplished when the day was just dawning, because of the Lord’s protection that gave Judas help.
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 18] But the king, having had a taste of the exceeding boldness of the Jews, made strategic attacks on their positions,
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 19] and on a strong fortress of the Jews at Bethsura. He advanced, was turned back, failed, and was defeated.
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 20] Judas sent the things that were necessary to those who were within.
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 21] But Rhodocus, from the Jewish ranks, made secrets known to the enemy. He was sought out, arrested, and shut up in prison.
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 22] The king negotiated with them in Bethsura the second time, gave his hand, took theirs, departed, attacked the forces of Judas, was put to the worse,
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 23] heard that Philip who had been left as chancellor in Antioch had become reckless, was confounded, made to the Jews an overture of peace, submitted himself and swore to acknowledge all their rights, came to terms with them and offered sacrifice, honored the sanctuary and the place,
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 24] showed kindness and graciously received Maccabaeus, left Hegemonides governor from Ptolemais even to the Gerrenians,
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 25] and came to Ptolemais. The men of Ptolemais were displeased at the treaty, for they had exceedingly great indignation against the Jews. They desired to annul the articles of the agreement.
[WEB | EN | OT | 2 Maccabees | Chapter 13 | Verse 26] Lysias came forward to speak, made the best defense that was possible, persuaded, pacified, gained their good will, and departed to Antioch. This was the issue of the attack and departure of the king.
