[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 1] Καὶ εἶπεν Ἠλιοὺ ὁ προφήτης Θεσβίτης ὁ ἐκ Θεσβῶν τῆς Γαλαὰδ πρὸς Ἀχαὰβ, ζῇ Κύριος ὁ Θεὸς τῶν δυνάμεων ὁ Θεὸς Ἰσραὴλ, ᾧ παρέστην ἐνώπιον αὐτοῦ, εἰ ἔσται τὰ ἔτη ταῦτα δρόσος καὶ ὑετὸς, ὅτι εἰ μὴ διὰ στόματος λόγου μου.
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 2] Καὶ ἐγένετο ῥῆμα Κυρίου πρὸς Ἠλιοὺ,
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 3] πορεύου ἐντεῦθεν κατὰ ἀνατολὰς, καὶ κρύβηθι ἐν τῷ χειμάῤῥῳ Χοῤῥαθ τοῦ ἐπὶ προσώπου τοῦ Ἰορδάνου.
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 4] Καὶ ἔσται ἐκ τοῦ χειμάῤῥου πίεσαι ὕδωρ, καὶ τοῖς κόραξιν ἐντελοῦμαι διατρέφειν σε ἐκεῖ.
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 5] Καὶ ἐποίησεν Ἠλιοὺ κατὰ τὸ ῥῆμα Κυρίου, καὶ ἐκάθισεν ἐν τῷ χειμάῤῥῳ Χοῤῥὰθ ἐπὶ προσώπου τοῦ Ἰορδάνου.
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 6] Καὶ οἱ κόρακες ἔφερον αὐτῷ ἄρτους τοπρωῒ, καὶ κρέα τοδείλης, καὶ ἐκ τοῦ χειμάῤῥου ἔπινεν ὕδωρ.
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 7] Καὶ ἐγένετο μεθʼ ἡμέρας, καὶ ἐξηράνθη ὁ χειμάῤῥους, ὅτι οὐκ ἐγένετο ὑετὸς ἐπὶ τῆς γῆς.
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 8] Καὶ ἐγένετο ῥῆμα Κυρίου πρὸς Ἠλιοὺ,
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 9] ἀνάστηθι, καὶ πορεύου εἰς Σαρεπτὰ τῆς Σιδωνίας· ἰδοὺ ἐντέταλμαι ἐκεῖ γυναικὶ χήρᾳ τοῦ διατρέφειν σε.
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 10] Καὶ ἀνέστη καὶ ἐπορεύθη εἰς Σαρεπτὰ, καὶ ἦλθεν εἰς τὸν πυλῶνα τῆς πόλεως· καὶ ἰδοὺ ἐκεῖ γυνὴ χήρα συνέλεγε ξύλα· καὶ ἐβόησεν ὀπίσω αὐτῆς Ἠλιοὺ, καὶ εἶπεν αὐτῇ, λάβε δή μοι ὀλίγον ὕδωρ εἰς ἄγγος, καὶ πίομαι.
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 11] Καὶ ἐπορεύθη λαβεῖν, καὶ ἐβόησεν ὀπίσω αὐτῆς Ἠλιοὺ, καὶ εἶπε, λήψῃ δή μοι ψωμὸν ἄρτου τοῦ ἐν τῇ χειρί σου.
