[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 1] Καὶ ἀμπελὼν εἷς ἦν τῷ Ναβουθαὶ τῷ Ἰεζραηλίτῃ παρὰ τῇ ἅλῳ Ἀχαὰβ βασιλέως Σαμαρείας.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 2] Καὶ ἐλάλησεν Ἀχαὰβ πρὸς Ναβουθαὶ, λέγων, δός μοι τὸν ἀμπελῶνά σου, καὶ ἔσται μοι εἰς κῆπον λαχάνων, ὅτι ἐγγίζων οὗτος τῷ οἴκῳ μου, καὶ δώσω σοι ἀμπελῶνα ἄλλον ἀγαθὸν ὑπὲρ αὐτόν· εἰ δὲ ἀρέσκει ἐνώπιόν σου, δώσω σοι ἀργύριον ἄλλαγμα ἀμπελῶνός σου τούτου, καὶ ἔσται μοι εἰς κῆπον λαχάνων.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 3] Καὶ εἶπε Ναβουθαὶ πρὸς Ἀχαάβ, μὴ γένοιτό μοι παρὰ Θεοῦ μου δοῦναι κληρονομίαν πατέρων μου σοί.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 4] Καὶ ἐγένετο τὸ πνεῦμα Ἀχαὰβ τεταραγμένον, καὶ ἐκοιμήθη ἐπὶ τῆς κλίυης αὐτοῦ, καὶ συνεκάλυψε τὸ πρόσωπον αὐτοῦ, καὶ οὐκ ἔφαγεν ἄρτον.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 5] Καὶ εἰσῆλθεν Ἰεζάβελ ἡ γυνὴ αὐτοῦ πρὸς αὐτὸν, καὶ ἐλάλησε πρὸς αὐτὸν, τί τὸ πνεῦμά σου τεταραγμένον, καὶ οὐκ εἶ σὺ ἐσθίων ἄρτον;
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 6] Καὶ εἶπε πρὸς αὐτὴν, ὅτι ἐλάλησα πρὸς Ναβουθαὶ τὸν Ἰεζραηλίτην, λέγων, δός μοι τὸν ἀμπελῶνά σου ἀργυρίου· εἰ δὲ βούλῃ, δώσω σοι ἀμπελῶνα ἄλλον ἀντʼ αὐτοῦ· καὶ εἶπεν οὐ δώσω σοι κληρονομίαν πατέρων μου.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 7] Καὶ εἶπε πρὸς αὐτὸν Ἰεζάβελ ἡ γυνὴ αὐτοῦ, σὺ νῦν οὕτω ποιεῖς βασιλέα ἐπὶ Ἰσραήλ; ἀνάστηθι καὶ φάγε ἄρτον καὶ σαυτοῦ γενοῦ, ἐγὼ δὲ δώσω σοι τὸν ἀμπελῶνα Ναβουθαὶ τοῦ Ἰεζραηλίτου.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 8] Καὶ ἔγραψε βιβλίον ἐπὶ τῷ ὀνόματι Ἀχαὰβ, καὶ ἐσφραγίσατο τῇ σφραγίδι αὐτοῦ· καὶ ἀπέστειλε τὸ βιβλίον πρὸς τοὺς πρεσβυτέρους καὶ τοὺς ἐλευθέρους τοὺς κατοικοῦντας μετὰ Ναβουθαί.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 9] Καὶ ἐγέγραπτο ἐν τοῖς βιβλίοις, λέγων, νηστεύσατε νηστείαν, καὶ καθίσατε τὸν Ναβουθαὶ ἐν ἀρχῇ τοῦ λαοῦ·
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 10] Καὶ ἐγκαθίσατε δύο ἄνδρας υἱοὺς παρανόμων ἐξεναντίας αὐτοῦ, καὶ καταμαρτυρησάτωσαν αὐτοῦ, λέγοντες, εὐλόγησε Θεὸν καὶ βασιλέα· καὶ ἐξαγαγέτωσαν αὐτὸν, καὶ λιθοβολησάτωσαν αὐτὸν, καὶ ἀποθανέτω.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 11] Καὶ ἐποίησαν οἱ ἄνδρες τῆς πόλεως αὐτοῦ οἱ πρεσβύτεροι καὶ οἱ ἐλεύθεροι οἱ κατοικοῦντες ἐν τῇ πόλει αὐτοῦ, καθὼς ἀπέστειλε πρὸς αὐτοὺς Ἰεζάβελ, καὶ καθὰ ἐγέγραπτο ἐν τοῖς βιβλίοις οἷς ἀπέστειλε πρὸς αὐτούς.
