[LXX | EL | OT | 1 Kings | Chapter 11 | Verse 1] Καὶ ὁ βασιλεὺς Σαλωμὼν ἦν φιλογύνης. Καὶ ἦσαν αὐτῷ γυναῖκες ἄρχουσαι ἑπτακόσιαι, καὶ παλλακαὶ τριακόσιαι. Καὶ ἔλαβε γυναῖκας ἀλλοτρίας, καὶ τὴν θυγατέρα Φαραὼ, Μωαβίτιδας, Ἀμμανίτιδας, Σύρας, καὶ Ἰδουμαίας, Χετταίας, καὶ Ἀμοῤῥαίας,
[LXX | EL | OT | 1 Kings | Chapter 11 | Verse 2] ἐκ τῶν ἐθνῶν ὧν ἀπεῖπε Κύριος τοῖς υἱοῖς Ἰσραὴλ, οὐκ εἰσελεύσεσθε εἰς αὐτοὺς, καὶ αὐτοὶ οὐκ εἰσελεύσονται εἰς ὑμᾶς, μὴ ἐκκλίνωσι τὰς καρδίας ὑμῶν ὀπίσω εἰδώλων αὐτῶν· εἰς αὐτοὺς ἐκολλήθη Σαλωμὼν τοῦ ἀγαπῆσαι.
[LXX | EL | OT | 1 Kings | Chapter 11 | Verse 4] Καὶ ἐγενήθη ἐν καιρῷ γήρους Σαλωμὼν, καὶ οὖκ ἦν ἡ καρδία αὐτοῦ τελεία μετὰ Κυρίου Θεοῦ αὐτοῦ, καθὼς ἡ καρδία Δαυὶδ τοῦ πατρὸς αὐτοῦ. Καὶ ἐξέκλιναν γυναῖκες αἱ ἀλλότριαι τὴν καρδίαν αὐτοῦ ὀπίσω θεῶν αὐτῶν.
[LXX | EL | OT | 1 Kings | Chapter 11 | Verse 5] Τότε ᾠκοδόμησε Σαλωμὼν ὑψηλὸν τῷ Χαμὼς εἰδώλῳ Μωὰβ, καὶ τῷ βασιλεῖ αὐτῶν εἰδώλῳ υἱῶν Ἀμμὼν,
[LXX | EL | OT | 1 Kings | Chapter 11 | Verse 6] καὶ τῇ Ἀστάρτῃ βδελύγματι Σιδωνίων.
[LXX | EL | OT | 1 Kings | Chapter 11 | Verse 7] Καὶ οὕτως ἐποίησε πάσαις ταῖς γυναιξὶν αὐτοῦ ταῖς ἀλλοτρίαις, αἳ ἐθυμίων καὶ ἔθυον τοῖς εἰδώλοις αὐτῶν,
[LXX | EL | OT | 1 Kings | Chapter 11 | Verse 8] καὶ ἐποίησε Σαλωμὼν τὸ πονηρὸν ἐνώπιον Κυρίου· οὐκ ἐπορεύθη ὀπίσω Κυρίου, ὡς Δαυὶδ ὁ πατὴρ αὐτοῦ.
[LXX | EL | OT | 1 Kings | Chapter 11 | Verse 9] Καὶ ὠργίσθη Κύριος ἐπὶ Σαλωμὼν, ὅτι ἐξέκλινε καρδίαν αὐτοῦ ἀπὸ Κυρίου Θεοῦ Ἰσραὴλ, τοῦ ὀφθέντος αὐτῷ δὶς,
[LXX | EL | OT | 1 Kings | Chapter 11 | Verse 10] καὶ ἐντειλαμένου αὐτῷ ὑπὲρ τοῦ λόγου τούτου, τὸ παράπαν μὴ πορευθῆναι ὀπίσω θεῶν ἑτέρων, καὶ φυλάξασθαι ποιῆσαι ἃ ἐνετείλατο αὐτῷ Κύριος ὁ Θεός· οὐδʼ ἦν ἡ καρδία αὐτοῦ τελεία μετὰ Κυρίου, κατὰ τὴν καρδίαν Δαυὶδ τοῦ πατρὸς αὐτοῦ.
[LXX | EL | OT | 1 Kings | Chapter 11 | Verse 11] Καὶ εἶπε Κύριος πρὸς Σαλωμὼν, ἀνθʼ ὧν ἐγένετο ταῦτα μετὰ σοῦ, καὶ οὐκ ἐφύλαξας τὰς ἐντολάς μου καὶ τὰ προστάγματά μου ἃ ἐνετειλάμην σοι, διαῤῥήσσων διαῤῥήξω τὴν βασιλείαν σου ἐκ χειρός σου, καὶ δώσω αὐτὴν τῷ δούλῳ σου.
[LXX | EL | OT | 1 Kings | Chapter 11 | Verse 12] Πλὴν ἐν ταῖς ἡμέραις σου οὐ ποιήσω αὐτὰ διὰ Δαυὶδ τὸν πατέρα σου· ἐκ χειρὸς υἱοῦ σου λήψομαι αὐτήν.
