[LXX | EL | OT | 1 Kings | Chapter 21 | Verse 1] Καὶ συνήθροισεν υἱὸς Ἄδερ πᾶσαν τὴν δύναμιν αὐτοῦ, καὶ ἀνέβη καὶ περιεκάθισεν ἐπὶ Σαμάρειαν, καὶ τριακονταδύο βασιλεῖς μετʼ αὐτοῦ, καὶ πᾶς ἵππος καὶ ἅρμα· καὶ ἀνέβησαν καὶ περιεκάθισαν ἐπὶ Σαμάρειαν, καὶ ἐπολέμησαν ἐπʼ αὐτήν.
[LXX | EL | OT | 1 Kings | Chapter 21 | Verse 2] Καὶ ἀπέστειλε πρὸς Ἀχαὰβ βασιλέα Ἰσραὴλ εἰς τὴν πόλιν, καὶ εἶπε πρὸς αὐτὸν, τάδε λέγει υἱὸς Ἄδερ,
[LXX | EL | OT | 1 Kings | Chapter 21 | Verse 3] τὸ ἀργύριόν σου καὶ τὸ χρυσίον σου ἐμόν ἐστι, καὶ αἱ γυναῖκές σου καὶ τὰ τέκνα σου ἐμά ἐστι.
[LXX | EL | OT | 1 Kings | Chapter 21 | Verse 4] Καὶ ἀπεκρίθη βασιλεὺς Ἰσραὴλ, καὶ εἶπε, καθὼς ἐλάλησας κύριέ μου βασιλεῦ, σὸς ἐγώ εἰμι καὶ πάντα τὰ ἐμά.
[LXX | EL | OT | 1 Kings | Chapter 21 | Verse 5] Καὶ ἀνέστρεψαν οἱ ἄγγελοι, καὶ εἶπαν, τάδε λέγει ὁ υἱὸς Ἄδερ, ἐγὼ ἀπέστειλα πρὸς σὲ, λέγων, τὸ ἀργύριόν σου καὶ τὸ χρυσίον σου καὶ τὰς γυναῖκας καὶ τὰ τέκνα σου δώσεις ἐμοὶ,
[LXX | EL | OT | 1 Kings | Chapter 21 | Verse 6] ὅτι ταύτην τὴν ὥραν αὔριον ἀποστελῶ τοὺς παῖδάς μου πρὸς σὲ, καὶ ἐρευνήσουσι τὸν οἶκόν σου καὶ τοὺς οἴκους τῶν παίδων σου, καὶ ἔσται πάντα τὰ ἐπιθυμήματα τῶν ὀφθαλμῶν αὐτῶν ἐφʼ ἃ ἂν ἐπιβάλωσι τὰς χεῖρας αὐτῶν, καὶ λήψονται.
[LXX | EL | OT | 1 Kings | Chapter 21 | Verse 7] Καὶ ἐκάλεσεν ὁ βασιλεὺς Ἰσραὴλ πάντας τοὺς πρεσβυτέρους τῆς γῆς, καὶ εἶπε, γνῶτε δὴ καὶ ἴδετε ὅτι κακίαν οὗτος ζητεῖ, ὅτι ἀπέσταλκε πρὸς μὲ περὶ τῶν γυναικῶν μου, καὶ περὶ τῶν υἱῶν μου, καὶ περὶ τῶν θυγατέρων μου· τὸ ἀργύριόν μου καὶ τὸ χρυσίον μου οὐκ ἀπεκώλυσα ἀπʼ αὐτοῦ.
[LXX | EL | OT | 1 Kings | Chapter 21 | Verse 8] Καὶ εἶπαν αὐτῷ οἱ πρεσβύτεροι καὶ πᾶς ὁ λαὸς, μὴ ἀκούσῃς, καὶ μὴ θελήσῃς.
[LXX | EL | OT | 1 Kings | Chapter 21 | Verse 9] Καὶ εἶπε τοῖς ἀγγέλοις υἱοῦ Ἄδερ, λέγετε τῷ κυρίῳ ὑμῶν, πάντα ὅσα ἀπέσταλκας πρὸς τὸν δοῦλόν σου ἐν πρώτοις ποιήσω, τὸ δὲ ῥῆμα τοῦτο οὐ δυνήσομαι ποιῆσαι· καὶ ἀπῇραν οἱ ἄνδρες, καὶ ἐπέστρεψαν αὐτῷ λόγον.
[LXX | EL | OT | 1 Kings | Chapter 21 | Verse 10] Καὶ ἀπέστειλε πρὸς αὐτὸν υἱὸς Ἄδερ, λέγων, τάδε ποιήσαι μοι ὁ Θεὸς καὶ τάδε προσθείη, εἰ ἐκποιήσει ὁ χοῦς Σαμαρείας ταῖς ἀλώπεξι παντὶ τῷ λαῷ τοῖς πεζοῖς μου.
[LXX | EL | OT | 1 Kings | Chapter 21 | Verse 11] Καὶ ἀπεκρίθη ὁ βασιλεὺς Ἰσραὴλ, καὶ εἶπεν, ἱκανούσθω· μὴ καυχάσθω ὁ κυρτὸς, ὡς ὁ ὀρθός.
