[LXX | EL | OT | 1 Kings | Chapter 19 | Verse 1] Καὶ ἀνήγγειλεν Ἀχαὰβ τῇ Ἰεζάβελ γυναικὶ αὐτοῦ πάντα ἃ ἐποίησεν Ἠλιοὺ, καὶ ὡς ἀπέκτεινε τοὺς προφήτας ἐν ῥομφαίᾳ.
[LXX | EL | OT | 1 Kings | Chapter 19 | Verse 2] Καὶ ἀπέστειλεν Ἰεζάβελ πρὸς Ἠλιοὺ, καὶ εἶπεν, εἰ σὺ εἶ Ἠλιοὺ καὶ ἐγὼ Ἰεζάβελ, τάδε ποιήσαι μοι ὁ θεὸς καὶ τάδε προσθείη, ὅτι ταύτην τὴν ὥραν αὔριον θήσομαι τὴν ψυχήν σου καθὼς ψυχὴν ἑνὸς ἐξ αὐτῶν.
[LXX | EL | OT | 1 Kings | Chapter 19 | Verse 3] Καὶ ἐφοβήθη Ἠλιοὺ, καὶ ἀνέστη καὶ ἀπῆλθε κατὰ τὴν ψυχὴν αὐτοῦ, καὶ ἔρχεται εἰς Βηρσαβεὲ γῆν Ἰούδα, καὶ ἀφῆκε τὸ παιδάριον αὐτοῦ ἐκεῖ.
[LXX | EL | OT | 1 Kings | Chapter 19 | Verse 4] Καὶ αὐτὸς ἐπορεύθη ἐν τῇ ἐρήμῳ ὁδὸν ἡμέρας, καὶ ἦλθε καὶ ἐκάθισεν ὑποκάτω ῥαθμὲν, καὶ ᾐτήσατο τὴν ψυχὴν αὐτοῦ ἀποθανεῖν· καὶ εἶπεν, ἱκανούσθω νῦν, λάβε δὴ τὴν ψυχήν μου ἀπʼ ἐμοῦ Κύριε, ὅτι οὐ κρείσσων ἐγώ εἰμι ὑπὲρ τοὺς πατέρας μου.
[LXX | EL | OT | 1 Kings | Chapter 19 | Verse 5] Καὶ ἐκοιμήθη καὶ ὕπνωσεν ἐκεῖ ὑπὸ φυτόν· καὶ ἰδού τις ἥψατο αὐτοῦ, καὶ εἶπεν αὐτῷ, ἀνάστηθι καὶ φάγε.
[LXX | EL | OT | 1 Kings | Chapter 19 | Verse 6] Καὶ ἐπέβλεψεν Ἠλιού· καὶ ἰδοὺ πρὸς κεφαλῆς αὐτοῦ ἐγκρυφίας ὀλυρίτης καὶ καψάκης ὕδατος· καὶ ἀνέστη καὶ ἔφαγε καὶ ἔπιε, καὶ ἐπιστρέψας ἐκοιμήθη.
[LXX | EL | OT | 1 Kings | Chapter 19 | Verse 7] Καὶ ἐπέστρεψεν ὁ ἄγγελος Κυρίου ἐκ δευτέρου, καὶ ἥψατο αὐτοῦ, καὶ εἶπεν αὐτῷ, ἀνάστα, φάγε, ὅτι πολλὴ ἀπὸ σοῦ ἡ ὁδός.
[LXX | EL | OT | 1 Kings | Chapter 19 | Verse 8] Καὶ ἀνέστη, καὶ ἔφαγε, καὶ ἔπιε· καὶ ἐπορεύθη ἐν ἰσχύϊ τῆς ρώσεως ἐκείνης τεσσαράκοντα ἡμέρας καὶ τεσσαράκοντα νύκτας ἕως ὄρους Χωρήβ.
[LXX | EL | OT | 1 Kings | Chapter 19 | Verse 9] Καὶ εἰσῆλθεν ἐκεῖ εἰς τὸ σπήλαιον, καὶ κατέλυσεν ἐκεῖ· καὶ ἰδοὺ ῥῆμα Κυρίου πρὸς αὐτὸν, καὶ εἶπε, τί σὺ ἐνταῦθα Ἠλιού;
[LXX | EL | OT | 1 Kings | Chapter 19 | Verse 10] Καὶ εἶπεν Ἠλιοὺ, ζηλῶν ἐζήλωκα τῷ Κυρίῳ παντοκράτορι, ὅτι ἐγκατέλιπόν σε οἱ υἱοὶ Ἰσραήλ· τὰ θυσιαστήριά σου κατέσκαψαν, καὶ τοὺς προφήτας σου ἀπέκτειναν ἐν ῥομφαίᾳ καὶ ὑπολέλειμμαι ἐγὼ μονώτατος, καὶ ζητοῦσι τὴν ψυχήν μου λαβεῖν αὐτήν.
[LXX | EL | OT | 1 Kings | Chapter 19 | Verse 11] Καὶ εἶπεν, ἐξελεύσῃ αὔριον, καὶ στήσῃ ἐνώπιον Κυρίου ἐν τῷ ὄρει· ἰδοὺ παρελεύσεται Κύριος. Καὶλἰδοὺ πνεῦμα μέγα κραταιὸν διαλύον ὄρη καὶ συντρίβον πέτρας ἐνώπιον Κυρίου, οὐκ ἐν τῷ πνεύματι Κύριος· καὶ μετὰ τό πνεῦμα συσσεισμὸς, οὐκ ἐν τῷ συσσεισμῷ Κύριος·
[LXX | EL | OT | 1 Kings | Chapter 19 | Verse 12] Καὶ μετὰ τὸν συσσεισμὸν πῦρ, οὐκ ἐν τῷ πυρὶ Κύριος· καὶ μετὰ τὸ πῦρ φωνὴ αὔρας λεπτῆς.
[LXX | EL | OT | 1 Kings | Chapter 19 | Verse 13] Καὶ ἐγένετο ὡς ἤκουσεν Ἠλιοὺ, καὶ ἐπεκάλυψε τὸ πρόσωπον αὐτοῦ ἐν τῇ μηλωτῇ αὐτοῦ, καὶ ἐξῆλθε καὶ ἔστη ὑπὸ σπήλαιον· καὶ ἰδοὺ πρὸς αὐτὸν φωνὴ, καὶ εἶπε, τί σὺ ἐνταῦθα Ἠλιού;
[LXX | EL | OT | 1 Kings | Chapter 19 | Verse 14] Καὶ εἶπεν Ἠλιού, ζηλῶν ἐζήλωκα τῷ Κυρίῳ παντοκράτορι, ὅτι ἐγκατέλιπον τὴν διαθήκην σου οἱ υἱοὶ Ἰσραήλ· καὶ τὰ θυσιαστήριά σου καθεῖλαν, καὶ τοὺς προφήτας σου ἀπέκτειναν ἐν ῥομφαίᾳ, καὶ ὑπολέλειμμαι ἐγὼ μονώτατος, καὶ ζητοῦσι τὴν ψυχήν μου λαβεῖν αὐτήν.
[LXX | EL | OT | 1 Kings | Chapter 19 | Verse 15] Καὶ εἶπε Κύριος πρὸς αὐτὸν, πορεύου, ἀνάστρεφε εἰς τὴν ὁδόν σου, καὶ ἥξεις εἰς τὴν ὁδὸν ἐρήμου Δαμασκοῦ· καὶ ἥξεις καὶ χρίσεις τὸν Ἀζαὴλ εἰς βασιλέα τῆς Συρίας·
[LXX | EL | OT | 1 Kings | Chapter 19 | Verse 16] Καὶ τὸν Ἰοὺ υἱὸν Ναμεσσὶ χρίσεις εἰς βασιλέα ἐπὶ Ἰσραήλ· καὶ τὸν Ἑλισαιὲ υἱὸν Σαφὰτ χρίσεις εἰς προφήτην ἀντὶ σοῦ.
[LXX | EL | OT | 1 Kings | Chapter 19 | Verse 17] Καὶ ἔσται τὸν σωζόμενον ἐκ ῥομφαίας Ἀζαὴλ, θανατώσει Ἰού· καὶ τὸν σωζόμενον ἐκ ῥομφαίας Ἰοὺ, θανατώσει Ἑλισαιέ.
