[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 1] ΚΑΙ ὁ βασιλεὺς Δαυὶδ πρεσβύτερος προβεβηκὼς ἡμέραις, καὶ περιέβαλλον αὐτὸν ἱματίοις, καὶ οὐκ ἐθερμαίνετο.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 2] Καὶ εἶπον οἱ παῖδες αὐτοῦ, ζητησάτωσαν τῷ βασιλεῖ παρθένον νεάνιδα, καὶ παραστήσεται τῷ βασιλεῖ, καὶ ἔσται αὐτὸν θάλπουσα, καὶ κοιμηθήσεται μετʼ αὐτοῦ, καὶ θερμανθήσεται ὁ κύριός μου ὁ βασιλεύς.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 3] Καὶ ἐζήτησαν νεάνιδα καλὴν ἐκ παντὸς ὁρίου Ἰσραήλ· καὶ εὗρον τὴν Ἀβισὰγ τὴν Σωμανίτιν, καὶ ἤνεγκαν αὐτὴν πρὸς τὸν βασιλέα.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 4] Καὶ ἡ νεᾶνις καλὴ ἕως σφόδρα· καὶ ἦν θάλπουσα τὸν βασιλέα, καὶ ἐλειτούργει αὐτῷ· καὶ ὁ βασιλεὺς οὐκ ἔγνω αὐτήν.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 5] Καὶ Ἀδωνίας υἱὸς Ἀγγὶθ ἐπῄρετο, λέγων, ἐγὼ βασιλεύσω· καὶ ἐποίησεν ἑαυτῷ ἅρματα καὶ ἱππεῖς, καὶ πεντήκοντα ἄνδρας παρατρέχειν ἔμπροσθεν αὐτοῦ.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 6] Καὶ οὐκ ἀπεκώλυσεν αὐτὸν ὁ πατὴρ αὐτοῦ οὐδέποτε, λέγων, διατί σὺ ἐποίησας; καὶ γε αὐτὸς ὡραῖος τῇ ὄψει σφόδρα, καὶ αὐτὸν ἔτεκεν ὀπίσω Ἀβεσσαλώμ.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 7] Καὶ ἐγένοντο οἱ λόγοι αὐτοῦ μετὰ Ἰωὰβ τοῦ υἱοῦ Σαρουίας, καὶ μετὰ Ἀβιάθαρ τοῦ ἱερέως, καὶ ἐβοήθουν ὀπίσω Ἀδωνίου.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 8] Καὶ Σαδὼκ ὁ ἱερεὺς, καὶ Βαναίας υἱὸς Ἰωδαὲ, καὶ Νάθαν ὁ προφήτης, καὶ Σεμεῒ, καὶ Ῥησὶ, καὶ υἱοὶ δυνατοὶ τοῦ Δαυὶδ, οὐκ ἦσαν ὀπίσω Ἀδωνίου.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 9] Καὶ ἐθυσίασεν Ἀδωνίας πρόβατα καὶ μόσχους καὶ ἄρνας μετὰ αἰθῆ τοῦ Ζωελεθὶ, ὃς ἦν ἐχόμενα τῆς Ῥωγήλ· καὶ ἐκάλεσε πάντας τοὺς ἀδελφοὺς αὐτοῦ, καὶ πάντας τοὺς ἁδροὺς Ἰούδα παῖδας τοῦ βασιλέως.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 10] Καὶ Νάθαν τὸν προφήτην, καὶ Βαναίαν, καὶ τοὺς δυνατοὺς, καὶ τὸν Σαλωμὼν ἀδελφὸν αὐτοῦ, οὐκ ἐκάλεσε.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 11] Καὶ εἶπε Νάθαν πρὸς Βηρσαβεὲ μητέρα Σαλωμὼν, λέγων, οὐκ ἤκουσας ὅτι ἐβασίλευσεν Ἀδωνίας υἱὸς Ἀγγὶθ, καὶ ὁ κύριος ἡμῶν Δαυὶδ οὐκ ἔγνω;
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 12] Καὶ νῦν δεῦρο, συμβουλεύσω σοι δὴ συμβουλίαν, καὶ ἐξελοῦ τὴν ψυχήν σου, καὶ τὴν ψυχὴν τοῦ υἱοῦ σου Σαλωμών.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 13] Δεῦρο εἴσελθε πρὸς τὸν βασιλέα Δαυὶδ, καὶ ἐρεῖς πρὸς αὐτὸν, λέγουσα, οὐχὶ σὺ κύριέ μου βασιλεῦ ὤμοσας τῇ δούλῃ σου, λέγων, ὅτι ὁ υἱός σου Σαλωμὼν βασιλεύσει μετʼ ἐμέ, καὶ αὐτὸς καθιεῖται ἐπὶ τοῦ θρόνου μου; καὶ τί ὅτι ἐβασίλευσεν Ἀδωνίας;
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 14] Καὶ ἰδοὺ ἔτι λαλούσης σου ἐκεῖ μετα τοῦ βασιλέως, καὶ ἐγὼ εἰσελεύσομαι ὀπίσω σου, καὶ πληρώσω τοὺς λόγους σου.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 15] Καὶ εἴσῆλθε Βηρσαβεὲ πρὸς τὸν βασιλέα εἰς τὸ ταμεῖον· καὶ ὁ βασιλεὺς πρεσβύτης σφόδρα· καὶ Ἀβισὰλ ἡ Σωμανῖτις ἦν λειτουργοῦσα τῷ βασιλεῖ.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 16] Καὶ ἔκυψε Βηρσαβεὲ, καὶ προσεκύνησε τῷ βασιλεῖ· καὶ εἶπεν ὁ βασιλεύς, τί ἔστι σοί;
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 17] Ἡ δὲ εἶπε, κύριε, σὺ ὤμοσας ἐν Κυρίῳ τῷ Θεῷ σου τῇ δούλῃ σου, λέγων, ὅτι ὁ υἱός σου Σαλωμὼν βασιλεύσει μετʼ ἐμέ, καὶ καθήσεται ἐπὶ τοῦ θρόνου μου.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 18] Καὶ νῦν ἰδοὺ Ἀδωνίας ἐβασίλευσε, καὶ σὺ κύριέ μου βασιλεῦ οὐκ ἔγνως.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 19] Καὶ ἐθυσίασε μόσχους καὶ ἄρνας καὶ πρόβατα εἰς πλῆθος, καὶ ἐκάλεσε πάντας τοὺς υἱοὺς τοῦ βασιλέως, καὶ Ἀβιάθαρ τὸν ἱερέα, καὶ Ἰωὰβ τὸν ἄρχοντα τῆς δυνάμεως· καὶ τὸν Σαλωμὼν τὸν δοῦλόν σου οὐκ ἐκάλεσε.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 20] Καὶ σὺ κύριέ μου βασιλεῦ, οἱ ὀφθαλμοὶ παντὸς Ἰσραὴλ πρὸς σέ, ἀπάγγειλαι αὐτοῖς τίς καθήσεται ἐπὶ τοῦ θρόνου τοῦ κυρίου μου τοῦ βασιλέως μετʼ αὐτόν.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 21] Καὶ ἔσται ὡς ἂν κοιμηθῇ ὁ κύριός μου ὁ βασιλεὺς μετὰ τῶν πατέρων αὐτοῦ, καὶ ἔσομαι ἐγὼ καὶ Σαλωμὼν ὁ υἱός μου ἁμαρτωλοί.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 22] Καὶ ἰδοὺ ἔτι αὐτῆς λαλούσης μετὰ τοῦ βασιλέως, καὶ Νάθαν ὁ προφήτης ἦλθε.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 23] Καὶ ἀνηγγέλη τῷ βασιλεῖ, ἰδοὺ Νάθαν ὁ προφήτης· καὶ εἰσῆλθε κατὰ πρόσωπον τοῦ βασιλέως, καὶ προσεκύνησε τῷ βασιλεῖ κατὰ πρόσωπον αὐτοῦ ἐπὶ τὴν γῆν.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 24] Καὶ εἶπε Νὰθαν, κύριέ μου βασιλεῦ, σὺ εἶπας, Ἀδωνίας βασιλεύσει ὀπίσω μου, καὶ αὐτὸς καθήσεται ἐπὶ τοῦ θρόνου μου;
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 25] Ὅτι κατέβη σήμερον, καὶ ἐθυσίασε μόσχους καὶ ἄρνας καὶ πρόβατα εἰς πλῆθος, καὶ ἐκάλεσε πάντας τοὺς υἱοὺς τοῦ βασιλέως, καὶ τοὺς ἄρχοντας τῆς δυνάμεως, καὶ Ἀβιάθαρ τὸν ἱερέα· καὶ ἰδού εἰσιν ἐσθίοντες καὶ πίνοντες ἐνώπιον αὐτοῦ, καὶ εἶπαν, ζήτω ὁ βασιλεὺς Ἀδωνίας.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 26] Καὶ ἐμὲ αὐτὸν τὸν δοῦλόν σου, καὶ Σαδὼκ τὸν ἱερέα, καὶ Βαναίαν υἱὸν Ἰωδαὲ, καὶ Σαλωμὼν τὸν δοῦλόν σου, οὐκ ἐκάλεσεν.
[LXX | EL | OT | 1 Kings | Chapter 1 | Verse 27] Εἰ διὰ τοῦ κυρίου μου τοῦ βασιλέως γέγονε τὸ ῥῆμα τοῦτο, καὶ οὐκ ἐγνώρισας τῷ δούλῳ σου τίς καθήσεται ἐπὶ τὸν θρόνον τοῦ κυρίου μου βασιλέως μετʼ αὐτόν;
